benchmark(enc),#input,#keys,#outputs,#gates,#iteration,cpu_time(sec),benchmark(iolts14),#keys,#gates,#iteration,cpu_time(sec)
apex2.bench,39,22,3,632,19,0.14,apex2_enc10,65,675,7,0.05
apex4.bench,10,180,19,5540,37,2.26,apex4_enc10,537,5897,38,1.41
c1355.bench,41,22,32,568,6,0.09,c1355_enc10,59,605,1,0.03
c1908.bench,33,37,25,917,30,0.14,c1908_enc10,91,971,4,0.03
c2670.bench,233,57,140,1250,22,1.05,c2670_enc10,143,1336,34,0.56
c3540.bench,50,68,22,1737,14,0.44,c3540_enc10,172,1841,22,0.39
c432.bench,36,10,7,170,3,0.01,c432_enc10,20,180,3,0.02
c499.bench,41,17,32,219,4,0.04,c499_enc10,24,226,1,0.05
c5315.bench,178,106,123,2413,7,0.3,c5315_enc10,249,2556,34,0.83
c7552.bench,207,142,108,3654,22,1.83,c7552_enc10,372,3884,39,1.16
c880.bench,60,17,26,400,8,0.05,c880_enc10,44,427,6,0.08
dalu.bench,75,80,16,2378,38,3.03,dalu_enc10,237,2535,21,0.38
des.bench,256,225,245,6698,20,1.98,des_enc10,673,7146,6,0.39
ex1010.bench,10,170,10,5236,56,3.46,ex1010_enc10,508,5574,47,1.69
ex5.bench,8,36,63,1091,7,0.09,ex5_enc10,106,1161,17,0.27
i4.bench,192,18,6,356,19,0.04,i4_enc10,53,391,15,0.05
i7.bench,199,51,67,1366,12,0.13,i7_enc10,151,1466,4,0.08
i8.bench,133,87,81,2551,16,0.66,i8_enc10,260,2724,9,0.41
i9.bench,88,38,63,1073,5,0.11,i9_enc10,112,1147,2,0.11
k2.bench,46,63,45,1878,7,0.22,k2_enc10,186,2001,3,0.11
seq.bench,41,119,35,3638,40,1.97,seq_enc10,356,3875,35,0.84
Total CPU time,,,,,,18.04,,,,,8.94
