benchmark,#input,#keys,#outputs,#gates,#iteration,cpu_time
apex2_enc05,39,31,3,644,20,0.12
apex2_enc10,39,61,3,674,25,0.29
apex2_enc25,39,153,3,769,122,5.28
apex2_enc50,39,305,3,925,208,21.58
apex4_enc05,10,268,19,5633,90,8.68
apex4_enc10,10,536,19,5901,118,22.65
apex4_enc25,10,1340,19,6705,203,85.77
apex4_enc50,10,2680,19,8045,278,252.94
c1355_enc05,41,27,32,573,2,0.21
c1355_enc10,41,55,32,601,9,0.94
c1355_enc25,41,137,32,693,29,4.75
c1355_enc50,41,273,32,837,107,86.46
c1908_enc05,33,44,25,928,29,0.45
c1908_enc10,33,88,25,976,61,1.38
c1908_enc25,33,220,25,1109,110,14.73
c1908_enc50,33,440,25,1338,146,193.50
c2670_enc05,233,60,140,1253,-,> 2h
c2670_enc10,233,119,140,1317,-,> 2h
c2670_enc25,233,298,140,1512,-,> 2h
c2670_enc50,233,597,140,1812,-,> 2h
c3540_enc05,50,83,22,1754,65,2.67
c3540_enc10,50,167,22,1843,40,1.26
c3540_enc25,50,417,22,2094,71,4.22
c3540_enc50,50,835,22,2517,121,72.58
c432_enc05,36,8,7,168,1,0.02
c432_enc10,36,16,7,176,9,0.03
c432_enc25,36,40,7,200,24,0.17
c432_enc50,36,80,7,251,24,0.25
c499_enc05,41,10,32,212,5,0.04
c499_enc10,41,48,32,250,12,1.42
c499_enc25,41,51,32,253,11,1.81
c499_enc50,41,101,32,309,20,8.26
c5315_enc05,178,115,123,2424,27,7.46
c5315_enc10,178,231,123,2543,55,16.77
c5315_enc25,178,577,123,2890,-,> 2h
c5315_enc50,178,1154,123,3488,-,> 2h
c7552_enc05,207,176,108,3689,88,23.26
c7552_enc10,207,351,108,3877,-,> 2h
c7552_enc25,207,878,108,4409,-,> 2h
c7552_enc50,207,1756,108,5321,-,> 2h
c880_enc05,60,19,26,403,25,0.07
c880_enc10,60,38,26,423,21,0.20
c880_enc25,60,96,26,487,38,0.70
c880_enc50,60,192,26,584,73,3.20
dalu_enc05,75,115,16,2436,42,5.75
dalu_enc10,75,230,16,2551,43,3.96
dalu_enc25,75,575,16,2898,104,139.63
dalu_enc50,75,1149,16,3472,-,> 2h
des_enc05,256,324,245,6804,50,296.95
des_enc10,256,647,245,7130,-,> 2h
des_enc25,256,1618,245,8117,-,> 2h
des_enc50,256,3237,245,9771,-,> 2h
ex1010_enc05,10,253,10,5326,84,7.28
ex1010_enc10,10,507,10,5580,152,25.87
ex1010_enc25,10,1267,10,6340,280,104.88
ex1010_enc50,10,2533,10,7606,409,431.14
ex5_enc05,8,53,63,1109,21,0.30
ex5_enc10,8,106,63,1165,29,0.47
ex5_enc25,8,264,63,1324,56,2.00
ex5_enc50,8,528,63,1588,78,6.85
i4_enc05,192,17,6,355,13,0.05
i4_enc10,192,34,6,375,49,0.30
i4_enc25,192,85,6,434,149,3.41
i4_enc50,192,129,6,488,279,17.33
i7_enc05,199,66,67,1389,14,0.22
i7_enc10,199,132,67,1470,23,0.56
i7_enc25,199,329,67,1703,26,1.23
i7_enc50,199,658,67,2043,35,3.19
i8_enc05,133,123,81,2598,31,1.33
i8_enc10,133,246,81,2721,48,3.16
i8_enc25,133,616,81,3097,73,21.10
i8_enc50,133,1232,81,3718,92,119.02
i9_enc05,88,52,63,1092,17,0.34
i9_enc10,88,104,63,1150,33,1.26
i9_enc25,88,259,63,1317,34,5.33
i9_enc50,88,518,63,1576,29,6.09
k2_enc05,46,91,45,1906,62,1.26
k2_enc10,46,182,45,1997,67,2.28
k2_enc25,46,454,45,2269,96,6.16
k2_enc50,46,908,45,2723,125,32.90
seq_enc05,41,176,35,3700,73,3.86
seq_enc10,41,352,35,3879,120,11.07
seq_enc25,41,880,35,4413,213,39.75
seq_enc50,41,1760,35,5295,257,105.06
