inputs=10 keys=2680 outputs=19 gates=8045
iteration: 1; vars: 49794; clauses: 70246; decisions: 151178
iteration: 2; vars: 64582; clauses: 116270; decisions: 341827
iteration: 3; vars: 79370; clauses: 80757; decisions: 663315
iteration: 4; vars: 94158; clauses: 126731; decisions: 838735
iteration: 5; vars: 108946; clauses: 53475; decisions: 997035
iteration: 6; vars: 123734; clauses: 99433; decisions: 1211868
iteration: 7; vars: 138522; clauses: 54371; decisions: 1352301
iteration: 8; vars: 153310; clauses: 100309; decisions: 1603684
iteration: 9; vars: 168098; clauses: 58491; decisions: 1755114
iteration: 10; vars: 182886; clauses: 104409; decisions: 2155094
iteration: 11; vars: 197674; clauses: 63362; decisions: 2431891
iteration: 12; vars: 212462; clauses: 109276; decisions: 2595246
iteration: 13; vars: 227250; clauses: 69057; decisions: 2877259
iteration: 14; vars: 242038; clauses: 114971; decisions: 3230488
iteration: 15; vars: 256826; clauses: 73111; decisions: 3525967
iteration: 16; vars: 271614; clauses: 119015; decisions: 3700576
iteration: 17; vars: 286402; clauses: 77146; decisions: 4054019
iteration: 18; vars: 301190; clauses: 123050; decisions: 4218130
iteration: 19; vars: 315978; clauses: 81050; decisions: 4496336
iteration: 20; vars: 330766; clauses: 126952; decisions: 4697017
iteration: 21; vars: 345554; clauses: 172854; decisions: 4868267
iteration: 22; vars: 360342; clauses: 85418; decisions: 5169835
iteration: 23; vars: 375130; clauses: 131315; decisions: 5395877
iteration: 24; vars: 389918; clauses: 177207; decisions: 5579153
iteration: 25; vars: 404706; clauses: 92702; decisions: 5931402
iteration: 26; vars: 419494; clauses: 138600; decisions: 6066137
iteration: 27; vars: 434282; clauses: 184492; decisions: 6404385
iteration: 28; vars: 449070; clauses: 97521; decisions: 6814663
iteration: 29; vars: 463858; clauses: 143413; decisions: 6927896
iteration: 30; vars: 478646; clauses: 189304; decisions: 7288181
iteration: 31; vars: 493434; clauses: 100792; decisions: 7769731
iteration: 32; vars: 508222; clauses: 146680; decisions: 8078065
iteration: 33; vars: 523010; clauses: 192564; decisions: 8275798
iteration: 34; vars: 537798; clauses: 105525; decisions: 8647236
iteration: 35; vars: 552586; clauses: 151405; decisions: 8845943
iteration: 36; vars: 567374; clauses: 197285; decisions: 8928118
iteration: 37; vars: 582162; clauses: 109855; decisions: 9511508
iteration: 38; vars: 596950; clauses: 155726; decisions: 9571731
iteration: 39; vars: 611738; clauses: 201583; decisions: 9705113
iteration: 40; vars: 626526; clauses: 112734; decisions: 10132929
