inputs=233 keys=298 outputs=140 gates=1512
iteration: 1; vars: 8360; clauses: 7903; decisions: 3640
iteration: 2; vars: 10780; clauses: 12093; decisions: 14119
iteration: 3; vars: 13200; clauses: 11996; decisions: 19989
iteration: 4; vars: 15620; clauses: 16198; decisions: 26981
iteration: 5; vars: 18040; clauses: 20400; decisions: 32116
iteration: 6; vars: 20460; clauses: 18168; decisions: 32975
iteration: 7; vars: 22880; clauses: 22390; decisions: 34044
iteration: 8; vars: 25300; clauses: 26628; decisions: 35352
iteration: 9; vars: 27720; clauses: 30830; decisions: 53293
iteration: 10; vars: 30140; clauses: 26265; decisions: 65105
iteration: 11; vars: 32560; clauses: 30207; decisions: 71393
iteration: 12; vars: 34980; clauses: 34141; decisions: 72344
iteration: 13; vars: 37400; clauses: 38077; decisions: 73267
iteration: 14; vars: 39820; clauses: 42013; decisions: 81929
iteration: 15; vars: 42240; clauses: 36512; decisions: 126974
iteration: 16; vars: 44660; clauses: 40514; decisions: 131321
iteration: 17; vars: 47080; clauses: 44930; decisions: 147294
iteration: 18; vars: 49500; clauses: 49096; decisions: 149936
iteration: 19; vars: 51920; clauses: 53260; decisions: 178959
iteration: 20; vars: 54340; clauses: 57144; decisions: 186209
iteration: 21; vars: 56760; clauses: 61020; decisions: 203695
iteration: 22; vars: 59180; clauses: 49053; decisions: 204638
iteration: 23; vars: 61600; clauses: 52937; decisions: 208630
iteration: 24; vars: 64020; clauses: 56821; decisions: 209493
iteration: 25; vars: 66440; clauses: 60689; decisions: 210375
iteration: 26; vars: 68860; clauses: 64557; decisions: 213648
iteration: 27; vars: 71280; clauses: 68561; decisions: 215531
iteration: 28; vars: 73700; clauses: 72557; decisions: 242788
iteration: 29; vars: 76120; clauses: 76741; decisions: 247027
iteration: 30; vars: 78540; clauses: 80925; decisions: 255992
iteration: 31; vars: 80960; clauses: 66258; decisions: 274022
iteration: 32; vars: 83380; clauses: 70426; decisions: 274839
iteration: 33; vars: 85800; clauses: 74594; decisions: 275658
iteration: 34; vars: 88220; clauses: 78762; decisions: 279230
iteration: 35; vars: 90640; clauses: 82930; decisions: 292735
iteration: 36; vars: 93060; clauses: 87068; decisions: 306097
iteration: 37; vars: 95480; clauses: 91206; decisions: 344554
iteration: 38; vars: 97900; clauses: 95346; decisions: 347618
iteration: 39; vars: 100320; clauses: 99704; decisions: 358320
iteration: 40; vars: 102740; clauses: 104062; decisions: 360396
iteration: 41; vars: 105160; clauses: 86093; decisions: 361396
iteration: 42; vars: 107580; clauses: 90451; decisions: 362235
iteration: 43; vars: 110000; clauses: 94809; decisions: 372370
iteration: 44; vars: 112420; clauses: 99179; decisions: 376198
iteration: 45; vars: 114840; clauses: 103587; decisions: 395853
iteration: 46; vars: 117260; clauses: 107991; decisions: 397342
iteration: 47; vars: 119680; clauses: 111991; decisions: 400394
iteration: 48; vars: 122100; clauses: 116131; decisions: 402104
iteration: 49; vars: 124520; clauses: 120311; decisions: 403996
iteration: 50; vars: 126940; clauses: 124497; decisions: 409034
iteration: 51; vars: 129360; clauses: 128901; decisions: 412768
iteration: 52; vars: 131780; clauses: 133307; decisions: 418220
iteration: 53; vars: 134200; clauses: 137695; decisions: 421772
iteration: 54; vars: 136620; clauses: 110274; decisions: 422569
iteration: 55; vars: 139040; clauses: 114654; decisions: 456006
iteration: 56; vars: 141460; clauses: 119040; decisions: 458572
iteration: 57; vars: 143880; clauses: 123426; decisions: 462342
iteration: 58; vars: 146300; clauses: 127812; decisions: 469612
iteration: 59; vars: 148720; clauses: 132200; decisions: 479754
iteration: 60; vars: 151140; clauses: 136590; decisions: 480994
iteration: 61; vars: 153560; clauses: 140980; decisions: 481794
iteration: 62; vars: 155980; clauses: 145344; decisions: 483196
iteration: 63; vars: 158400; clauses: 149764; decisions: 485106
iteration: 64; vars: 160820; clauses: 154184; decisions: 486505
iteration: 65; vars: 163240; clauses: 158604; decisions: 487897
iteration: 66; vars: 165660; clauses: 163024; decisions: 489329
iteration: 67; vars: 168080; clauses: 167444; decisions: 491333
iteration: 68; vars: 170500; clauses: 171864; decisions: 501193
iteration: 69; vars: 172920; clauses: 139695; decisions: 502621
iteration: 70; vars: 175340; clauses: 144149; decisions: 507341
iteration: 71; vars: 177760; clauses: 148595; decisions: 515666
iteration: 72; vars: 180180; clauses: 152753; decisions: 517299
iteration: 73; vars: 182600; clauses: 156919; decisions: 532600
iteration: 74; vars: 185020; clauses: 161069; decisions: 557360
iteration: 75; vars: 187440; clauses: 164977; decisions: 558527
iteration: 76; vars: 189860; clauses: 168881; decisions: 587865
iteration: 77; vars: 192280; clauses: 173053; decisions: 605059
iteration: 78; vars: 194700; clauses: 177201; decisions: 643380
iteration: 79; vars: 197120; clauses: 181377; decisions: 646527
