inputs=50 keys=83 outputs=22 gates=1754
iteration: 1; vars: 9153; clauses: 4237; decisions: 1345
iteration: 2; vars: 12109; clauses: 3767; decisions: 2134
iteration: 3; vars: 15065; clauses: 3709; decisions: 2562
iteration: 4; vars: 18021; clauses: 7849; decisions: 2876
iteration: 5; vars: 20977; clauses: 3773; decisions: 3631
iteration: 6; vars: 23933; clauses: 7939; decisions: 4447
iteration: 7; vars: 26889; clauses: 12237; decisions: 5556
iteration: 8; vars: 29845; clauses: 16389; decisions: 5956
iteration: 9; vars: 32801; clauses: 20623; decisions: 6545
iteration: 10; vars: 35757; clauses: 24849; decisions: 7013
iteration: 11; vars: 38713; clauses: 29053; decisions: 7157
iteration: 12; vars: 41669; clauses: 4207; decisions: 8931
iteration: 13; vars: 44625; clauses: 8069; decisions: 9288
iteration: 14; vars: 47581; clauses: 11705; decisions: 9427
iteration: 15; vars: 50537; clauses: 15355; decisions: 9565
iteration: 16; vars: 53493; clauses: 18991; decisions: 9697
iteration: 17; vars: 56449; clauses: 22641; decisions: 9956
iteration: 18; vars: 59405; clauses: 26259; decisions: 10313
iteration: 19; vars: 62361; clauses: 4974; decisions: 10691
iteration: 20; vars: 65317; clauses: 9672; decisions: 11181
iteration: 21; vars: 68273; clauses: 5058; decisions: 44835
iteration: 22; vars: 71229; clauses: 9638; decisions: 44975
iteration: 23; vars: 74185; clauses: 14222; decisions: 45112
iteration: 24; vars: 77141; clauses: 18812; decisions: 45343
iteration: 25; vars: 80097; clauses: 23398; decisions: 45486
iteration: 26; vars: 83053; clauses: 27986; decisions: 45623
iteration: 27; vars: 86009; clauses: 32570; decisions: 45794
iteration: 28; vars: 88965; clauses: 6043; decisions: 48686
iteration: 29; vars: 91921; clauses: 10229; decisions: 50902
iteration: 30; vars: 94877; clauses: 14617; decisions: 51349
iteration: 31; vars: 97833; clauses: 18995; decisions: 51905
iteration: 32; vars: 100789; clauses: 23373; decisions: 52282
iteration: 33; vars: 103745; clauses: 27369; decisions: 52493
iteration: 34; vars: 106701; clauses: 31367; decisions: 52624
iteration: 35; vars: 109657; clauses: 35383; decisions: 52754
iteration: 36; vars: 112613; clauses: 39413; decisions: 52882
iteration: 37; vars: 115569; clauses: 5001; decisions: 54611
iteration: 38; vars: 118525; clauses: 9327; decisions: 54926
iteration: 39; vars: 121481; clauses: 13695; decisions: 55147
iteration: 40; vars: 124437; clauses: 17975; decisions: 55283
iteration: 41; vars: 127393; clauses: 22211; decisions: 55416
iteration: 42; vars: 130349; clauses: 26451; decisions: 55806
iteration: 43; vars: 133305; clauses: 31023; decisions: 55947
iteration: 44; vars: 136261; clauses: 35577; decisions: 56098
iteration: 45; vars: 139217; clauses: 6212; decisions: 57094
iteration: 46; vars: 142173; clauses: 10880; decisions: 57236
iteration: 47; vars: 145129; clauses: 15248; decisions: 57548
iteration: 48; vars: 148085; clauses: 6565; decisions: 90889
iteration: 49; vars: 151041; clauses: 10707; decisions: 91002
iteration: 50; vars: 153997; clauses: 14921; decisions: 91120
iteration: 51; vars: 156953; clauses: 19301; decisions: 91228
iteration: 52; vars: 159909; clauses: 23561; decisions: 91712
iteration: 53; vars: 162865; clauses: 27675; decisions: 92586
iteration: 54; vars: 165821; clauses: 2851; decisions: 94812
iteration: 55; vars: 168777; clauses: 6491; decisions: 94909
iteration: 56; vars: 171733; clauses: 10113; decisions: 95093
iteration: 57; vars: 174689; clauses: 2672; decisions: 102742
iteration: 58; vars: 177645; clauses: 7020; decisions: 102846
iteration: 59; vars: 180601; clauses: 11422; decisions: 102935
iteration: 60; vars: 183557; clauses: 15840; decisions: 106769
iteration: 61; vars: 186513; clauses: 20206; decisions: 106837
iteration: 62; vars: 189469; clauses: 24556; decisions: 106958
iteration: 63; vars: 192425; clauses: 2477; decisions: 141358
iteration: 64; vars: 195381; clauses: 6385; decisions: 169882
iteration: 65; vars: 198337; clauses: 2384; decisions: 180936
finished solver loop. fail_count = 0
key=11101001001100110111110011100010001000011001000100101110101001111110010010000001101
iteration=65; backbones_count=0; cube_count=529700; cpu_time=2.67407; maxrss=19.4531
