inputs=75 keys=1149 outputs=16 gates=3472
iteration: 1; vars: 21474; clauses: 33975; decisions: 81049
iteration: 2; vars: 27824; clauses: 53239; decisions: 189138
iteration: 3; vars: 34174; clauses: 54738; decisions: 809330
iteration: 4; vars: 40524; clauses: 73340; decisions: 1237124
iteration: 5; vars: 46874; clauses: 75046; decisions: 1819901
iteration: 6; vars: 53224; clauses: 85028; decisions: 2251996
iteration: 7; vars: 59574; clauses: 93901; decisions: 4850640
iteration: 8; vars: 65924; clauses: 103182; decisions: 9236922
iteration: 9; vars: 72274; clauses: 113398; decisions: 14357070
iteration: 10; vars: 78624; clauses: 132090; decisions: 16483265
iteration: 11; vars: 84974; clauses: 150716; decisions: 21707990
iteration: 12; vars: 91324; clauses: 142957; decisions: 31789746
iteration: 13; vars: 97674; clauses: 161859; decisions: 40624527
iteration: 14; vars: 104024; clauses: 162042; decisions: 62315393
iteration: 15; vars: 110374; clauses: 170845; decisions: 73632096
iteration: 16; vars: 116724; clauses: 189867; decisions: 79783030
iteration: 17; vars: 123074; clauses: 190010; decisions: 111128586
iteration: 18; vars: 129424; clauses: 199024; decisions: 159145011
iteration: 19; vars: 135774; clauses: 208042; decisions: 179945597
iteration: 20; vars: 142124; clauses: 210351; decisions: 231954404
iteration: 21; vars: 148474; clauses: 182371; decisions: 310317430
iteration: 22; vars: 154824; clauses: 201141; decisions: 310328688
iteration: 23; vars: 161174; clauses: 195659; decisions: 354912690
iteration: 24; vars: 167524; clauses: 205071; decisions: 372906856
iteration: 25; vars: 173874; clauses: 215147; decisions: 382742415
iteration: 26; vars: 180224; clauses: 205954; decisions: 465793049
iteration: 27; vars: 186574; clauses: 215844; decisions: 467296010
iteration: 28; vars: 192924; clauses: 187808; decisions: 503600954
iteration: 29; vars: 199274; clauses: 195695; decisions: 525857345
iteration: 30; vars: 205624; clauses: 205161; decisions: 538328143
iteration: 31; vars: 211974; clauses: 210730; decisions: 545215749
iteration: 32; vars: 218324; clauses: 176392; decisions: 609608470
iteration: 33; vars: 224674; clauses: 145664; decisions: 620160992
iteration: 34; vars: 231024; clauses: 147815; decisions: 648109988
iteration: 35; vars: 237374; clauses: 166341; decisions: 653085620
iteration: 36; vars: 243724; clauses: 185195; decisions: 656497765
iteration: 37; vars: 250074; clauses: 203755; decisions: 657510056
iteration: 38; vars: 256424; clauses: 84554; decisions: 665610236
iteration: 39; vars: 262774; clauses: 59571; decisions: 668633464
iteration: 40; vars: 269124; clauses: 78081; decisions: 669909228
iteration: 41; vars: 275474; clauses: 57856; decisions: 672111677
iteration: 42; vars: 281824; clauses: 76442; decisions: 672637060
iteration: 43; vars: 288174; clauses: 58107; decisions: 674032869
iteration: 44; vars: 294524; clauses: 76615; decisions: 675238553
iteration: 45; vars: 300874; clauses: 95055; decisions: 676824510
iteration: 46; vars: 307224; clauses: 62657; decisions: 680388744
iteration: 47; vars: 313574; clauses: 67858; decisions: 682938606
iteration: 48; vars: 319924; clauses: 68001; decisions: 685897484
iteration: 49; vars: 326274; clauses: 64367; decisions: 689552324
iteration: 50; vars: 332624; clauses: 63834; decisions: 691621837
iteration: 51; vars: 338974; clauses: 67656; decisions: 694307373
iteration: 52; vars: 345324; clauses: 86096; decisions: 695626280
iteration: 53; vars: 351674; clauses: 67614; decisions: 696719459
iteration: 54; vars: 358024; clauses: 71846; decisions: 702151686
iteration: 55; vars: 364374; clauses: 75424; decisions: 705364892
iteration: 56; vars: 370724; clauses: 74499; decisions: 708200352
