benchmark,#input,#keys,#outputs,#gates,#iteration,cpu_time
apex2_enc,39,292,3,1780,320,24.52
apex4_enc,10,3356,19,18441,421,321.89
c1355_enc,41,288,32,2068,137,6472.67
c1908_enc,33,200,25,1586,90,2.33
c2670_enc,233,540,140,3535,3592,1795.77
c3540_enc,50,836,22,5026,154,14.44
c432_enc,36,184,7,1101,75,1.30
c499_enc,41,288,32,1891,86,88.31
c5315_enc,178,1176,123,7841,249,112.53
c7552_enc,207,1228,108,8617,515,676.53
c880_enc,60,312,26,1831,113,3.27
dalu_enc,75,640,16,4875,153,23.25
des_enc,256,2856,245,17879,243,73.59
ex1010_enc,10,3256,10,17918,753,1007.62
ex5_enc,8,888,63,4627,121,15.64
i4_enc,192,272,6,1583,325,13.72
i7_enc,199,908,67,4921,141,6.47
i8_enc,133,1348,81,8144,133,26.92
i9_enc,88,608,63,3477,33,1.31
k2_enc,46,620,45,4482,242,18.48
seq_enc,41,1848,35,10829,553,300.91
