inputs=10 keys=3356 outputs=19 gates=18441
iteration: 1; vars: 117314; clauses: 21765; decisions: 76262
iteration: 2; vars: 154158; clauses: 22967; decisions: 117082
iteration: 3; vars: 191002; clauses: 24291; decisions: 160842
iteration: 4; vars: 227846; clauses: 25703; decisions: 193334
iteration: 5; vars: 264690; clauses: 27153; decisions: 227124
iteration: 6; vars: 301534; clauses: 28569; decisions: 249552
iteration: 7; vars: 338378; clauses: 29717; decisions: 269785
iteration: 8; vars: 375222; clauses: 30699; decisions: 332218
iteration: 9; vars: 412066; clauses: 31754; decisions: 364340
iteration: 10; vars: 448910; clauses: 32899; decisions: 393881
iteration: 11; vars: 485754; clauses: 34032; decisions: 431510
iteration: 12; vars: 522598; clauses: 34701; decisions: 462702
iteration: 13; vars: 559442; clauses: 35778; decisions: 494632
iteration: 14; vars: 596286; clauses: 37045; decisions: 517644
iteration: 15; vars: 633130; clauses: 37817; decisions: 544752
iteration: 16; vars: 669974; clauses: 38887; decisions: 574270
iteration: 17; vars: 706818; clauses: 40010; decisions: 599730
iteration: 18; vars: 743662; clauses: 41245; decisions: 638767
iteration: 19; vars: 780506; clauses: 42563; decisions: 671652
iteration: 20; vars: 817350; clauses: 43488; decisions: 705714
iteration: 21; vars: 854194; clauses: 44523; decisions: 726920
iteration: 22; vars: 891038; clauses: 45236; decisions: 750352
iteration: 23; vars: 927882; clauses: 46158; decisions: 771808
iteration: 24; vars: 964726; clauses: 47205; decisions: 834225
iteration: 25; vars: 1001570; clauses: 48076; decisions: 894611
iteration: 26; vars: 1038414; clauses: 48962; decisions: 929049
iteration: 27; vars: 1075258; clauses: 50202; decisions: 963099
iteration: 28; vars: 1112102; clauses: 50981; decisions: 1005521
iteration: 29; vars: 1148946; clauses: 51795; decisions: 1047687
iteration: 30; vars: 1185790; clauses: 52667; decisions: 1086706
iteration: 31; vars: 1222634; clauses: 53852; decisions: 1128552
iteration: 32; vars: 1259478; clauses: 54852; decisions: 1189307
iteration: 33; vars: 1296322; clauses: 55765; decisions: 1241867
iteration: 34; vars: 1333166; clauses: 56530; decisions: 1289506
iteration: 35; vars: 1370010; clauses: 57388; decisions: 1331631
iteration: 36; vars: 1406854; clauses: 58299; decisions: 1360673
iteration: 37; vars: 1443698; clauses: 58612; decisions: 1406903
iteration: 38; vars: 1480542; clauses: 58540; decisions: 1441921
iteration: 39; vars: 1517386; clauses: 59782; decisions: 1483354
iteration: 40; vars: 1554230; clauses: 60009; decisions: 1523944
iteration: 41; vars: 1591074; clauses: 60687; decisions: 1564501
iteration: 42; vars: 1627918; clauses: 61444; decisions: 1584001
iteration: 43; vars: 1664762; clauses: 62052; decisions: 1629546
iteration: 44; vars: 1701606; clauses: 62382; decisions: 1673223
iteration: 45; vars: 1738450; clauses: 63153; decisions: 1711799
iteration: 46; vars: 1775294; clauses: 63913; decisions: 1747866
iteration: 47; vars: 1812138; clauses: 64937; decisions: 1782069
iteration: 48; vars: 1848982; clauses: 65808; decisions: 1853952
iteration: 49; vars: 1885826; clauses: 66867; decisions: 1875067
iteration: 50; vars: 1922670; clauses: 67405; decisions: 1911350
iteration: 51; vars: 1959514; clauses: 68118; decisions: 1992527
iteration: 52; vars: 1996358; clauses: 68508; decisions: 2026160
iteration: 53; vars: 2033202; clauses: 69261; decisions: 2042800
iteration: 54; vars: 2070046; clauses: 70126; decisions: 2098029
iteration: 55; vars: 2106890; clauses: 68146; decisions: 2152364
iteration: 56; vars: 2143734; clauses: 68346; decisions: 2232552
iteration: 57; vars: 2180578; clauses: 65088; decisions: 2272497
iteration: 58; vars: 2217422; clauses: 65566; decisions: 2301618
iteration: 59; vars: 2254266; clauses: 66178; decisions: 2377488
iteration: 60; vars: 2291110; clauses: 66683; decisions: 2387157
iteration: 61; vars: 2327954; clauses: 66917; decisions: 2425910
iteration: 62; vars: 2364798; clauses: 67625; decisions: 2445136
iteration: 63; vars: 2401642; clauses: 68071; decisions: 2453918
iteration: 64; vars: 2438486; clauses: 68325; decisions: 2494093
iteration: 65; vars: 2475330; clauses: 68802; decisions: 2511947
iteration: 66; vars: 2512174; clauses: 69286; decisions: 2550038
iteration: 67; vars: 2549018; clauses: 69513; decisions: 2616577
iteration: 68; vars: 2585862; clauses: 69688; decisions: 2651405
iteration: 69; vars: 2622706; clauses: 70511; decisions: 2716330
iteration: 70; vars: 2659550; clauses: 70411; decisions: 2752693
iteration: 71; vars: 2696394; clauses: 70622; decisions: 2771486
iteration: 72; vars: 2733238; clauses: 71406; decisions: 2791357
iteration: 73; vars: 2770082; clauses: 71927; decisions: 2916555
iteration: 74; vars: 2806926; clauses: 72058; decisions: 2940396
iteration: 75; vars: 2843770; clauses: 72735; decisions: 2995623
iteration: 76; vars: 2880614; clauses: 73124; decisions: 3028740
iteration: 77; vars: 2917458; clauses: 74058; decisions: 3092537
iteration: 78; vars: 2954302; clauses: 73913; decisions: 3118042
iteration: 79; vars: 2991146; clauses: 74530; decisions: 3141794
iteration: 80; vars: 3027990; clauses: 74843; decisions: 3178109
iteration: 81; vars: 3064834; clauses: 75038; decisions: 3198570
iteration: 82; vars: 3101678; clauses: 75575; decisions: 3222565
iteration: 83; vars: 3138522; clauses: 76031; decisions: 3239808
iteration: 84; vars: 3175366; clauses: 76359; decisions: 3260941
iteration: 85; vars: 3212210; clauses: 76782; decisions: 3268059
iteration: 86; vars: 3249054; clauses: 76980; decisions: 3287738
iteration: 87; vars: 3285898; clauses: 74094; decisions: 3294862
iteration: 88; vars: 3322742; clauses: 69300; decisions: 3382207
iteration: 89; vars: 3359586; clauses: 68365; decisions: 3394969
iteration: 90; vars: 3396430; clauses: 67832; decisions: 3411379
iteration: 91; vars: 3433274; clauses: 66818; decisions: 3434281
iteration: 92; vars: 3470118; clauses: 66556; decisions: 3443090
iteration: 93; vars: 3506962; clauses: 66270; decisions: 3455074
iteration: 94; vars: 3543806; clauses: 66469; decisions: 3461738
iteration: 95; vars: 3580650; clauses: 65849; decisions: 3485326
iteration: 96; vars: 3617494; clauses: 65802; decisions: 3500640
iteration: 97; vars: 3654338; clauses: 61876; decisions: 3519983
iteration: 98; vars: 3691182; clauses: 58266; decisions: 3535498
iteration: 99; vars: 3728026; clauses: 55001; decisions: 3547745
iteration: 100; vars: 3764870; clauses: 49000; decisions: 3564891
iteration: 101; vars: 3801714; clauses: 41673; decisions: 3578043
iteration: 102; vars: 3838558; clauses: 38453; decisions: 3588337
iteration: 103; vars: 3875402; clauses: 34229; decisions: 3595009
iteration: 104; vars: 3912246; clauses: 33285; decisions: 3610174
iteration: 105; vars: 3949090; clauses: 32906; decisions: 3616752
iteration: 106; vars: 3985934; clauses: 31896; decisions: 3621486
iteration: 107; vars: 4022778; clauses: 30792; decisions: 3642518
iteration: 108; vars: 4059622; clauses: 28909; decisions: 3653382
iteration: 109; vars: 4096466; clauses: 27658; decisions: 3659117
iteration: 110; vars: 4133310; clauses: 27166; decisions: 3671635
iteration: 111; vars: 4170154; clauses: 26898; decisions: 3681576
iteration: 112; vars: 4206998; clauses: 25701; decisions: 3686696
iteration: 113; vars: 4243842; clauses: 25627; decisions: 3698218
iteration: 114; vars: 4280686; clauses: 25358; decisions: 3702695
iteration: 115; vars: 4317530; clauses: 24154; decisions: 3707582
iteration: 116; vars: 4354374; clauses: 23666; decisions: 3712274
iteration: 117; vars: 4391218; clauses: 23518; decisions: 3718215
iteration: 118; vars: 4428062; clauses: 22676; decisions: 3721531
iteration: 119; vars: 4464906; clauses: 21329; decisions: 3725965
iteration: 120; vars: 4501750; clauses: 20630; decisions: 3729883
iteration: 121; vars: 4538594; clauses: 20092; decisions: 3736189
iteration: 122; vars: 4575438; clauses: 19998; decisions: 3741039
iteration: 123; vars: 4612282; clauses: 19963; decisions: 3749036
iteration: 124; vars: 4649126; clauses: 18935; decisions: 3755888
iteration: 125; vars: 4685970; clauses: 18783; decisions: 3758894
iteration: 126; vars: 4722814; clauses: 18762; decisions: 3761673
iteration: 127; vars: 4759658; clauses: 18705; decisions: 3765649
iteration: 128; vars: 4796502; clauses: 18517; decisions: 3772614
iteration: 129; vars: 4833346; clauses: 18412; decisions: 3776655
iteration: 130; vars: 4870190; clauses: 18266; decisions: 3780897
iteration: 131; vars: 4907034; clauses: 17736; decisions: 3784655
iteration: 132; vars: 4943878; clauses: 17689; decisions: 3789081
iteration: 133; vars: 4980722; clauses: 17547; decisions: 3792853
iteration: 134; vars: 5017566; clauses: 17228; decisions: 3799448
iteration: 135; vars: 5054410; clauses: 17104; decisions: 3803418
iteration: 136; vars: 5091254; clauses: 17039; decisions: 3809704
iteration: 137; vars: 5128098; clauses: 16545; decisions: 3812978
iteration: 138; vars: 5164942; clauses: 16213; decisions: 3817693
iteration: 139; vars: 5201786; clauses: 16054; decisions: 3821758
iteration: 140; vars: 5238630; clauses: 15969; decisions: 3825498
iteration: 141; vars: 5275474; clauses: 15934; decisions: 3831620
iteration: 142; vars: 5312318; clauses: 15923; decisions: 3835794
iteration: 143; vars: 5349162; clauses: 15851; decisions: 3839237
iteration: 144; vars: 5386006; clauses: 15626; decisions: 3843081
iteration: 145; vars: 5422850; clauses: 15303; decisions: 3846638
iteration: 146; vars: 5459694; clauses: 15235; decisions: 3851195
iteration: 147; vars: 5496538; clauses: 15114; decisions: 3853905
iteration: 148; vars: 5533382; clauses: 14942; decisions: 3857304
iteration: 149; vars: 5570226; clauses: 14864; decisions: 3863420
iteration: 150; vars: 5607070; clauses: 14800; decisions: 3868198
iteration: 151; vars: 5643914; clauses: 14715; decisions: 3871122
iteration: 152; vars: 5680758; clauses: 14704; decisions: 3873830
iteration: 153; vars: 5717602; clauses: 14669; decisions: 3876850
iteration: 154; vars: 5754446; clauses: 14520; decisions: 3879979
iteration: 155; vars: 5791290; clauses: 14263; decisions: 3883068
iteration: 156; vars: 5828134; clauses: 14210; decisions: 3885648
iteration: 157; vars: 5864978; clauses: 14187; decisions: 3888453
iteration: 158; vars: 5901822; clauses: 14147; decisions: 3892139
iteration: 159; vars: 5938666; clauses: 14116; decisions: 3895629
iteration: 160; vars: 5975510; clauses: 14114; decisions: 3900018
iteration: 161; vars: 6012354; clauses: 14079; decisions: 3904021
iteration: 162; vars: 6049198; clauses: 13904; decisions: 3907009
iteration: 163; vars: 6086042; clauses: 13899; decisions: 3910182
iteration: 164; vars: 6122886; clauses: 13852; decisions: 3913084
iteration: 165; vars: 6159730; clauses: 13777; decisions: 3917672
iteration: 166; vars: 6196574; clauses: 13755; decisions: 3920826
iteration: 167; vars: 6233418; clauses: 13679; decisions: 3923275
iteration: 168; vars: 6270262; clauses: 13580; decisions: 3926293
iteration: 169; vars: 6307106; clauses: 13549; decisions: 3930371
iteration: 170; vars: 6343950; clauses: 13523; decisions: 3932846
iteration: 171; vars: 6380794; clauses: 13516; decisions: 3935870
iteration: 172; vars: 6417638; clauses: 13484; decisions: 3938371
iteration: 173; vars: 6454482; clauses: 13347; decisions: 3941035
iteration: 174; vars: 6491326; clauses: 13315; decisions: 3943433
iteration: 175; vars: 6528170; clauses: 13200; decisions: 3946392
iteration: 176; vars: 6565014; clauses: 13135; decisions: 3949379
iteration: 177; vars: 6601858; clauses: 13135; decisions: 3952323
iteration: 178; vars: 6638702; clauses: 13091; decisions: 3954984
iteration: 179; vars: 6675546; clauses: 13056; decisions: 3957926
iteration: 180; vars: 6712390; clauses: 13046; decisions: 3960195
iteration: 181; vars: 6749234; clauses: 13042; decisions: 3963563
iteration: 182; vars: 6786078; clauses: 13021; decisions: 3966043
iteration: 183; vars: 6822922; clauses: 13015; decisions: 3968677
iteration: 184; vars: 6859766; clauses: 12993; decisions: 3970878
iteration: 185; vars: 6896610; clauses: 12893; decisions: 3973225
iteration: 186; vars: 6933454; clauses: 12831; decisions: 3975347
iteration: 187; vars: 6970298; clauses: 12809; decisions: 3977677
iteration: 188; vars: 7007142; clauses: 12750; decisions: 3980100
iteration: 189; vars: 7043986; clauses: 12729; decisions: 3982334
iteration: 190; vars: 7080830; clauses: 12681; decisions: 3984641
iteration: 191; vars: 7117674; clauses: 12547; decisions: 3986707
iteration: 192; vars: 7154518; clauses: 12531; decisions: 3989844
iteration: 193; vars: 7191362; clauses: 12469; decisions: 3992769
iteration: 194; vars: 7228206; clauses: 12426; decisions: 3995717
iteration: 195; vars: 7265050; clauses: 12382; decisions: 3998289
iteration: 196; vars: 7301894; clauses: 12309; decisions: 4000300
iteration: 197; vars: 7338738; clauses: 12161; decisions: 4002542
iteration: 198; vars: 7375582; clauses: 12115; decisions: 4004982
