inputs=233 keys=540 outputs=140 gates=3535
iteration: 1; vars: 22410; clauses: 3771; decisions: 4889
iteration: 2; vars: 29352; clauses: 3848; decisions: 6730
iteration: 3; vars: 36294; clauses: 3918; decisions: 11538
iteration: 4; vars: 43236; clauses: 3971; decisions: 14726
iteration: 5; vars: 50178; clauses: 4089; decisions: 17377
iteration: 6; vars: 57120; clauses: 4112; decisions: 19033
iteration: 7; vars: 64062; clauses: 4227; decisions: 20551
iteration: 8; vars: 71004; clauses: 4276; decisions: 21659
iteration: 9; vars: 77946; clauses: 4358; decisions: 22854
iteration: 10; vars: 84888; clauses: 4427; decisions: 24361
iteration: 11; vars: 91830; clauses: 4444; decisions: 25462
iteration: 12; vars: 98772; clauses: 4493; decisions: 26552
iteration: 13; vars: 105714; clauses: 4537; decisions: 28893
iteration: 14; vars: 112656; clauses: 4516; decisions: 29979
iteration: 15; vars: 119598; clauses: 4592; decisions: 31442
iteration: 16; vars: 126540; clauses: 4628; decisions: 33023
iteration: 17; vars: 133482; clauses: 4670; decisions: 34100
iteration: 18; vars: 140424; clauses: 4696; decisions: 35721
iteration: 19; vars: 147366; clauses: 4742; decisions: 37312
iteration: 20; vars: 154308; clauses: 4763; decisions: 38390
iteration: 21; vars: 161250; clauses: 4807; decisions: 39347
iteration: 22; vars: 168192; clauses: 4828; decisions: 40584
iteration: 23; vars: 175134; clauses: 4875; decisions: 41809
iteration: 24; vars: 182076; clauses: 4931; decisions: 42800
iteration: 25; vars: 189018; clauses: 4937; decisions: 43910
iteration: 26; vars: 195960; clauses: 4929; decisions: 44888
iteration: 27; vars: 202902; clauses: 5004; decisions: 45999
iteration: 28; vars: 209844; clauses: 5047; decisions: 46890
iteration: 29; vars: 216786; clauses: 5075; decisions: 48047
iteration: 30; vars: 223728; clauses: 5101; decisions: 49154
iteration: 31; vars: 230670; clauses: 5177; decisions: 50024
iteration: 32; vars: 237612; clauses: 5180; decisions: 51089
iteration: 33; vars: 244554; clauses: 5242; decisions: 51953
iteration: 34; vars: 251496; clauses: 5268; decisions: 52788
iteration: 35; vars: 258438; clauses: 5282; decisions: 53687
iteration: 36; vars: 265380; clauses: 5282; decisions: 54551
iteration: 37; vars: 272322; clauses: 5335; decisions: 55778
iteration: 38; vars: 279264; clauses: 5384; decisions: 56599
iteration: 39; vars: 286206; clauses: 5412; decisions: 57520
iteration: 40; vars: 293148; clauses: 5461; decisions: 58339
iteration: 41; vars: 300090; clauses: 5481; decisions: 59156
iteration: 42; vars: 307032; clauses: 5533; decisions: 59971
iteration: 43; vars: 313974; clauses: 5575; decisions: 60817
iteration: 44; vars: 320916; clauses: 5636; decisions: 61800
iteration: 45; vars: 327858; clauses: 5724; decisions: 62756
iteration: 46; vars: 334800; clauses: 5801; decisions: 63873
iteration: 47; vars: 341742; clauses: 5885; decisions: 64711
iteration: 48; vars: 348684; clauses: 5868; decisions: 65555
iteration: 49; vars: 355626; clauses: 5920; decisions: 66609
iteration: 50; vars: 362568; clauses: 5960; decisions: 67553
iteration: 51; vars: 369510; clauses: 5979; decisions: 68446
iteration: 52; vars: 376452; clauses: 6053; decisions: 69350
iteration: 53; vars: 383394; clauses: 6132; decisions: 70511
iteration: 54; vars: 390336; clauses: 6166; decisions: 71323
iteration: 55; vars: 397278; clauses: 6255; decisions: 72145
iteration: 56; vars: 404220; clauses: 6300; decisions: 73026
iteration: 57; vars: 411162; clauses: 6331; decisions: 73848
iteration: 58; vars: 418104; clauses: 6425; decisions: 74665
iteration: 59; vars: 425046; clauses: 6454; decisions: 75480
iteration: 60; vars: 431988; clauses: 6529; decisions: 76357
iteration: 61; vars: 438930; clauses: 6593; decisions: 77643
iteration: 62; vars: 445872; clauses: 6581; decisions: 79902
iteration: 63; vars: 452814; clauses: 6606; decisions: 80757
iteration: 64; vars: 459756; clauses: 6594; decisions: 81509
iteration: 65; vars: 466698; clauses: 6601; decisions: 83225
iteration: 66; vars: 473640; clauses: 6627; decisions: 83999
iteration: 67; vars: 480582; clauses: 6702; decisions: 84725
iteration: 68; vars: 487524; clauses: 6726; decisions: 85476
iteration: 69; vars: 494466; clauses: 6796; decisions: 86222
iteration: 70; vars: 501408; clauses: 6814; decisions: 86944
iteration: 71; vars: 508350; clauses: 6896; decisions: 87954
iteration: 72; vars: 515292; clauses: 6941; decisions: 88699
iteration: 73; vars: 522234; clauses: 6982; decisions: 89411
iteration: 74; vars: 529176; clauses: 7020; decisions: 90118
iteration: 75; vars: 536118; clauses: 7079; decisions: 90837
iteration: 76; vars: 543060; clauses: 7177; decisions: 91682
iteration: 77; vars: 550002; clauses: 7231; decisions: 92401
iteration: 78; vars: 556944; clauses: 7243; decisions: 93122
iteration: 79; vars: 563886; clauses: 7300; decisions: 93876
iteration: 80; vars: 570828; clauses: 7318; decisions: 94611
iteration: 81; vars: 577770; clauses: 7329; decisions: 95317
iteration: 82; vars: 584712; clauses: 7333; decisions: 96006
iteration: 83; vars: 591654; clauses: 7400; decisions: 96695
iteration: 84; vars: 598596; clauses: 7422; decisions: 97526
iteration: 85; vars: 605538; clauses: 7482; decisions: 98219
iteration: 86; vars: 612480; clauses: 7513; decisions: 98910
iteration: 87; vars: 619422; clauses: 7538; decisions: 99600
iteration: 88; vars: 626364; clauses: 7621; decisions: 100290
iteration: 89; vars: 633306; clauses: 7701; decisions: 101270
iteration: 90; vars: 640248; clauses: 7827; decisions: 102627
iteration: 91; vars: 647190; clauses: 7859; decisions: 107303
iteration: 92; vars: 654132; clauses: 7749; decisions: 109014
iteration: 93; vars: 661074; clauses: 7735; decisions: 109697
iteration: 94; vars: 668016; clauses: 7738; decisions: 110397
iteration: 95; vars: 674958; clauses: 7785; decisions: 111072
iteration: 96; vars: 681900; clauses: 7807; decisions: 112519
iteration: 97; vars: 688842; clauses: 7857; decisions: 115710
iteration: 98; vars: 695784; clauses: 7913; decisions: 116566
iteration: 99; vars: 702726; clauses: 7908; decisions: 117222
iteration: 100; vars: 709668; clauses: 7930; decisions: 118179
iteration: 101; vars: 716610; clauses: 7999; decisions: 118835
iteration: 102; vars: 723552; clauses: 8013; decisions: 119524
iteration: 103; vars: 730494; clauses: 8109; decisions: 120345
iteration: 104; vars: 737436; clauses: 8170; decisions: 120982
iteration: 105; vars: 744378; clauses: 8247; decisions: 121619
iteration: 106; vars: 751320; clauses: 8294; decisions: 122264
iteration: 107; vars: 758262; clauses: 8410; decisions: 123324
iteration: 108; vars: 765204; clauses: 8428; decisions: 124128
iteration: 109; vars: 772146; clauses: 8528; decisions: 126547
iteration: 110; vars: 779088; clauses: 8591; decisions: 127174
iteration: 111; vars: 786030; clauses: 8683; decisions: 127803
iteration: 112; vars: 792972; clauses: 8710; decisions: 128475
iteration: 113; vars: 799914; clauses: 8750; decisions: 129106
iteration: 114; vars: 806856; clauses: 8813; decisions: 129738
iteration: 115; vars: 813798; clauses: 8879; decisions: 130733
iteration: 116; vars: 820740; clauses: 9025; decisions: 131369
iteration: 117; vars: 827682; clauses: 9061; decisions: 132008
iteration: 118; vars: 834624; clauses: 9186; decisions: 132938
iteration: 119; vars: 841566; clauses: 9226; decisions: 133622
iteration: 120; vars: 848508; clauses: 9300; decisions: 134384
iteration: 121; vars: 855450; clauses: 9313; decisions: 135007
iteration: 122; vars: 862392; clauses: 9380; decisions: 135982
iteration: 123; vars: 869334; clauses: 9381; decisions: 136597
iteration: 124; vars: 876276; clauses: 9469; decisions: 137432
iteration: 125; vars: 883218; clauses: 9429; decisions: 138299
iteration: 126; vars: 890160; clauses: 9485; decisions: 138903
iteration: 127; vars: 897102; clauses: 9491; decisions: 139666
iteration: 128; vars: 904044; clauses: 9561; decisions: 140409
iteration: 129; vars: 910986; clauses: 9558; decisions: 141033
iteration: 130; vars: 917928; clauses: 9591; decisions: 141856
iteration: 131; vars: 924870; clauses: 9616; decisions: 142458
iteration: 132; vars: 931812; clauses: 9632; decisions: 143060
