inputs=75 keys=640 outputs=16 gates=4875
iteration: 1; vars: 30560; clauses: 6761; decisions: 2838
iteration: 2; vars: 40278; clauses: 7027; decisions: 4199
iteration: 3; vars: 49996; clauses: 7133; decisions: 5547
iteration: 4; vars: 59714; clauses: 7371; decisions: 8304
iteration: 5; vars: 69432; clauses: 7392; decisions: 10057
iteration: 6; vars: 79150; clauses: 7904; decisions: 11535
iteration: 7; vars: 88868; clauses: 8199; decisions: 13964
iteration: 8; vars: 98586; clauses: 8330; decisions: 15276
iteration: 9; vars: 108304; clauses: 8578; decisions: 16575
iteration: 10; vars: 118022; clauses: 8710; decisions: 17978
iteration: 11; vars: 127740; clauses: 8931; decisions: 19297
iteration: 12; vars: 137458; clauses: 9175; decisions: 20618
iteration: 13; vars: 147176; clauses: 9426; decisions: 22225
iteration: 14; vars: 156894; clauses: 9900; decisions: 23766
iteration: 15; vars: 166612; clauses: 10816; decisions: 25172
iteration: 16; vars: 176330; clauses: 11133; decisions: 27512
iteration: 17; vars: 186048; clauses: 11073; decisions: 29372
iteration: 18; vars: 195766; clauses: 11167; decisions: 32100
iteration: 19; vars: 205484; clauses: 10379; decisions: 33680
iteration: 20; vars: 215202; clauses: 10516; decisions: 35011
iteration: 21; vars: 224920; clauses: 10673; decisions: 36779
iteration: 22; vars: 234638; clauses: 10087; decisions: 38394
iteration: 23; vars: 244356; clauses: 10192; decisions: 39661
iteration: 24; vars: 254074; clauses: 10237; decisions: 41700
iteration: 25; vars: 263792; clauses: 10613; decisions: 43284
iteration: 26; vars: 273510; clauses: 11294; decisions: 44552
iteration: 27; vars: 283228; clauses: 12008; decisions: 46129
iteration: 28; vars: 292946; clauses: 12875; decisions: 47370
iteration: 29; vars: 302664; clauses: 13542; decisions: 48574
iteration: 30; vars: 312382; clauses: 14220; decisions: 51768
iteration: 31; vars: 322100; clauses: 14765; decisions: 53267
iteration: 32; vars: 331818; clauses: 15400; decisions: 55214
iteration: 33; vars: 341536; clauses: 16029; decisions: 56293
iteration: 34; vars: 351254; clauses: 16650; decisions: 57443
iteration: 35; vars: 360972; clauses: 17287; decisions: 58817
iteration: 36; vars: 370690; clauses: 17903; decisions: 60148
iteration: 37; vars: 380408; clauses: 18517; decisions: 61396
iteration: 38; vars: 390126; clauses: 19160; decisions: 63228
iteration: 39; vars: 399844; clauses: 19553; decisions: 64706
iteration: 40; vars: 409562; clauses: 20165; decisions: 65827
iteration: 41; vars: 419280; clauses: 20787; decisions: 67062
iteration: 42; vars: 428998; clauses: 21432; decisions: 68083
iteration: 43; vars: 438716; clauses: 22083; decisions: 69133
iteration: 44; vars: 448434; clauses: 22716; decisions: 70278
iteration: 45; vars: 458152; clauses: 23400; decisions: 71287
iteration: 46; vars: 467870; clauses: 24038; decisions: 72412
iteration: 47; vars: 477588; clauses: 24702; decisions: 73528
iteration: 48; vars: 487306; clauses: 25370; decisions: 74761
iteration: 49; vars: 497024; clauses: 26010; decisions: 75883
iteration: 50; vars: 506742; clauses: 26768; decisions: 78331
iteration: 51; vars: 516460; clauses: 26950; decisions: 79541
iteration: 52; vars: 526178; clauses: 27585; decisions: 81375
iteration: 53; vars: 535896; clauses: 28194; decisions: 82459
