inputs=256 keys=2856 outputs=245 gates=17879
iteration: 1; vars: 112510; clauses: 25876; decisions: 41883
iteration: 2; vars: 147778; clauses: 32814; decisions: 121440
iteration: 3; vars: 183046; clauses: 37393; decisions: 141644
iteration: 4; vars: 218314; clauses: 41389; decisions: 179867
iteration: 5; vars: 253582; clauses: 44714; decisions: 229024
iteration: 6; vars: 288850; clauses: 49455; decisions: 257995
iteration: 7; vars: 324118; clauses: 52550; decisions: 286544
iteration: 8; vars: 359386; clauses: 55220; decisions: 313343
iteration: 9; vars: 394654; clauses: 57646; decisions: 341249
iteration: 10; vars: 429922; clauses: 58844; decisions: 355758
iteration: 11; vars: 465190; clauses: 62190; decisions: 368370
iteration: 12; vars: 500458; clauses: 63540; decisions: 384100
iteration: 13; vars: 535726; clauses: 59643; decisions: 392501
iteration: 14; vars: 570994; clauses: 60380; decisions: 403739
iteration: 15; vars: 606262; clauses: 62467; decisions: 409938
iteration: 16; vars: 641530; clauses: 59257; decisions: 413670
iteration: 17; vars: 676798; clauses: 59812; decisions: 417440
iteration: 18; vars: 712066; clauses: 61716; decisions: 421565
iteration: 19; vars: 747334; clauses: 63389; decisions: 429534
iteration: 20; vars: 782602; clauses: 65194; decisions: 440345
iteration: 21; vars: 817870; clauses: 67298; decisions: 445747
iteration: 22; vars: 853138; clauses: 68561; decisions: 451054
iteration: 23; vars: 888406; clauses: 70035; decisions: 454484
iteration: 24; vars: 923674; clauses: 71975; decisions: 638063
iteration: 25; vars: 958942; clauses: 72809; decisions: 641847
iteration: 26; vars: 994210; clauses: 109372; decisions: 648350
iteration: 27; vars: 1029478; clauses: 76632; decisions: 652200
iteration: 28; vars: 1064746; clauses: 108773; decisions: 657049
iteration: 29; vars: 1100014; clauses: 81393; decisions: 659997
iteration: 30; vars: 1135282; clauses: 113556; decisions: 664703
iteration: 31; vars: 1170550; clauses: 85609; decisions: 667641
iteration: 32; vars: 1205818; clauses: 117794; decisions: 686272
iteration: 33; vars: 1241086; clauses: 89033; decisions: 690709
iteration: 34; vars: 1276354; clauses: 122032; decisions: 698924
iteration: 35; vars: 1311622; clauses: 90311; decisions: 702218
iteration: 36; vars: 1346890; clauses: 122031; decisions: 707024
iteration: 37; vars: 1382158; clauses: 91846; decisions: 712405
iteration: 38; vars: 1417426; clauses: 122772; decisions: 716860
iteration: 39; vars: 1452694; clauses: 91389; decisions: 720022
