inputs=8 keys=888 outputs=63 gates=4627
iteration: 1; vars: 29360; clauses: 7732; decisions: 10940
iteration: 2; vars: 38488; clauses: 8737; decisions: 17121
iteration: 3; vars: 47616; clauses: 9921; decisions: 24470
iteration: 4; vars: 56744; clauses: 10958; decisions: 29416
iteration: 5; vars: 65872; clauses: 12049; decisions: 33677
iteration: 6; vars: 75000; clauses: 13136; decisions: 39292
iteration: 7; vars: 84128; clauses: 13970; decisions: 44223
iteration: 8; vars: 93256; clauses: 14623; decisions: 47428
iteration: 9; vars: 102384; clauses: 15506; decisions: 49623
iteration: 10; vars: 111512; clauses: 15735; decisions: 58481
iteration: 11; vars: 120640; clauses: 16502; decisions: 60762
iteration: 12; vars: 129768; clauses: 17360; decisions: 64832
iteration: 13; vars: 138896; clauses: 18185; decisions: 67406
iteration: 14; vars: 148024; clauses: 18721; decisions: 71728
iteration: 15; vars: 157152; clauses: 19571; decisions: 75739
iteration: 16; vars: 166280; clauses: 20302; decisions: 81027
iteration: 17; vars: 175408; clauses: 20917; decisions: 84183
iteration: 18; vars: 184536; clauses: 20559; decisions: 86561
iteration: 19; vars: 193664; clauses: 20861; decisions: 91268
iteration: 20; vars: 202792; clauses: 21285; decisions: 94077
iteration: 21; vars: 211920; clauses: 22053; decisions: 95718
iteration: 22; vars: 221048; clauses: 22696; decisions: 105033
iteration: 23; vars: 230176; clauses: 23617; decisions: 106141
iteration: 24; vars: 239304; clauses: 24627; decisions: 108040
iteration: 25; vars: 248432; clauses: 24273; decisions: 110733
iteration: 26; vars: 257560; clauses: 24325; decisions: 115229
iteration: 27; vars: 266688; clauses: 23746; decisions: 116574
iteration: 28; vars: 275816; clauses: 22345; decisions: 118931
iteration: 29; vars: 284944; clauses: 22758; decisions: 123040
iteration: 30; vars: 294072; clauses: 21786; decisions: 125109
iteration: 31; vars: 303200; clauses: 21337; decisions: 128972
iteration: 32; vars: 312328; clauses: 21431; decisions: 130552
iteration: 33; vars: 321456; clauses: 19962; decisions: 136307
iteration: 34; vars: 330584; clauses: 15382; decisions: 138779
iteration: 35; vars: 339712; clauses: 15589; decisions: 140103
iteration: 36; vars: 348840; clauses: 15370; decisions: 146536
iteration: 37; vars: 357968; clauses: 13847; decisions: 147963
iteration: 38; vars: 367096; clauses: 14042; decisions: 151486
iteration: 39; vars: 376224; clauses: 13315; decisions: 154363
iteration: 40; vars: 385352; clauses: 13097; decisions: 155477
iteration: 41; vars: 394480; clauses: 13107; decisions: 156608
iteration: 42; vars: 403608; clauses: 13321; decisions: 159447
iteration: 43; vars: 412736; clauses: 13399; decisions: 162607
iteration: 44; vars: 421864; clauses: 12983; decisions: 165065
iteration: 45; vars: 430992; clauses: 13080; decisions: 167565
iteration: 46; vars: 440120; clauses: 13216; decisions: 168897
iteration: 47; vars: 449248; clauses: 12584; decisions: 171580
iteration: 48; vars: 458376; clauses: 12014; decisions: 172664
iteration: 49; vars: 467504; clauses: 11683; decisions: 174147
iteration: 50; vars: 476632; clauses: 11028; decisions: 177123
iteration: 51; vars: 485760; clauses: 10524; decisions: 178445
iteration: 52; vars: 494888; clauses: 10288; decisions: 179366
iteration: 53; vars: 504016; clauses: 10264; decisions: 180484
iteration: 54; vars: 513144; clauses: 10299; decisions: 182060
iteration: 55; vars: 522272; clauses: 9276; decisions: 184311
iteration: 56; vars: 531400; clauses: 8937; decisions: 185879
iteration: 57; vars: 540528; clauses: 8716; decisions: 187230
iteration: 58; vars: 549656; clauses: 7730; decisions: 189650
iteration: 59; vars: 558784; clauses: 7593; decisions: 190385
iteration: 60; vars: 567912; clauses: 7306; decisions: 191372
iteration: 61; vars: 577040; clauses: 5901; decisions: 192193
iteration: 62; vars: 586168; clauses: 4824; decisions: 193593
iteration: 63; vars: 595296; clauses: 4756; decisions: 194340
iteration: 64; vars: 604424; clauses: 4499; decisions: 194977
iteration: 65; vars: 613552; clauses: 4277; decisions: 195839
iteration: 66; vars: 622680; clauses: 4177; decisions: 197246
iteration: 67; vars: 631808; clauses: 4116; decisions: 197838
iteration: 68; vars: 640936; clauses: 4118; decisions: 198426
iteration: 69; vars: 650064; clauses: 4102; decisions: 199010
iteration: 70; vars: 659192; clauses: 3988; decisions: 199679
iteration: 71; vars: 668320; clauses: 3742; decisions: 200267
iteration: 72; vars: 677448; clauses: 3725; decisions: 201158
iteration: 73; vars: 686576; clauses: 3695; decisions: 202207
iteration: 74; vars: 695704; clauses: 3673; decisions: 202999
iteration: 75; vars: 704832; clauses: 3640; decisions: 203581
iteration: 76; vars: 713960; clauses: 3608; decisions: 204751
iteration: 77; vars: 723088; clauses: 3580; decisions: 205306
iteration: 78; vars: 732216; clauses: 3514; decisions: 205901
iteration: 79; vars: 741344; clauses: 3516; decisions: 206424
iteration: 80; vars: 750472; clauses: 3462; decisions: 207592
iteration: 81; vars: 759600; clauses: 3455; decisions: 208770
iteration: 82; vars: 768728; clauses: 3455; decisions: 209410
iteration: 83; vars: 777856; clauses: 3427; decisions: 210263
iteration: 84; vars: 786984; clauses: 3411; decisions: 211023
iteration: 85; vars: 796112; clauses: 3405; decisions: 211620
iteration: 86; vars: 805240; clauses: 3409; decisions: 212215
iteration: 87; vars: 814368; clauses: 3410; decisions: 212908
iteration: 88; vars: 823496; clauses: 3396; decisions: 213599
iteration: 89; vars: 832624; clauses: 3356; decisions: 214304
iteration: 90; vars: 841752; clauses: 3339; decisions: 215060
iteration: 91; vars: 850880; clauses: 3343; decisions: 215619
iteration: 92; vars: 860008; clauses: 3332; decisions: 216471
iteration: 93; vars: 869136; clauses: 3282; decisions: 217035
iteration: 94; vars: 878264; clauses: 3278; decisions: 217599
iteration: 95; vars: 887392; clauses: 3269; decisions: 218156
iteration: 96; vars: 896520; clauses: 3197; decisions: 218767
iteration: 97; vars: 905648; clauses: 3196; decisions: 219215
iteration: 98; vars: 914776; clauses: 3165; decisions: 219660
iteration: 99; vars: 923904; clauses: 3158; decisions: 220139
iteration: 100; vars: 933032; clauses: 3131; decisions: 220573
iteration: 101; vars: 942160; clauses: 3126; decisions: 221411
iteration: 102; vars: 951288; clauses: 3075; decisions: 222081
iteration: 103; vars: 960416; clauses: 3048; decisions: 222485
iteration: 104; vars: 969544; clauses: 3043; decisions: 222892
iteration: 105; vars: 978672; clauses: 3032; decisions: 223475
iteration: 106; vars: 987800; clauses: 3025; decisions: 224235
iteration: 107; vars: 996928; clauses: 3021; decisions: 224675
iteration: 108; vars: 1006056; clauses: 3017; decisions: 225341
iteration: 109; vars: 1015184; clauses: 2975; decisions: 225903
iteration: 110; vars: 1024312; clauses: 2981; decisions: 226299
iteration: 111; vars: 1033440; clauses: 2802; decisions: 227095
iteration: 112; vars: 1042568; clauses: 2775; decisions: 227477
iteration: 113; vars: 1051696; clauses: 2747; decisions: 227818
iteration: 114; vars: 1060824; clauses: 2741; decisions: 228179
iteration: 115; vars: 1069952; clauses: 2687; decisions: 228514
iteration: 116; vars: 1079080; clauses: 2674; decisions: 228974
iteration: 117; vars: 1088208; clauses: 2649; decisions: 229336
iteration: 118; vars: 1097336; clauses: 4357; decisions: 229639
iteration: 119; vars: 1106464; clauses: 2609; decisions: 230314
iteration: 120; vars: 1115592; clauses: 4475; decisions: 230627
iteration: 121; vars: 1124720; clauses: 2551; decisions: 231034
finished solver loop. fail_count = 0
