inputs=46 keys=620 outputs=45 gates=4482
iteration: 1; vars: 28046; clauses: 7369; decisions: 5499
iteration: 2; vars: 36920; clauses: 7486; decisions: 8503
iteration: 3; vars: 45794; clauses: 7487; decisions: 10053
iteration: 4; vars: 54668; clauses: 7542; decisions: 11136
iteration: 5; vars: 63542; clauses: 7760; decisions: 12834
iteration: 6; vars: 72416; clauses: 7428; decisions: 13922
iteration: 7; vars: 81290; clauses: 7563; decisions: 15840
iteration: 8; vars: 90164; clauses: 7608; decisions: 16840
iteration: 9; vars: 99038; clauses: 7648; decisions: 18483
iteration: 10; vars: 107912; clauses: 7688; decisions: 20143
iteration: 11; vars: 116786; clauses: 7771; decisions: 21700
iteration: 12; vars: 125660; clauses: 7695; decisions: 22833
iteration: 13; vars: 134534; clauses: 7430; decisions: 24189
iteration: 14; vars: 143408; clauses: 7456; decisions: 25634
iteration: 15; vars: 152282; clauses: 7482; decisions: 27018
iteration: 16; vars: 161156; clauses: 7548; decisions: 27925
iteration: 17; vars: 170030; clauses: 7544; decisions: 29954
iteration: 18; vars: 178904; clauses: 7608; decisions: 31347
iteration: 19; vars: 187778; clauses: 7593; decisions: 32909
iteration: 20; vars: 196652; clauses: 7621; decisions: 34001
iteration: 21; vars: 205526; clauses: 7636; decisions: 34897
iteration: 22; vars: 214400; clauses: 7502; decisions: 36262
iteration: 23; vars: 223274; clauses: 7531; decisions: 37257
iteration: 24; vars: 232148; clauses: 7547; decisions: 38358
iteration: 25; vars: 241022; clauses: 7562; decisions: 39596
iteration: 26; vars: 249896; clauses: 7574; decisions: 40555
iteration: 27; vars: 258770; clauses: 7590; decisions: 41377
iteration: 28; vars: 267644; clauses: 7604; decisions: 42280
iteration: 29; vars: 276518; clauses: 7472; decisions: 43462
iteration: 30; vars: 285392; clauses: 7436; decisions: 44378
iteration: 31; vars: 294266; clauses: 7434; decisions: 45263
iteration: 32; vars: 303140; clauses: 7361; decisions: 46101
iteration: 33; vars: 312014; clauses: 7235; decisions: 47320
iteration: 34; vars: 320888; clauses: 7221; decisions: 48211
iteration: 35; vars: 329762; clauses: 7213; decisions: 49428
iteration: 36; vars: 338636; clauses: 7213; decisions: 50368
iteration: 37; vars: 347510; clauses: 7218; decisions: 51530
iteration: 38; vars: 356384; clauses: 7115; decisions: 52601
iteration: 39; vars: 365258; clauses: 7121; decisions: 53349
iteration: 40; vars: 374132; clauses: 7122; decisions: 54142
iteration: 41; vars: 383006; clauses: 7100; decisions: 54817
iteration: 42; vars: 391880; clauses: 7116; decisions: 55632
iteration: 43; vars: 400754; clauses: 7118; decisions: 56464
iteration: 44; vars: 409628; clauses: 7118; decisions: 57317
iteration: 45; vars: 418502; clauses: 6995; decisions: 58049
iteration: 46; vars: 427376; clauses: 6918; decisions: 58765
iteration: 47; vars: 436250; clauses: 6909; decisions: 59681
iteration: 48; vars: 445124; clauses: 6880; decisions: 60641
iteration: 49; vars: 453998; clauses: 6799; decisions: 61448
iteration: 50; vars: 462872; clauses: 6790; decisions: 62184
iteration: 51; vars: 471746; clauses: 6809; decisions: 62905
iteration: 52; vars: 480620; clauses: 6566; decisions: 63787
iteration: 53; vars: 489494; clauses: 6538; decisions: 64440
iteration: 54; vars: 498368; clauses: 6493; decisions: 65291
iteration: 55; vars: 507242; clauses: 6337; decisions: 66032
iteration: 56; vars: 516116; clauses: 6303; decisions: 66644
iteration: 57; vars: 524990; clauses: 10325; decisions: 67442
iteration: 58; vars: 533864; clauses: 6325; decisions: 68047
iteration: 59; vars: 542738; clauses: 6321; decisions: 68769
iteration: 60; vars: 551612; clauses: 6291; decisions: 69400
iteration: 61; vars: 560486; clauses: 6293; decisions: 69962
iteration: 62; vars: 569360; clauses: 6254; decisions: 70773
iteration: 63; vars: 578234; clauses: 6244; decisions: 71713
iteration: 64; vars: 587108; clauses: 6245; decisions: 72270
