inputs=41 keys=1848 outputs=35 gates=10829
iteration: 1; vars: 68609; clauses: 13192; decisions: 22349
iteration: 2; vars: 90197; clauses: 13632; decisions: 33941
iteration: 3; vars: 111785; clauses: 13989; decisions: 40055
iteration: 4; vars: 133373; clauses: 14363; decisions: 53713
iteration: 5; vars: 154961; clauses: 14706; decisions: 65126
iteration: 6; vars: 176549; clauses: 15361; decisions: 72269
iteration: 7; vars: 198137; clauses: 16043; decisions: 79772
iteration: 8; vars: 219725; clauses: 16592; decisions: 86926
iteration: 9; vars: 241313; clauses: 16838; decisions: 94506
iteration: 10; vars: 262901; clauses: 17185; decisions: 102848
iteration: 11; vars: 284489; clauses: 17497; decisions: 108676
iteration: 12; vars: 306077; clauses: 17815; decisions: 112799
iteration: 13; vars: 327665; clauses: 18086; decisions: 119072
iteration: 14; vars: 349253; clauses: 18329; decisions: 124991
iteration: 15; vars: 370841; clauses: 19067; decisions: 134280
iteration: 16; vars: 392429; clauses: 19313; decisions: 140408
iteration: 17; vars: 414017; clauses: 19526; decisions: 145388
iteration: 18; vars: 435605; clauses: 20231; decisions: 149530
iteration: 19; vars: 457193; clauses: 20745; decisions: 157403
iteration: 20; vars: 478781; clauses: 22006; decisions: 164307
iteration: 21; vars: 500369; clauses: 22415; decisions: 168988
iteration: 22; vars: 521957; clauses: 22641; decisions: 180047
iteration: 23; vars: 543545; clauses: 23273; decisions: 187472
iteration: 24; vars: 565133; clauses: 23792; decisions: 191995
iteration: 25; vars: 586721; clauses: 24172; decisions: 198790
iteration: 26; vars: 608309; clauses: 24498; decisions: 207562
iteration: 27; vars: 629897; clauses: 25965; decisions: 213769
iteration: 28; vars: 651485; clauses: 26220; decisions: 222572
iteration: 29; vars: 673073; clauses: 26433; decisions: 229402
iteration: 30; vars: 694661; clauses: 26843; decisions: 233540
iteration: 31; vars: 716249; clauses: 27137; decisions: 237779
iteration: 32; vars: 737837; clauses: 27463; decisions: 241704
iteration: 33; vars: 759425; clauses: 27896; decisions: 245907
iteration: 34; vars: 781013; clauses: 27072; decisions: 251923
iteration: 35; vars: 802601; clauses: 25638; decisions: 256822
iteration: 36; vars: 824189; clauses: 24519; decisions: 261158
iteration: 37; vars: 845777; clauses: 23058; decisions: 265898
iteration: 38; vars: 867365; clauses: 23342; decisions: 269348
iteration: 39; vars: 888953; clauses: 24137; decisions: 277886
iteration: 40; vars: 910541; clauses: 24446; decisions: 284026
iteration: 41; vars: 932129; clauses: 24796; decisions: 288915
iteration: 42; vars: 953717; clauses: 25115; decisions: 294091
iteration: 43; vars: 975305; clauses: 25203; decisions: 301982
iteration: 44; vars: 996893; clauses: 23221; decisions: 311144
iteration: 45; vars: 1018481; clauses: 23508; decisions: 317477
iteration: 46; vars: 1040069; clauses: 24000; decisions: 324996
iteration: 47; vars: 1061657; clauses: 24584; decisions: 330043
iteration: 48; vars: 1083245; clauses: 24808; decisions: 335644
iteration: 49; vars: 1104833; clauses: 25304; decisions: 341707
iteration: 50; vars: 1126421; clauses: 26190; decisions: 345824
iteration: 51; vars: 1148009; clauses: 26432; decisions: 351822
iteration: 52; vars: 1169597; clauses: 26700; decisions: 357376
iteration: 53; vars: 1191185; clauses: 26181; decisions: 364608
iteration: 54; vars: 1212773; clauses: 26882; decisions: 370996
iteration: 55; vars: 1234361; clauses: 26230; decisions: 378437
iteration: 56; vars: 1255949; clauses: 26237; decisions: 385419
iteration: 57; vars: 1277537; clauses: 26980; decisions: 389230
iteration: 58; vars: 1299125; clauses: 26903; decisions: 396016
iteration: 59; vars: 1320713; clauses: 27220; decisions: 402423
iteration: 60; vars: 1342301; clauses: 27565; decisions: 407745
iteration: 61; vars: 1363889; clauses: 27878; decisions: 413747
iteration: 62; vars: 1385477; clauses: 28333; decisions: 419862
iteration: 63; vars: 1407065; clauses: 28879; decisions: 423927
iteration: 64; vars: 1428653; clauses: 28913; decisions: 431230
iteration: 65; vars: 1450241; clauses: 26578; decisions: 437905
iteration: 66; vars: 1471829; clauses: 26354; decisions: 443759
iteration: 67; vars: 1493417; clauses: 26667; decisions: 447660
iteration: 68; vars: 1515005; clauses: 26729; decisions: 453982
iteration: 69; vars: 1536593; clauses: 26779; decisions: 459212
iteration: 70; vars: 1558181; clauses: 26844; decisions: 466817
iteration: 71; vars: 1579769; clauses: 26820; decisions: 471076
iteration: 72; vars: 1601357; clauses: 26613; decisions: 480619
iteration: 73; vars: 1622945; clauses: 26534; decisions: 488834
iteration: 74; vars: 1644533; clauses: 26689; decisions: 492233
iteration: 75; vars: 1666121; clauses: 26588; decisions: 496765
iteration: 76; vars: 1687709; clauses: 25602; decisions: 502167
iteration: 77; vars: 1709297; clauses: 24653; decisions: 506072
iteration: 78; vars: 1730885; clauses: 24839; decisions: 511768
iteration: 79; vars: 1752473; clauses: 24396; decisions: 516102
iteration: 80; vars: 1774061; clauses: 24381; decisions: 521317
iteration: 81; vars: 1795649; clauses: 23554; decisions: 524519
iteration: 82; vars: 1817237; clauses: 23523; decisions: 527637
iteration: 83; vars: 1838825; clauses: 23504; decisions: 532639
iteration: 84; vars: 1860413; clauses: 23722; decisions: 536464
iteration: 85; vars: 1882001; clauses: 23722; decisions: 538743
iteration: 86; vars: 1903589; clauses: 23728; decisions: 542514
iteration: 87; vars: 1925177; clauses: 23426; decisions: 546258
iteration: 88; vars: 1946765; clauses: 22825; decisions: 549491
iteration: 89; vars: 1968353; clauses: 20791; decisions: 553933
iteration: 90; vars: 1989941; clauses: 20693; decisions: 558106
iteration: 91; vars: 2011529; clauses: 19821; decisions: 560749
iteration: 92; vars: 2033117; clauses: 19855; decisions: 563364
iteration: 93; vars: 2054705; clauses: 20148; decisions: 566007
iteration: 94; vars: 2076293; clauses: 19989; decisions: 569083
iteration: 95; vars: 2097881; clauses: 19105; decisions: 571749
iteration: 96; vars: 2119469; clauses: 19033; decisions: 574242
iteration: 97; vars: 2141057; clauses: 18618; decisions: 577378
iteration: 98; vars: 2162645; clauses: 18587; decisions: 579646
iteration: 99; vars: 2184233; clauses: 18317; decisions: 582182
iteration: 100; vars: 2205821; clauses: 18350; decisions: 584557
iteration: 101; vars: 2227409; clauses: 18436; decisions: 587186
iteration: 102; vars: 2248997; clauses: 18491; decisions: 589269
iteration: 103; vars: 2270585; clauses: 18553; decisions: 591268
iteration: 104; vars: 2292173; clauses: 18640; decisions: 593703
iteration: 105; vars: 2313761; clauses: 18615; decisions: 596995
iteration: 106; vars: 2335349; clauses: 18582; decisions: 599935
iteration: 107; vars: 2356937; clauses: 18638; decisions: 602702
iteration: 108; vars: 2378525; clauses: 18633; decisions: 606263
iteration: 109; vars: 2400113; clauses: 18722; decisions: 608703
iteration: 110; vars: 2421701; clauses: 18338; decisions: 611655
iteration: 111; vars: 2443289; clauses: 18282; decisions: 614485
iteration: 112; vars: 2464877; clauses: 18030; decisions: 618443
iteration: 113; vars: 2486465; clauses: 18082; decisions: 622004
iteration: 114; vars: 2508053; clauses: 18211; decisions: 625146
iteration: 115; vars: 2529641; clauses: 18115; decisions: 627240
iteration: 116; vars: 2551229; clauses: 18222; decisions: 630524
iteration: 117; vars: 2572817; clauses: 17735; decisions: 632656
iteration: 118; vars: 2594405; clauses: 17658; decisions: 635099
iteration: 119; vars: 2615993; clauses: 17646; decisions: 637493
iteration: 120; vars: 2637581; clauses: 17830; decisions: 641291
iteration: 121; vars: 2659169; clauses: 17976; decisions: 643329
iteration: 122; vars: 2680757; clauses: 17979; decisions: 645777
iteration: 123; vars: 2702345; clauses: 17955; decisions: 647654
iteration: 124; vars: 2723933; clauses: 17861; decisions: 650555
iteration: 125; vars: 2745521; clauses: 17869; decisions: 652898
iteration: 126; vars: 2767109; clauses: 17899; decisions: 655113
iteration: 127; vars: 2788697; clauses: 18109; decisions: 657104
iteration: 128; vars: 2810285; clauses: 18270; decisions: 659942
iteration: 129; vars: 2831873; clauses: 18201; decisions: 661923
iteration: 130; vars: 2853461; clauses: 18229; decisions: 663914
iteration: 131; vars: 2875049; clauses: 18217; decisions: 666195
iteration: 132; vars: 2896637; clauses: 18095; decisions: 668074
iteration: 133; vars: 2918225; clauses: 18069; decisions: 669935
iteration: 134; vars: 2939813; clauses: 18040; decisions: 673189
iteration: 135; vars: 2961401; clauses: 18033; decisions: 675457
iteration: 136; vars: 2982989; clauses: 17786; decisions: 677285
iteration: 137; vars: 3004577; clauses: 17820; decisions: 679552
iteration: 138; vars: 3026165; clauses: 17950; decisions: 681419
iteration: 139; vars: 3047753; clauses: 17962; decisions: 683484
iteration: 140; vars: 3069341; clauses: 17926; decisions: 685359
iteration: 141; vars: 3090929; clauses: 17866; decisions: 687199
iteration: 142; vars: 3112517; clauses: 17750; decisions: 689754
iteration: 143; vars: 3134105; clauses: 17794; decisions: 691653
iteration: 144; vars: 3155693; clauses: 17828; decisions: 693788
iteration: 145; vars: 3177281; clauses: 17888; decisions: 697023
iteration: 146; vars: 3198869; clauses: 17910; decisions: 699091
iteration: 147; vars: 3220457; clauses: 17929; decisions: 700964
iteration: 148; vars: 3242045; clauses: 17957; decisions: 705040
iteration: 149; vars: 3263633; clauses: 17973; decisions: 707178
iteration: 150; vars: 3285221; clauses: 17987; decisions: 709533
iteration: 151; vars: 3306809; clauses: 17886; decisions: 711333
iteration: 152; vars: 3328397; clauses: 17770; decisions: 712972
iteration: 153; vars: 3349985; clauses: 17488; decisions: 715078
iteration: 154; vars: 3371573; clauses: 17419; decisions: 717091
iteration: 155; vars: 3393161; clauses: 17388; decisions: 719115
iteration: 156; vars: 3414749; clauses: 17400; decisions: 720898
iteration: 157; vars: 3436337; clauses: 17407; decisions: 722482
iteration: 158; vars: 3457925; clauses: 17437; decisions: 725020
iteration: 159; vars: 3479513; clauses: 17451; decisions: 726673
iteration: 160; vars: 3501101; clauses: 17481; decisions: 728879
iteration: 161; vars: 3522689; clauses: 17502; decisions: 730505
iteration: 162; vars: 3544277; clauses: 17520; decisions: 732055
iteration: 163; vars: 3565865; clauses: 17544; decisions: 733606
iteration: 164; vars: 3587453; clauses: 17562; decisions: 735166
iteration: 165; vars: 3609041; clauses: 17447; decisions: 736857
iteration: 166; vars: 3630629; clauses: 17451; decisions: 739320
iteration: 167; vars: 3652217; clauses: 17466; decisions: 742212
iteration: 168; vars: 3673805; clauses: 17498; decisions: 744520
iteration: 169; vars: 3695393; clauses: 17505; decisions: 746115
iteration: 170; vars: 3716981; clauses: 17510; decisions: 747925
iteration: 171; vars: 3738569; clauses: 16473; decisions: 750580
iteration: 172; vars: 3760157; clauses: 15576; decisions: 752579
iteration: 173; vars: 3781745; clauses: 15383; decisions: 754484
iteration: 174; vars: 3803333; clauses: 15256; decisions: 756517
iteration: 175; vars: 3824921; clauses: 15231; decisions: 758045
iteration: 176; vars: 3846509; clauses: 15252; decisions: 759572
iteration: 177; vars: 3868097; clauses: 15247; decisions: 761480
iteration: 178; vars: 3889685; clauses: 15279; decisions: 762973
iteration: 179; vars: 3911273; clauses: 15296; decisions: 764719
iteration: 180; vars: 3932861; clauses: 15212; decisions: 766201
iteration: 181; vars: 3954449; clauses: 15230; decisions: 767809
iteration: 182; vars: 3976037; clauses: 15232; decisions: 769270
iteration: 183; vars: 3997625; clauses: 15227; decisions: 771255
iteration: 184; vars: 4019213; clauses: 15108; decisions: 772753
iteration: 185; vars: 4040801; clauses: 15116; decisions: 775299
iteration: 186; vars: 4062389; clauses: 15144; decisions: 776898
iteration: 187; vars: 4083977; clauses: 15145; decisions: 778456
iteration: 188; vars: 4105565; clauses: 15170; decisions: 780202
iteration: 189; vars: 4127153; clauses: 15204; decisions: 781713
iteration: 190; vars: 4148741; clauses: 15221; decisions: 783211
iteration: 191; vars: 4170329; clauses: 15245; decisions: 784722
iteration: 192; vars: 4191917; clauses: 15263; decisions: 786296
iteration: 193; vars: 4213505; clauses: 15286; decisions: 787814
iteration: 194; vars: 4235093; clauses: 15304; decisions: 790801
iteration: 195; vars: 4256681; clauses: 15317; decisions: 792524
iteration: 196; vars: 4278269; clauses: 15338; decisions: 794047
iteration: 197; vars: 4299857; clauses: 15341; decisions: 796127
iteration: 198; vars: 4321445; clauses: 15340; decisions: 798618
iteration: 199; vars: 4343033; clauses: 15340; decisions: 800754
iteration: 200; vars: 4364621; clauses: 15261; decisions: 804099
iteration: 201; vars: 4386209; clauses: 15209; decisions: 805992
iteration: 202; vars: 4407797; clauses: 15229; decisions: 807454
iteration: 203; vars: 4429385; clauses: 14926; decisions: 809709
iteration: 204; vars: 4450973; clauses: 14867; decisions: 811705
iteration: 205; vars: 4472561; clauses: 14892; decisions: 813449
iteration: 206; vars: 4494149; clauses: 14935; decisions: 814883
iteration: 207; vars: 4515737; clauses: 14965; decisions: 816483
iteration: 208; vars: 4537325; clauses: 15016; decisions: 817996
iteration: 209; vars: 4558913; clauses: 15011; decisions: 819618
iteration: 210; vars: 4580501; clauses: 15007; decisions: 821027
iteration: 211; vars: 4602089; clauses: 15043; decisions: 822455
iteration: 212; vars: 4623677; clauses: 15045; decisions: 823883
iteration: 213; vars: 4645265; clauses: 15066; decisions: 825296
iteration: 214; vars: 4666853; clauses: 15082; decisions: 826741
iteration: 215; vars: 4688441; clauses: 15082; decisions: 828203
iteration: 216; vars: 4710029; clauses: 15090; decisions: 829711
iteration: 217; vars: 4731617; clauses: 15115; decisions: 831153
iteration: 218; vars: 4753205; clauses: 12853; decisions: 832964
iteration: 219; vars: 4774793; clauses: 12807; decisions: 834662
iteration: 220; vars: 4796381; clauses: 12592; decisions: 836531
iteration: 221; vars: 4817969; clauses: 12596; decisions: 838446
iteration: 222; vars: 4839557; clauses: 12607; decisions: 840092
iteration: 223; vars: 4861145; clauses: 12483; decisions: 841806
iteration: 224; vars: 4882733; clauses: 12489; decisions: 843426
iteration: 225; vars: 4904321; clauses: 12416; decisions: 845077
iteration: 226; vars: 4925909; clauses: 12329; decisions: 846635
iteration: 227; vars: 4947497; clauses: 12331; decisions: 847983
iteration: 228; vars: 4969085; clauses: 12328; decisions: 849296
iteration: 229; vars: 4990673; clauses: 12176; decisions: 850659
iteration: 230; vars: 5012261; clauses: 12166; decisions: 852154
iteration: 231; vars: 5033849; clauses: 12171; decisions: 853732
iteration: 232; vars: 5055437; clauses: 12172; decisions: 855160
iteration: 233; vars: 5077025; clauses: 12159; decisions: 856497
iteration: 234; vars: 5098613; clauses: 12116; decisions: 858048
iteration: 235; vars: 5120201; clauses: 12105; decisions: 859430
iteration: 236; vars: 5141789; clauses: 12108; decisions: 861451
iteration: 237; vars: 5163377; clauses: 11646; decisions: 863087
iteration: 238; vars: 5184965; clauses: 11637; decisions: 864771
iteration: 239; vars: 5206553; clauses: 11564; decisions: 866162
iteration: 240; vars: 5228141; clauses: 11527; decisions: 867713
iteration: 241; vars: 5249729; clauses: 11495; decisions: 869020
iteration: 242; vars: 5271317; clauses: 11496; decisions: 870275
iteration: 243; vars: 5292905; clauses: 11492; decisions: 871839
iteration: 244; vars: 5314493; clauses: 11527; decisions: 873251
iteration: 245; vars: 5336081; clauses: 10968; decisions: 874510
iteration: 246; vars: 5357669; clauses: 10715; decisions: 875987
iteration: 247; vars: 5379257; clauses: 10657; decisions: 877305
iteration: 248; vars: 5400845; clauses: 10682; decisions: 878675
iteration: 249; vars: 5422433; clauses: 10539; decisions: 879964
iteration: 250; vars: 5444021; clauses: 10536; decisions: 881331
iteration: 251; vars: 5465609; clauses: 10527; decisions: 882596
iteration: 252; vars: 5487197; clauses: 10504; decisions: 883839
iteration: 253; vars: 5508785; clauses: 10450; decisions: 885300
iteration: 254; vars: 5530373; clauses: 10444; decisions: 887145
iteration: 255; vars: 5551961; clauses: 10445; decisions: 888370
iteration: 256; vars: 5573549; clauses: 10328; decisions: 889991
iteration: 257; vars: 5595137; clauses: 10323; decisions: 891233
iteration: 258; vars: 5616725; clauses: 10311; decisions: 892420
iteration: 259; vars: 5638313; clauses: 10291; decisions: 893938
iteration: 260; vars: 5659901; clauses: 10284; decisions: 895294
iteration: 261; vars: 5681489; clauses: 10282; decisions: 896923
iteration: 262; vars: 5703077; clauses: 10269; decisions: 898305
iteration: 263; vars: 5724665; clauses: 10264; decisions: 899494
iteration: 264; vars: 5746253; clauses: 10100; decisions: 901187
iteration: 265; vars: 5767841; clauses: 9955; decisions: 902330
iteration: 266; vars: 5789429; clauses: 9954; decisions: 903479
iteration: 267; vars: 5811017; clauses: 9919; decisions: 904567
iteration: 268; vars: 5832605; clauses: 9900; decisions: 905656
iteration: 269; vars: 5854193; clauses: 9745; decisions: 906879
iteration: 270; vars: 5875781; clauses: 9777; decisions: 907969
iteration: 271; vars: 5897369; clauses: 9776; decisions: 909111
iteration: 272; vars: 5918957; clauses: 9801; decisions: 910201
iteration: 273; vars: 5940545; clauses: 9803; decisions: 911547
iteration: 274; vars: 5962133; clauses: 9755; decisions: 912900
iteration: 275; vars: 5983721; clauses: 9781; decisions: 914574
iteration: 276; vars: 6005309; clauses: 9745; decisions: 915687
iteration: 277; vars: 6026897; clauses: 9731; decisions: 916983
iteration: 278; vars: 6048485; clauses: 9734; decisions: 918039
iteration: 279; vars: 6070073; clauses: 9730; decisions: 919057
iteration: 280; vars: 6091661; clauses: 9726; decisions: 920529
iteration: 281; vars: 6113249; clauses: 9729; decisions: 921553
iteration: 282; vars: 6134837; clauses: 9737; decisions: 922590
iteration: 283; vars: 6156425; clauses: 9659; decisions: 923596
iteration: 284; vars: 6178013; clauses: 9677; decisions: 924929
iteration: 285; vars: 6199601; clauses: 9611; decisions: 925932
iteration: 286; vars: 6221189; clauses: 9592; decisions: 927158
iteration: 287; vars: 6242777; clauses: 9557; decisions: 928183
iteration: 288; vars: 6264365; clauses: 9560; decisions: 929175
iteration: 289; vars: 6285953; clauses: 9484; decisions: 930258
iteration: 290; vars: 6307541; clauses: 9439; decisions: 931511
iteration: 291; vars: 6329129; clauses: 9436; decisions: 932570
iteration: 292; vars: 6350717; clauses: 9429; decisions: 933512
iteration: 293; vars: 6372305; clauses: 9431; decisions: 934488
iteration: 294; vars: 6393893; clauses: 9423; decisions: 935451
iteration: 295; vars: 6415481; clauses: 9427; decisions: 936566
iteration: 296; vars: 6437069; clauses: 9399; decisions: 937735
iteration: 297; vars: 6458657; clauses: 9389; decisions: 938688
iteration: 298; vars: 6480245; clauses: 9365; decisions: 939630
iteration: 299; vars: 6501833; clauses: 9363; decisions: 940565
iteration: 300; vars: 6523421; clauses: 9361; decisions: 941561
iteration: 301; vars: 6545009; clauses: 9357; decisions: 942483
iteration: 302; vars: 6566597; clauses: 9361; decisions: 943392
iteration: 303; vars: 6588185; clauses: 9364; decisions: 944299
iteration: 304; vars: 6609773; clauses: 9344; decisions: 945210
iteration: 305; vars: 6631361; clauses: 8952; decisions: 946106
iteration: 306; vars: 6652949; clauses: 8924; decisions: 946995
iteration: 307; vars: 6674537; clauses: 8913; decisions: 947953
iteration: 308; vars: 6696125; clauses: 8883; decisions: 949032
iteration: 309; vars: 6717713; clauses: 8911; decisions: 950059
iteration: 310; vars: 6739301; clauses: 8901; decisions: 950946
iteration: 311; vars: 6760889; clauses: 8895; decisions: 951841
iteration: 312; vars: 6782477; clauses: 8885; decisions: 952686
iteration: 313; vars: 6804065; clauses: 8881; decisions: 953521
iteration: 314; vars: 6825653; clauses: 8835; decisions: 954343
iteration: 315; vars: 6847241; clauses: 8830; decisions: 955485
iteration: 316; vars: 6868829; clauses: 8830; decisions: 956311
iteration: 317; vars: 6890417; clauses: 8829; decisions: 957135
iteration: 318; vars: 6912005; clauses: 8829; decisions: 958107
iteration: 319; vars: 6933593; clauses: 8831; decisions: 958937
iteration: 320; vars: 6955181; clauses: 8833; decisions: 959801
iteration: 321; vars: 6976769; clauses: 8835; decisions: 960621
