benchmark,#input,#keys,#outputs,#gates,#iteration,cpu_time
apex2_enc05,39,32,3,642,6,0.05
apex2_enc10,39,65,3,675,7,0.05
apex2_enc25,39,162,3,772,20,0.14
apex2_enc50,39,325,3,935,46,0.47
apex4_enc05,10,269,19,5629,15,0.52
apex4_enc10,10,537,19,5897,38,1.41
apex4_enc25,10,1343,19,6703,66,3.36
apex4_enc50,10,2685,19,8045,116,10.48
c1355_enc05,41,29,32,575,1,0.03
c1355_enc10,41,59,32,605,1,0.03
c1355_enc25,41,147,32,693,36,0.45
c1355_enc50,41,294,32,840,48,4.58
c1908_enc05,33,46,25,926,2,0.03
c1908_enc10,33,91,25,971,4,0.03
c1908_enc25,33,228,25,1108,25,0.44
c1908_enc50,33,457,25,1337,35,0.75
c2670_enc05,233,71,140,1264,25,0.55
c2670_enc10,233,143,140,1336,34,0.56
c2670_enc25,233,357,140,1550,40,1.48
c2670_enc50,233,713,140,1906,55,4.17
c3540_enc05,50,86,22,1755,19,0.31
c3540_enc10,50,172,22,1841,22,0.39
c3540_enc25,50,430,22,2099,47,1.88
c3540_enc50,50,860,22,2529,69,5.73
c432_enc05,36,10,7,170,2,0.02
c432_enc10,36,20,7,180,3,0.02
c432_enc25,36,49,7,209,6,0.03
c432_enc50,36,98,7,258,9,0.06
c499_enc05,41,12,32,214,1,0.05
c499_enc10,41,24,32,226,1,0.05
c499_enc25,41,61,32,263,15,0.09
c499_enc50,41,122,32,324,51,0.81
c5315_enc05,178,124,123,2431,38,0.83
c5315_enc10,178,249,123,2556,34,0.83
c5315_enc25,178,621,123,2928,51,1.62
c5315_enc50,178,1243,123,3550,72,4.22
c7552_enc05,207,186,108,3698,22,0.47
c7552_enc10,207,372,108,3884,39,1.16
c7552_enc25,207,930,108,4442,127,11.34
c7552_enc50,207,1860,108,5372,180,28.03
c880_enc05,60,22,26,405,10,0.05
c880_enc10,60,44,26,427,6,0.08
c880_enc25,60,111,26,494,14,0.09
c880_enc50,60,222,26,605,18,0.14
dalu_enc05,75,119,16,2417,14,0.20
dalu_enc10,75,237,16,2535,21,0.38
dalu_enc25,75,593,16,2891,19,0.66
dalu_enc50,75,1187,16,3485,25,1.11
des_enc05,256,336,245,6809,7,0.39
des_enc10,256,673,245,7146,6,0.39
des_enc25,256,1682,245,8155,13,1.17
des_enc50,256,3365,245,9838,46,6.53
ex1010_enc05,10,254,10,5320,30,0.92
ex1010_enc10,10,508,10,5574,47,1.69
ex1010_enc25,10,1269,10,6335,69,3.39
ex1010_enc50,10,2538,10,7604,120,9.70
ex5_enc05,8,53,63,1108,10,0.06
ex5_enc10,8,106,63,1161,17,0.27
ex5_enc25,8,266,63,1321,25,0.33
ex5_enc50,8,532,63,1587,32,0.73
i4_enc05,192,27,6,365,9,0.05
i4_enc10,192,53,6,391,15,0.05
i4_enc25,192,133,6,471,33,0.11
i4_enc50,192,265,6,603,48,0.23
i7_enc05,199,76,67,1391,3,0.06
i7_enc10,199,151,67,1466,4,0.08
i7_enc25,199,379,67,1694,5,0.08
i7_enc50,199,757,67,2072,5,0.12
i8_enc05,133,130,81,2594,4,0.11
i8_enc10,133,260,81,2724,9,0.41
i8_enc25,133,649,81,3113,22,0.64
i8_enc50,133,1299,81,3763,25,1.14
i9_enc05,88,56,63,1091,2,0.11
i9_enc10,88,112,63,1147,2,0.11
i9_enc25,88,281,63,1316,6,0.20
i9_enc50,88,562,63,1597,8,0.20
k2_enc05,46,93,45,1908,2,0.08
k2_enc10,46,186,45,2001,3,0.11
k2_enc25,46,465,45,2280,5,0.12
k2_enc50,46,931,45,2746,13,0.38
seq_enc05,41,178,35,3697,19,0.39
seq_enc10,41,356,35,3875,35,0.84
seq_enc25,41,890,35,4409,64,2.38
seq_enc50,41,1780,35,5299,108,7.36
