inputs=8 keys=532 outputs=63 gates=1587
iteration: 1; vars: 10408; clauses: 3579; decisions: 2936
iteration: 2; vars: 13456; clauses: 3449; decisions: 3853
iteration: 3; vars: 16504; clauses: 8007; decisions: 4507
iteration: 4; vars: 19552; clauses: 3193; decisions: 5239
iteration: 5; vars: 22600; clauses: 7755; decisions: 5806
iteration: 6; vars: 25648; clauses: 2987; decisions: 6438
iteration: 7; vars: 28696; clauses: 7259; decisions: 6879
iteration: 8; vars: 31744; clauses: 2725; decisions: 7618
iteration: 9; vars: 34792; clauses: 7037; decisions: 7949
iteration: 10; vars: 37840; clauses: 2533; decisions: 8343
iteration: 11; vars: 40888; clauses: 6473; decisions: 8606
iteration: 12; vars: 43936; clauses: 2473; decisions: 8939
iteration: 13; vars: 46984; clauses: 6699; decisions: 9283
iteration: 14; vars: 50032; clauses: 10993; decisions: 9475
iteration: 15; vars: 53080; clauses: 2261; decisions: 9733
iteration: 16; vars: 56128; clauses: 6257; decisions: 10002
iteration: 17; vars: 59176; clauses: 2218; decisions: 10181
iteration: 18; vars: 62224; clauses: 6164; decisions: 10328
iteration: 19; vars: 65272; clauses: 2195; decisions: 10510
iteration: 20; vars: 68320; clauses: 6125; decisions: 10661
iteration: 21; vars: 71368; clauses: 2140; decisions: 10820
iteration: 22; vars: 74416; clauses: 5860; decisions: 11032
iteration: 23; vars: 77464; clauses: 2107; decisions: 11184
iteration: 24; vars: 80512; clauses: 5791; decisions: 11306
iteration: 25; vars: 83560; clauses: 9387; decisions: 11473
iteration: 26; vars: 86608; clauses: 2040; decisions: 11613
iteration: 27; vars: 89656; clauses: 5770; decisions: 11805
iteration: 28; vars: 92704; clauses: 9456; decisions: 11880
iteration: 29; vars: 95752; clauses: 13172; decisions: 11995
iteration: 30; vars: 98800; clauses: 16764; decisions: 12143
iteration: 31; vars: 101848; clauses: 1971; decisions: 12215
iteration: 32; vars: 104896; clauses: 5695; decisions: 12539
finished solver loop. fail_count = 0
key=0100000000000000010101010101000110000010101010101010101000000101010101010010101010101010110001110001010100100000000100010101010101010101010101001000100101010101010001101001011001011010010110010101000100110001011001001101000001010000101001000100010010101010101001010101010100101001110010101010101010101010001000101010101011001011110101010110010101010101001010101011001010001100101010100011001110010101011001100101010000010000010001001010101010100101000101010101010101010011000100101001011011101010010001010110010011011101010100101101
iteration=32; backbones_count=0; cube_count=272654; cpu_time=0.734375; maxrss=13.9141
