inputs=41 keys=890 outputs=35 gates=4409
iteration: 1; vars: 28173; clauses: 6870; decisions: 3601
iteration: 2; vars: 36921; clauses: 6829; decisions: 6502
iteration: 3; vars: 45669; clauses: 16805; decisions: 7057
iteration: 4; vars: 54417; clauses: 5936; decisions: 7930
iteration: 5; vars: 63165; clauses: 5890; decisions: 9328
iteration: 6; vars: 71913; clauses: 5787; decisions: 10099
iteration: 7; vars: 80661; clauses: 5759; decisions: 10849
iteration: 8; vars: 89409; clauses: 5747; decisions: 11565
iteration: 9; vars: 98157; clauses: 14203; decisions: 11994
iteration: 10; vars: 106905; clauses: 5566; decisions: 12561
iteration: 11; vars: 115653; clauses: 5562; decisions: 13124
iteration: 12; vars: 124401; clauses: 13036; decisions: 13504
iteration: 13; vars: 133149; clauses: 5558; decisions: 14049
iteration: 14; vars: 141897; clauses: 12986; decisions: 14428
iteration: 15; vars: 150645; clauses: 5504; decisions: 14959
iteration: 16; vars: 159393; clauses: 5470; decisions: 15500
iteration: 17; vars: 168141; clauses: 5454; decisions: 16003
iteration: 18; vars: 176889; clauses: 13816; decisions: 16573
iteration: 19; vars: 185637; clauses: 5351; decisions: 17007
iteration: 20; vars: 194385; clauses: 13885; decisions: 17413
iteration: 21; vars: 203133; clauses: 22397; decisions: 17639
iteration: 22; vars: 211881; clauses: 5188; decisions: 17921
iteration: 23; vars: 220629; clauses: 13264; decisions: 18168
iteration: 24; vars: 229377; clauses: 5178; decisions: 18440
iteration: 25; vars: 238125; clauses: 13066; decisions: 18626
iteration: 26; vars: 246873; clauses: 5133; decisions: 18924
iteration: 27; vars: 255621; clauses: 13055; decisions: 19113
iteration: 28; vars: 264369; clauses: 5117; decisions: 19587
iteration: 29; vars: 273117; clauses: 13155; decisions: 19752
iteration: 30; vars: 281865; clauses: 5102; decisions: 19978
iteration: 31; vars: 290613; clauses: 13550; decisions: 20309
iteration: 32; vars: 299361; clauses: 21614; decisions: 20457
iteration: 33; vars: 308109; clauses: 5066; decisions: 21071
iteration: 34; vars: 316857; clauses: 12746; decisions: 21304
iteration: 35; vars: 325605; clauses: 20500; decisions: 21490
iteration: 36; vars: 334353; clauses: 5050; decisions: 21841
iteration: 37; vars: 343101; clauses: 12750; decisions: 22029
iteration: 38; vars: 351849; clauses: 20310; decisions: 22180
iteration: 39; vars: 360597; clauses: 27940; decisions: 22355
iteration: 40; vars: 369345; clauses: 5030; decisions: 23156
iteration: 41; vars: 378093; clauses: 12882; decisions: 23280
iteration: 42; vars: 386841; clauses: 20446; decisions: 23467
iteration: 43; vars: 395589; clauses: 28266; decisions: 23674
iteration: 44; vars: 404337; clauses: 4974; decisions: 23902
iteration: 45; vars: 413085; clauses: 13002; decisions: 24017
iteration: 46; vars: 421833; clauses: 21086; decisions: 24120
iteration: 47; vars: 430581; clauses: 28992; decisions: 24362
iteration: 48; vars: 439329; clauses: 36692; decisions: 24447
iteration: 49; vars: 448077; clauses: 44428; decisions: 24595
iteration: 50; vars: 456825; clauses: 4935; decisions: 24772
iteration: 51; vars: 465573; clauses: 12715; decisions: 25784
iteration: 52; vars: 474321; clauses: 20169; decisions: 25851
iteration: 53; vars: 483069; clauses: 27915; decisions: 25910
iteration: 54; vars: 491817; clauses: 35771; decisions: 25979
iteration: 55; vars: 500565; clauses: 43179; decisions: 26058
iteration: 56; vars: 509313; clauses: 50949; decisions: 26147
iteration: 57; vars: 518061; clauses: 58575; decisions: 26521
iteration: 58; vars: 526809; clauses: 65903; decisions: 26656
iteration: 59; vars: 535557; clauses: 73651; decisions: 26860
iteration: 60; vars: 544305; clauses: 81481; decisions: 27500
iteration: 61; vars: 553053; clauses: 89171; decisions: 28095
iteration: 62; vars: 561801; clauses: 97093; decisions: 28235
iteration: 63; vars: 570549; clauses: 104297; decisions: 28782
iteration: 64; vars: 579297; clauses: 111737; decisions: 30656
finished solver loop. fail_count = 0
key=00010010100100001100100100101001010001001010110010101011000100001001011000000010110010011010001010100010100101010010101010000111100010001100100101010010110001110001010101010101010100010011001001100110010110100101001011000110101001010101010101010101001010101010101010101000101100010101000101010101010101010110010101001000011001001010100101000010101001010010001001010100011000101001100101010100101100100001101001001010101010010101010101010101010101010101010101000101010001010101010101010100101010000010101010010101011100010010010101011001010100110000101010101100101001001011001101000101010001001001010101100100101010100101000100101001101100010100110010101001010010010100010101001000011000101100101010110011000110101001010110010010110011010010101010001001101001001010010110101001001010100100110010101001010101010101010101010101010101010101001010010010101010100101010101010101010001000101100100
iteration=64; backbones_count=0; cube_count=1442962; cpu_time=2.375; maxrss=50.7578
