benchmark,#input,#keys,#outputs,#gates,#iteration,cpu_time
apex2_enc05,39,31,3,643,19,0.12
apex2_enc10,39,61,3,673,42,0.39
apex2_enc25,39,153,3,769,134,5.02
apex2_enc50,39,305,3,928,225,17.44
apex4_enc05,10,268,19,5628,81,3.77
apex4_enc10,10,536,19,5896,127,10.94
apex4_enc25,10,1340,19,6700,201,54.09
apex4_enc50,10,2680,19,8044,276,409.22
c1355_enc05,41,27,32,574,16,0.12
c1355_enc10,41,55,32,603,23,0.38
c1355_enc25,41,137,32,686,66,5.77
c1355_enc50,41,273,32,825,154,2144.97
c1908_enc05,33,44,25,925,17,0.23
c1908_enc10,33,88,25,971,28,1.42
c1908_enc25,33,220,25,1106,63,12.91
c1908_enc50,33,440,25,1329,96,99.11
c2670_enc05,233,60,140,1257,31,0.33
c2670_enc10,233,119,140,1321,1761,120.62
c2670_enc25,233,298,140,1512,-,> 2h
c2670_enc50,233,597,140,1836,-,> 2h
c3540_enc05,50,83,22,1754,19,1.48
c3540_enc10,50,167,22,1839,31,2.31
c3540_enc25,50,417,22,2094,54,4.53
c3540_enc50,50,835,22,2515,101,189.11
c432_enc05,36,8,7,170,2,0.03
c432_enc10,36,16,7,179,3,0.02
c432_enc25,36,40,7,204,15,0.05
c432_enc50,36,80,7,248,26,0.22
c499_enc05,41,10,32,212,3,0.06
c499_enc10,41,20,32,224,6,0.09
c499_enc25,41,51,32,258,15,0.55
c499_enc50,41,101,32,313,19,3.19
c5315_enc05,178,115,123,2427,22,0.66
c5315_enc10,178,231,123,2548,36,1.70
c5315_enc25,178,577,123,2905,99,23.67
c5315_enc50,178,1154,123,3498,182,524.48
c7552_enc05,207,176,108,3695,44,2.08
c7552_enc10,207,351,108,3877,112,15.69
c7552_enc25,207,878,108,4415,226,553.09
c7552_enc50,207,1756,108,5311,-,> 2h
c880_enc05,60,19,26,404,4,0.06
c880_enc10,60,38,26,423,12,0.06
c880_enc25,60,96,26,488,16,0.28
c880_enc50,60,192,26,590,47,2.55
dalu_enc05,75,115,16,2418,19,0.62
dalu_enc10,75,230,16,2533,35,1.97
dalu_enc25,75,575,16,2882,93,19.72
dalu_enc50,75,1149,16,3462,-,> 2h
des_enc05,256,324,245,6804,26,1.98
des_enc10,256,647,245,7132,39,3.84
des_enc25,256,1618,245,8121,70,56.08
des_enc50,256,3237,245,9772,-,> 2h
ex1010_enc05,10,253,10,5319,104,11.56
ex1010_enc10,10,507,10,5573,155,27.53
ex1010_enc25,10,1267,10,6333,295,193.05
ex1010_enc50,10,2533,10,7603,451,1198.39
ex5_enc05,8,53,63,1109,14,0.14
ex5_enc10,8,106,63,1161,35,0.50
ex5_enc25,8,264,63,1319,42,1.22
ex5_enc50,8,528,63,1585,70,6.69
execution_log,i4_enc05,192,17,6,360,17,0.05
i4_enc10,192,34,6,380,41,0.12
i4_enc25,192,85,6,440,68,0.50
i4_enc50,192,169,6,534,226,8.45
i7_enc05,199,66,67,1384,9,0.11
i7_enc10,199,132,67,1454,11,0.16
i7_enc25,199,329,67,1670,26,1.97
i7_enc50,199,658,67,2017,44,3.09
i8_enc05,133,123,81,2589,14,0.61
i8_enc10,133,246,81,2714,20,0.95
i8_enc25,133,616,81,3092,37,3.59
i8_enc50,133,1232,81,3722,63,47.08
i9_enc05,88,52,63,1089,3,0.14
i9_enc10,88,104,63,1145,10,0.27
i9_enc25,88,259,63,1307,17,0.56
i9_enc50,88,518,63,1574,15,1.92
k2_enc05,46,91,45,1908,17,0.28
k2_enc10,46,182,45,2000,32,0.73
k2_enc25,46,454,45,2275,71,3.00
k2_enc50,46,908,45,2731,129,47.95
seq_enc05,41,176,35,3697,51,1.53
seq_enc10,41,352,35,3873,72,3.23
seq_enc25,41,880,35,4404,166,27.20
seq_enc50,41,1760,35,5288,263,144.78
