inputs=39 keys=305 outputs=3 gates=928
iteration: 1; vars: 5863; clauses: 5345; decisions: 2266
iteration: 2; vars: 7597; clauses: 6316; decisions: 6086
iteration: 3; vars: 9331; clauses: 11064; decisions: 8526
iteration: 4; vars: 11065; clauses: 7988; decisions: 15318
iteration: 5; vars: 12799; clauses: 12674; decisions: 16572
iteration: 6; vars: 14533; clauses: 9876; decisions: 18504
iteration: 7; vars: 16267; clauses: 14584; decisions: 19264
iteration: 8; vars: 18001; clauses: 11698; decisions: 21571
iteration: 9; vars: 19735; clauses: 16438; decisions: 23934
iteration: 10; vars: 21469; clauses: 15050; decisions: 30972
iteration: 11; vars: 23203; clauses: 19880; decisions: 37167
iteration: 12; vars: 24937; clauses: 18902; decisions: 50788
iteration: 13; vars: 26671; clauses: 23574; decisions: 54893
iteration: 14; vars: 28405; clauses: 28362; decisions: 70939
iteration: 15; vars: 30139; clauses: 18495; decisions: 71563
iteration: 16; vars: 31873; clauses: 23353; decisions: 77535
iteration: 17; vars: 33607; clauses: 28201; decisions: 78819
iteration: 18; vars: 35341; clauses: 19636; decisions: 91834
iteration: 19; vars: 37075; clauses: 24414; decisions: 94155
iteration: 20; vars: 38809; clauses: 29260; decisions: 117314
iteration: 21; vars: 40543; clauses: 20988; decisions: 117994
iteration: 22; vars: 42277; clauses: 25800; decisions: 145332
iteration: 23; vars: 44011; clauses: 30612; decisions: 149492
iteration: 24; vars: 45745; clauses: 23078; decisions: 161649
iteration: 25; vars: 47479; clauses: 27776; decisions: 162738
iteration: 26; vars: 49213; clauses: 32525; decisions: 189568
iteration: 27; vars: 50947; clauses: 37257; decisions: 197911
iteration: 28; vars: 52681; clauses: 17809; decisions: 215895
iteration: 29; vars: 54415; clauses: 22627; decisions: 220776
iteration: 30; vars: 56149; clauses: 27433; decisions: 243748
iteration: 31; vars: 57883; clauses: 19998; decisions: 261837
iteration: 32; vars: 59617; clauses: 24690; decisions: 262915
iteration: 33; vars: 61351; clauses: 29410; decisions: 295131
iteration: 34; vars: 63085; clauses: 20699; decisions: 300639
iteration: 35; vars: 64819; clauses: 25465; decisions: 301763
iteration: 36; vars: 66553; clauses: 30231; decisions: 318733
iteration: 37; vars: 68287; clauses: 16793; decisions: 330463
iteration: 38; vars: 70021; clauses: 21492; decisions: 353267
iteration: 39; vars: 71755; clauses: 26100; decisions: 354315
iteration: 40; vars: 73489; clauses: 11184; decisions: 360344
iteration: 41; vars: 75223; clauses: 15898; decisions: 362819
iteration: 42; vars: 76957; clauses: 12225; decisions: 370522
iteration: 43; vars: 78691; clauses: 16877; decisions: 382544
iteration: 44; vars: 80425; clauses: 9600; decisions: 388066
iteration: 45; vars: 82159; clauses: 14314; decisions: 390085
iteration: 46; vars: 83893; clauses: 9638; decisions: 394014
iteration: 47; vars: 85627; clauses: 14156; decisions: 395953
iteration: 48; vars: 87361; clauses: 10236; decisions: 399498
iteration: 49; vars: 89095; clauses: 14820; decisions: 400960
iteration: 50; vars: 90829; clauses: 11313; decisions: 401876
iteration: 51; vars: 92563; clauses: 15889; decisions: 411850
iteration: 52; vars: 94297; clauses: 12220; decisions: 412332
iteration: 53; vars: 96031; clauses: 16816; decisions: 414540
iteration: 54; vars: 97765; clauses: 12958; decisions: 416118
iteration: 55; vars: 99499; clauses: 17640; decisions: 420789
iteration: 56; vars: 101233; clauses: 13625; decisions: 421392
iteration: 57; vars: 102967; clauses: 18211; decisions: 425572
iteration: 58; vars: 104701; clauses: 22793; decisions: 429330
iteration: 59; vars: 106435; clauses: 14833; decisions: 430860
iteration: 60; vars: 108169; clauses: 19485; decisions: 432658
iteration: 61; vars: 109903; clauses: 24137; decisions: 438186
iteration: 62; vars: 111637; clauses: 15515; decisions: 439699
iteration: 63; vars: 113371; clauses: 20141; decisions: 446180
iteration: 64; vars: 115105; clauses: 24769; decisions: 453781
iteration: 65; vars: 116839; clauses: 16861; decisions: 454268
iteration: 66; vars: 118573; clauses: 21511; decisions: 456366
iteration: 67; vars: 120307; clauses: 26161; decisions: 459545
iteration: 68; vars: 122041; clauses: 17732; decisions: 460795
iteration: 69; vars: 123775; clauses: 22242; decisions: 471267
iteration: 70; vars: 125509; clauses: 26778; decisions: 494909
iteration: 71; vars: 127243; clauses: 18024; decisions: 497634
iteration: 72; vars: 128977; clauses: 22520; decisions: 511842
iteration: 73; vars: 130711; clauses: 26986; decisions: 513052
iteration: 74; vars: 132445; clauses: 18107; decisions: 513949
iteration: 75; vars: 134179; clauses: 22585; decisions: 515602
iteration: 76; vars: 135913; clauses: 27103; decisions: 516723
iteration: 77; vars: 137647; clauses: 19204; decisions: 549605
iteration: 78; vars: 139381; clauses: 23688; decisions: 571950
iteration: 79; vars: 141115; clauses: 28246; decisions: 576688
iteration: 80; vars: 142849; clauses: 19774; decisions: 579098
iteration: 81; vars: 144583; clauses: 24424; decisions: 590847
iteration: 82; vars: 146317; clauses: 29066; decisions: 597860
iteration: 83; vars: 148051; clauses: 20825; decisions: 606463
iteration: 84; vars: 149785; clauses: 25343; decisions: 625738
iteration: 85; vars: 151519; clauses: 29913; decisions: 648976
iteration: 86; vars: 153253; clauses: 34344; decisions: 660440
iteration: 87; vars: 154987; clauses: 21239; decisions: 672032
iteration: 88; vars: 156721; clauses: 25753; decisions: 679624
iteration: 89; vars: 158455; clauses: 30230; decisions: 686050
iteration: 90; vars: 160189; clauses: 34743; decisions: 706846
iteration: 91; vars: 161923; clauses: 21081; decisions: 716584
iteration: 92; vars: 163657; clauses: 25529; decisions: 730531
iteration: 93; vars: 165391; clauses: 30077; decisions: 733291
iteration: 94; vars: 167125; clauses: 34541; decisions: 737537
iteration: 95; vars: 168859; clauses: 19417; decisions: 744374
iteration: 96; vars: 170593; clauses: 23910; decisions: 753896
iteration: 97; vars: 172327; clauses: 28408; decisions: 755233
iteration: 98; vars: 174061; clauses: 20142; decisions: 758954
iteration: 99; vars: 175795; clauses: 24708; decisions: 763507
iteration: 100; vars: 177529; clauses: 29071; decisions: 769141
iteration: 101; vars: 179263; clauses: 19602; decisions: 769490
iteration: 102; vars: 180997; clauses: 24082; decisions: 770172
iteration: 103; vars: 182731; clauses: 28562; decisions: 771430
iteration: 104; vars: 184465; clauses: 20935; decisions: 772563
iteration: 105; vars: 186199; clauses: 25323; decisions: 777539
iteration: 106; vars: 187933; clauses: 29833; decisions: 779447
iteration: 107; vars: 189667; clauses: 34329; decisions: 783335
iteration: 108; vars: 191401; clauses: 19293; decisions: 793299
iteration: 109; vars: 193135; clauses: 23829; decisions: 797919
iteration: 110; vars: 194869; clauses: 28295; decisions: 802540
iteration: 111; vars: 196603; clauses: 18005; decisions: 806313
iteration: 112; vars: 198337; clauses: 22420; decisions: 819291
iteration: 113; vars: 200071; clauses: 26839; decisions: 825338
iteration: 114; vars: 201805; clauses: 13105; decisions: 828621
iteration: 115; vars: 203539; clauses: 17507; decisions: 829698
iteration: 116; vars: 205273; clauses: 12875; decisions: 830313
iteration: 117; vars: 207007; clauses: 17281; decisions: 831633
iteration: 118; vars: 208741; clauses: 13078; decisions: 832830
