inputs=41 keys=273 outputs=32 gates=825
iteration: 1; vars: 5330; clauses: 7727; decisions: 17382
iteration: 2; vars: 6878; clauses: 12239; decisions: 26249
iteration: 3; vars: 8426; clauses: 11811; decisions: 34360
iteration: 4; vars: 9974; clauses: 16291; decisions: 49367
iteration: 5; vars: 11522; clauses: 15862; decisions: 61013
iteration: 6; vars: 13070; clauses: 20252; decisions: 61586
iteration: 7; vars: 14618; clauses: 19761; decisions: 75888
iteration: 8; vars: 16166; clauses: 24153; decisions: 76433
iteration: 9; vars: 17714; clauses: 28597; decisions: 80120
iteration: 10; vars: 19262; clauses: 25842; decisions: 80773
iteration: 11; vars: 20810; clauses: 30330; decisions: 81283
iteration: 12; vars: 22358; clauses: 29782; decisions: 120637
iteration: 13; vars: 23906; clauses: 34182; decisions: 121219
iteration: 14; vars: 25454; clauses: 38582; decisions: 147290
iteration: 15; vars: 27002; clauses: 42870; decisions: 151596
iteration: 16; vars: 28550; clauses: 37416; decisions: 156952
iteration: 17; vars: 30098; clauses: 41756; decisions: 157561
iteration: 18; vars: 31646; clauses: 46066; decisions: 158069
iteration: 19; vars: 33194; clauses: 50352; decisions: 172824
iteration: 20; vars: 34742; clauses: 45546; decisions: 173413
iteration: 21; vars: 36290; clauses: 49892; decisions: 205928
iteration: 22; vars: 37838; clauses: 54422; decisions: 210267
iteration: 23; vars: 39386; clauses: 51520; decisions: 241944
iteration: 24; vars: 40934; clauses: 56000; decisions: 242457
iteration: 25; vars: 42482; clauses: 60480; decisions: 254546
iteration: 26; vars: 44030; clauses: 57164; decisions: 285015
iteration: 27; vars: 45578; clauses: 59029; decisions: 320354
iteration: 28; vars: 47126; clauses: 60897; decisions: 365431
iteration: 29; vars: 48674; clauses: 55526; decisions: 567571
iteration: 30; vars: 50222; clauses: 57284; decisions: 580260
iteration: 31; vars: 51770; clauses: 61686; decisions: 597986
iteration: 32; vars: 53318; clauses: 60107; decisions: 640627
iteration: 33; vars: 54866; clauses: 61745; decisions: 749100
iteration: 34; vars: 56414; clauses: 60846; decisions: 960739
iteration: 35; vars: 57962; clauses: 65316; decisions: 996668
iteration: 36; vars: 59510; clauses: 69824; decisions: 1017968
iteration: 37; vars: 61058; clauses: 74262; decisions: 1129219
iteration: 38; vars: 62606; clauses: 78635; decisions: 1210397
iteration: 39; vars: 64154; clauses: 68437; decisions: 1613230
iteration: 40; vars: 65702; clauses: 72745; decisions: 1613710
iteration: 41; vars: 67250; clauses: 77091; decisions: 1697829
iteration: 42; vars: 68798; clauses: 81451; decisions: 1735380
iteration: 43; vars: 70346; clauses: 74603; decisions: 1825557
iteration: 44; vars: 71894; clauses: 78973; decisions: 2007863
iteration: 45; vars: 73442; clauses: 83277; decisions: 2054211
iteration: 46; vars: 74990; clauses: 87761; decisions: 2071526
iteration: 47; vars: 76538; clauses: 92207; decisions: 2139614
iteration: 48; vars: 78086; clauses: 96681; decisions: 2174276
iteration: 49; vars: 79634; clauses: 101087; decisions: 2248761
iteration: 50; vars: 81182; clauses: 87014; decisions: 2249204
iteration: 51; vars: 82730; clauses: 91308; decisions: 2321656
iteration: 52; vars: 84278; clauses: 95808; decisions: 2327153
iteration: 53; vars: 85826; clauses: 100250; decisions: 2409017
iteration: 54; vars: 87374; clauses: 104706; decisions: 2572015
iteration: 55; vars: 88922; clauses: 108948; decisions: 2572502
iteration: 56; vars: 90470; clauses: 113190; decisions: 2573198
iteration: 57; vars: 92018; clauses: 117446; decisions: 2705842
iteration: 58; vars: 93566; clauses: 99594; decisions: 2869449
iteration: 59; vars: 95114; clauses: 103896; decisions: 2914137
iteration: 60; vars: 96662; clauses: 108234; decisions: 2991235
iteration: 61; vars: 98210; clauses: 112590; decisions: 3067510
iteration: 62; vars: 99758; clauses: 116960; decisions: 3159683
iteration: 63; vars: 101306; clauses: 121302; decisions: 3355651
iteration: 64; vars: 102854; clauses: 108252; decisions: 3825937
iteration: 65; vars: 104402; clauses: 112520; decisions: 3876511
iteration: 66; vars: 105950; clauses: 116782; decisions: 4206871
iteration: 67; vars: 107498; clauses: 121130; decisions: 4679458
iteration: 68; vars: 109046; clauses: 110908; decisions: 4751436
iteration: 69; vars: 110594; clauses: 115208; decisions: 4793414
iteration: 70; vars: 112142; clauses: 112787; decisions: 5055049
iteration: 71; vars: 113690; clauses: 117219; decisions: 5163442
iteration: 72; vars: 115238; clauses: 121509; decisions: 5635215
iteration: 73; vars: 116786; clauses: 125843; decisions: 5782735
iteration: 74; vars: 118334; clauses: 130119; decisions: 5899989
iteration: 75; vars: 119882; clauses: 134399; decisions: 5955566
iteration: 76; vars: 121430; clauses: 113649; decisions: 6977776
iteration: 77; vars: 122978; clauses: 117903; decisions: 7044936
iteration: 78; vars: 124526; clauses: 122117; decisions: 7145466
iteration: 79; vars: 126074; clauses: 126399; decisions: 7420530
iteration: 80; vars: 127622; clauses: 130665; decisions: 7431086
iteration: 81; vars: 129170; clauses: 134943; decisions: 7432082
iteration: 82; vars: 130718; clauses: 139220; decisions: 7540733
iteration: 83; vars: 132266; clauses: 143451; decisions: 8092632
iteration: 84; vars: 133814; clauses: 124518; decisions: 8474361
iteration: 85; vars: 135362; clauses: 128932; decisions: 9007639
iteration: 86; vars: 136910; clauses: 133312; decisions: 9145174
iteration: 87; vars: 138458; clauses: 137554; decisions: 9542114
iteration: 88; vars: 140006; clauses: 141866; decisions: 9731781
iteration: 89; vars: 141554; clauses: 146154; decisions: 10021933
iteration: 90; vars: 143102; clauses: 150398; decisions: 10528131
iteration: 91; vars: 144650; clauses: 134679; decisions: 11002365
iteration: 92; vars: 146198; clauses: 138891; decisions: 11550018
iteration: 93; vars: 147746; clauses: 143283; decisions: 11780144
iteration: 94; vars: 149294; clauses: 147531; decisions: 11799327
iteration: 95; vars: 150842; clauses: 151811; decisions: 12868648
iteration: 96; vars: 152390; clauses: 156169; decisions: 13416771
iteration: 97; vars: 153938; clauses: 160431; decisions: 13921862
iteration: 98; vars: 155486; clauses: 164801; decisions: 14420772
iteration: 99; vars: 157034; clauses: 169019; decisions: 14455100
iteration: 100; vars: 158582; clauses: 173215; decisions: 14611628
iteration: 101; vars: 160130; clauses: 177423; decisions: 14612503
iteration: 102; vars: 161678; clauses: 149014; decisions: 15123438
iteration: 103; vars: 163226; clauses: 153384; decisions: 15214330
iteration: 104; vars: 164774; clauses: 157730; decisions: 15778619
iteration: 105; vars: 166322; clauses: 162019; decisions: 16296687
iteration: 106; vars: 167870; clauses: 166212; decisions: 16644361
iteration: 107; vars: 169418; clauses: 170444; decisions: 17403255
iteration: 108; vars: 170966; clauses: 156666; decisions: 19103677
