inputs=233 keys=298 outputs=140 gates=1512
iteration: 1; vars: 8454; clauses: 6867; decisions: 6170
iteration: 2; vars: 10898; clauses: 12055; decisions: 9553
iteration: 3; vars: 13342; clauses: 8295; decisions: 15015
iteration: 4; vars: 15786; clauses: 13617; decisions: 21883
iteration: 5; vars: 18230; clauses: 10709; decisions: 24629
iteration: 6; vars: 20674; clauses: 15781; decisions: 27735
iteration: 7; vars: 23118; clauses: 12713; decisions: 32645
iteration: 8; vars: 25562; clauses: 17885; decisions: 38697
iteration: 9; vars: 28006; clauses: 14870; decisions: 41958
iteration: 10; vars: 30450; clauses: 19732; decisions: 45109
iteration: 11; vars: 32894; clauses: 16834; decisions: 46093
iteration: 12; vars: 35338; clauses: 21974; decisions: 47679
iteration: 13; vars: 37782; clauses: 27052; decisions: 48635
iteration: 14; vars: 40226; clauses: 20268; decisions: 50248
iteration: 15; vars: 42670; clauses: 25362; decisions: 54650
iteration: 16; vars: 45114; clauses: 30488; decisions: 55288
iteration: 17; vars: 47558; clauses: 23824; decisions: 56502
iteration: 18; vars: 50002; clauses: 28996; decisions: 57629
iteration: 19; vars: 52446; clauses: 34146; decisions: 58275
iteration: 20; vars: 54890; clauses: 28020; decisions: 59006
iteration: 21; vars: 57334; clauses: 33174; decisions: 60133
iteration: 22; vars: 59778; clauses: 38334; decisions: 61174
iteration: 23; vars: 62222; clauses: 43372; decisions: 61827
iteration: 24; vars: 64666; clauses: 33089; decisions: 62478
iteration: 25; vars: 67110; clauses: 38119; decisions: 64149
iteration: 26; vars: 69554; clauses: 43131; decisions: 64769
iteration: 27; vars: 71998; clauses: 48135; decisions: 65389
iteration: 28; vars: 74442; clauses: 38348; decisions: 66016
iteration: 29; vars: 76886; clauses: 43380; decisions: 67099
iteration: 30; vars: 79330; clauses: 48406; decisions: 67717
iteration: 31; vars: 81774; clauses: 53424; decisions: 68335
iteration: 32; vars: 84218; clauses: 58464; decisions: 68959
iteration: 33; vars: 86662; clauses: 45082; decisions: 69577
iteration: 34; vars: 89106; clauses: 50114; decisions: 70639
iteration: 35; vars: 91550; clauses: 55142; decisions: 71251
iteration: 36; vars: 93994; clauses: 60174; decisions: 72263
iteration: 37; vars: 96438; clauses: 65208; decisions: 84002
iteration: 38; vars: 98882; clauses: 50057; decisions: 84629
iteration: 39; vars: 101326; clauses: 55161; decisions: 86261
iteration: 40; vars: 103770; clauses: 60091; decisions: 86887
iteration: 41; vars: 106214; clauses: 65019; decisions: 87518
iteration: 42; vars: 108658; clauses: 69933; decisions: 88444
iteration: 43; vars: 111102; clauses: 74849; decisions: 97402
iteration: 44; vars: 113546; clauses: 57438; decisions: 105596
iteration: 45; vars: 115990; clauses: 62414; decisions: 113233
iteration: 46; vars: 118434; clauses: 67398; decisions: 114032
iteration: 47; vars: 120878; clauses: 72404; decisions: 114935
iteration: 48; vars: 123322; clauses: 77444; decisions: 119024
iteration: 49; vars: 125766; clauses: 82324; decisions: 122144
iteration: 50; vars: 128210; clauses: 87292; decisions: 137966
iteration: 51; vars: 130654; clauses: 64300; decisions: 141815
iteration: 52; vars: 133098; clauses: 69142; decisions: 142363
iteration: 53; vars: 135542; clauses: 73978; decisions: 143155
iteration: 54; vars: 137986; clauses: 78812; decisions: 143711
iteration: 55; vars: 140430; clauses: 83632; decisions: 144261
iteration: 56; vars: 142874; clauses: 88426; decisions: 144806
iteration: 57; vars: 145318; clauses: 93228; decisions: 148355
iteration: 58; vars: 147762; clauses: 70209; decisions: 149723
iteration: 59; vars: 150206; clauses: 75101; decisions: 150283
iteration: 60; vars: 152650; clauses: 79993; decisions: 150837
iteration: 61; vars: 155094; clauses: 84885; decisions: 151391
iteration: 62; vars: 157538; clauses: 89769; decisions: 151948
iteration: 63; vars: 159982; clauses: 94667; decisions: 152506
iteration: 64; vars: 162426; clauses: 99547; decisions: 154353
iteration: 65; vars: 164870; clauses: 104435; decisions: 154895
iteration: 66; vars: 167314; clauses: 78832; decisions: 155540
iteration: 67; vars: 169758; clauses: 83756; decisions: 156083
iteration: 68; vars: 172202; clauses: 88674; decisions: 157075
iteration: 69; vars: 174646; clauses: 93732; decisions: 157665
iteration: 70; vars: 177090; clauses: 98788; decisions: 158206
iteration: 71; vars: 179534; clauses: 103830; decisions: 158748
iteration: 72; vars: 181978; clauses: 108886; decisions: 159292
iteration: 73; vars: 184422; clauses: 113974; decisions: 160230
iteration: 74; vars: 186866; clauses: 89633; decisions: 163574
iteration: 75; vars: 189310; clauses: 94687; decisions: 164111
iteration: 76; vars: 191754; clauses: 99735; decisions: 164665
iteration: 77; vars: 194198; clauses: 104783; decisions: 165204
iteration: 78; vars: 196642; clauses: 109839; decisions: 166165
iteration: 79; vars: 199086; clauses: 114975; decisions: 167165
iteration: 80; vars: 201530; clauses: 119993; decisions: 169969
iteration: 81; vars: 203974; clauses: 125101; decisions: 171585
iteration: 82; vars: 206418; clauses: 130043; decisions: 175584
iteration: 83; vars: 208862; clauses: 134981; decisions: 178819
iteration: 84; vars: 211306; clauses: 97302; decisions: 180456
