benchmark,#input,#keys,#outputs,#gates,#iteration,cpu_time
apex2_enc05,39,70,3,720,-,> 2h
apex2_enc10,39,100,3,758,-,> 2h
apex2_enc25,39,192,3,853,-,> 2h
apex4_enc05,10,278,19,5675,1023,283.97
apex4_enc10,10,546,19,5943,1023,316.47
apex4_enc25,10,1350,19,6747,1023,1214.34
dalu_enc05,75,190,16,2605,-,> 2h
dalu_enc10,75,305,16,2720,-,> 2h
dalu_enc25,75,650,16,3067,-,> 2h
des_enc05,256,580,245,7564,-,> 2h
des_enc10,256,903,245,7890,-,> 2h
des_enc25,256,1874,245,8877,-,> 2h
ex5_enc05,8,61,63,1191,255,3.77
ex5_enc10,8,114,63,1247,255,5.53
ex5_enc25,8,272,63,1406,255,10.48
execution_log,i4_enc05,192,209,6,573,-,> 2h
i4_enc10,192,226,6,610,-,> 2h
i4_enc25,192,277,6,720,-,> 2h
i7_enc05,199,265,67,1724,-,> 2h
i7_enc10,199,331,67,1871,-,> 2h
i7_enc25,199,528,67,2171,-,> 2h
i8_enc05,133,256,81,2938,-,> 2h
i8_enc10,133,379,81,3071,-,> 2h
i8_enc25,133,749,81,3447,-,> 2h
i9_enc05,88,140,63,1298,-,> 2h
i9_enc10,88,192,63,1392,-,> 2h
i9_enc25,88,347,63,1559,-,> 2h
k2_enc05,46,137,45,2046,-,> 2h
k2_enc10,46,228,45,2137,-,> 2h
k2_enc25,46,500,45,2409,-,> 2h
seq_enc05,41,217,35,3820,-,> 2h
seq_enc10,41,393,35,3999,-,> 2h
seq_enc25,41,921,35,4533,-,> 2h
