inputs=39 keys=192 outputs=3 gates=853
iteration: 1; vars: 5325; clauses: 5084; decisions: 18318
iteration: 2; vars: 6955; clauses: 7914; decisions: 20731
iteration: 3; vars: 8585; clauses: 6994; decisions: 26904
iteration: 4; vars: 10215; clauses: 9830; decisions: 29353
iteration: 5; vars: 11845; clauses: 7236; decisions: 32435
iteration: 6; vars: 13475; clauses: 10016; decisions: 33806
iteration: 7; vars: 15105; clauses: 8888; decisions: 34650
iteration: 8; vars: 16735; clauses: 11624; decisions: 35054
iteration: 9; vars: 18365; clauses: 14316; decisions: 35462
iteration: 10; vars: 19995; clauses: 11325; decisions: 35957
iteration: 11; vars: 21625; clauses: 14039; decisions: 36748
iteration: 12; vars: 23255; clauses: 16753; decisions: 37714
iteration: 13; vars: 24885; clauses: 13767; decisions: 40013
iteration: 14; vars: 26515; clauses: 16441; decisions: 41717
iteration: 15; vars: 28145; clauses: 19175; decisions: 42427
iteration: 16; vars: 29775; clauses: 21933; decisions: 43441
iteration: 17; vars: 31405; clauses: 17733; decisions: 45284
iteration: 18; vars: 33035; clauses: 20667; decisions: 47776
iteration: 19; vars: 34665; clauses: 23559; decisions: 48955
iteration: 20; vars: 36295; clauses: 26389; decisions: 50597
iteration: 21; vars: 37925; clauses: 21883; decisions: 53409
iteration: 22; vars: 39555; clauses: 24681; decisions: 55622
iteration: 23; vars: 41185; clauses: 27696; decisions: 64211
iteration: 24; vars: 42815; clauses: 30447; decisions: 69347
iteration: 25; vars: 44445; clauses: 33199; decisions: 70093
iteration: 26; vars: 46075; clauses: 14601; decisions: 72359
iteration: 27; vars: 47705; clauses: 17245; decisions: 73100
iteration: 28; vars: 49335; clauses: 19889; decisions: 76489
iteration: 29; vars: 50965; clauses: 22533; decisions: 76864
iteration: 30; vars: 52595; clauses: 15813; decisions: 77237
iteration: 31; vars: 54225; clauses: 18457; decisions: 79099
iteration: 32; vars: 55855; clauses: 21091; decisions: 80507
iteration: 33; vars: 57485; clauses: 23717; decisions: 82854
iteration: 34; vars: 59115; clauses: 26343; decisions: 83653
iteration: 35; vars: 60745; clauses: 18949; decisions: 84470
iteration: 36; vars: 62375; clauses: 21575; decisions: 86059
iteration: 37; vars: 64005; clauses: 24277; decisions: 87257
iteration: 38; vars: 65635; clauses: 26953; decisions: 88589
iteration: 39; vars: 67265; clauses: 29711; decisions: 89368
iteration: 40; vars: 68895; clauses: 21627; decisions: 90193
iteration: 41; vars: 70525; clauses: 24403; decisions: 90582
iteration: 42; vars: 72155; clauses: 27179; decisions: 90973
iteration: 43; vars: 73785; clauses: 29955; decisions: 92820
iteration: 44; vars: 75415; clauses: 32735; decisions: 99129
iteration: 45; vars: 77045; clauses: 35529; decisions: 102609
iteration: 46; vars: 78675; clauses: 26680; decisions: 106262
iteration: 47; vars: 80305; clauses: 29598; decisions: 107012
iteration: 48; vars: 81935; clauses: 32512; decisions: 109829
iteration: 49; vars: 83565; clauses: 35486; decisions: 110747
iteration: 50; vars: 85195; clauses: 38460; decisions: 111622
iteration: 51; vars: 86825; clauses: 41440; decisions: 112277
iteration: 52; vars: 88455; clauses: 28918; decisions: 112991
iteration: 53; vars: 90085; clauses: 31900; decisions: 114644
iteration: 54; vars: 91715; clauses: 34904; decisions: 117037
iteration: 55; vars: 93345; clauses: 37886; decisions: 117639
iteration: 56; vars: 94975; clauses: 40912; decisions: 119648
iteration: 57; vars: 96605; clauses: 43826; decisions: 121819
iteration: 58; vars: 98235; clauses: 46700; decisions: 129719
iteration: 59; vars: 99865; clauses: 31361; decisions: 130088
iteration: 60; vars: 101495; clauses: 33991; decisions: 130458
iteration: 61; vars: 103125; clauses: 36621; decisions: 138934
iteration: 62; vars: 104755; clauses: 39091; decisions: 139336
iteration: 63; vars: 106385; clauses: 41561; decisions: 139739
iteration: 64; vars: 108015; clauses: 44031; decisions: 142500
iteration: 65; vars: 109645; clauses: 46501; decisions: 143751
iteration: 66; vars: 111275; clauses: 48971; decisions: 145587
iteration: 67; vars: 112905; clauses: 51441; decisions: 147633
iteration: 68; vars: 114535; clauses: 35774; decisions: 151658
iteration: 69; vars: 116165; clauses: 38408; decisions: 153743
iteration: 70; vars: 117795; clauses: 41228; decisions: 156481
iteration: 71; vars: 119425; clauses: 44100; decisions: 166014
iteration: 72; vars: 121055; clauses: 46724; decisions: 167486
iteration: 73; vars: 122685; clauses: 49348; decisions: 175842
iteration: 74; vars: 124315; clauses: 52220; decisions: 177055
iteration: 75; vars: 125945; clauses: 55134; decisions: 177453
iteration: 76; vars: 127575; clauses: 58048; decisions: 177828
iteration: 77; vars: 129205; clauses: 41412; decisions: 178212
iteration: 78; vars: 130835; clauses: 44348; decisions: 178583
iteration: 79; vars: 132465; clauses: 47278; decisions: 178955
iteration: 80; vars: 134095; clauses: 50200; decisions: 192715
iteration: 81; vars: 135725; clauses: 52928; decisions: 194583
iteration: 82; vars: 137355; clauses: 55666; decisions: 204732
iteration: 83; vars: 138985; clauses: 58302; decisions: 205931
iteration: 84; vars: 140615; clauses: 60938; decisions: 210292
iteration: 85; vars: 142245; clauses: 63770; decisions: 211083
iteration: 86; vars: 143875; clauses: 66636; decisions: 212660
iteration: 87; vars: 145505; clauses: 46868; decisions: 213034
iteration: 88; vars: 147135; clauses: 49726; decisions: 213411
iteration: 89; vars: 148765; clauses: 52530; decisions: 225037
iteration: 90; vars: 150395; clauses: 55472; decisions: 227873
iteration: 91; vars: 152025; clauses: 58308; decisions: 229001
iteration: 92; vars: 153655; clauses: 61144; decisions: 230772
iteration: 93; vars: 155285; clauses: 63892; decisions: 231460
iteration: 94; vars: 156915; clauses: 66728; decisions: 238878
iteration: 95; vars: 158545; clauses: 69562; decisions: 239269
iteration: 96; vars: 160175; clauses: 72396; decisions: 239661
iteration: 97; vars: 161805; clauses: 75230; decisions: 240950
iteration: 98; vars: 163435; clauses: 52910; decisions: 241328
iteration: 99; vars: 165065; clauses: 55744; decisions: 241707
iteration: 100; vars: 166695; clauses: 58578; decisions: 243407
iteration: 101; vars: 168325; clauses: 61412; decisions: 247939
iteration: 102; vars: 169955; clauses: 64248; decisions: 248355
iteration: 103; vars: 171585; clauses: 67084; decisions: 248771
iteration: 104; vars: 173215; clauses: 69890; decisions: 249957
iteration: 105; vars: 174845; clauses: 72696; decisions: 251497
iteration: 106; vars: 176475; clauses: 75484; decisions: 253058
iteration: 107; vars: 178105; clauses: 78266; decisions: 254945
iteration: 108; vars: 179735; clauses: 81104; decisions: 256407
iteration: 109; vars: 181365; clauses: 83956; decisions: 257776
iteration: 110; vars: 182995; clauses: 57177; decisions: 258350
iteration: 111; vars: 184625; clauses: 59963; decisions: 259019
iteration: 112; vars: 186255; clauses: 62763; decisions: 259816
iteration: 113; vars: 187885; clauses: 65571; decisions: 260258
iteration: 114; vars: 189515; clauses: 68381; decisions: 266759
iteration: 115; vars: 191145; clauses: 71155; decisions: 295122
iteration: 116; vars: 192775; clauses: 73887; decisions: 295511
iteration: 117; vars: 194405; clauses: 76647; decisions: 295902
iteration: 118; vars: 196035; clauses: 79371; decisions: 296906
iteration: 119; vars: 197665; clauses: 82153; decisions: 303447
iteration: 120; vars: 199295; clauses: 85171; decisions: 333161
iteration: 121; vars: 200925; clauses: 88211; decisions: 334773
iteration: 122; vars: 202555; clauses: 91377; decisions: 335845
iteration: 123; vars: 204185; clauses: 63496; decisions: 336214
iteration: 124; vars: 205815; clauses: 66662; decisions: 336581
iteration: 125; vars: 207445; clauses: 69828; decisions: 336950
iteration: 126; vars: 209075; clauses: 73006; decisions: 338941
iteration: 127; vars: 210705; clauses: 76082; decisions: 353532
iteration: 128; vars: 212335; clauses: 78650; decisions: 353912
iteration: 129; vars: 213965; clauses: 81218; decisions: 354293
iteration: 130; vars: 215595; clauses: 83786; decisions: 355981
iteration: 131; vars: 217225; clauses: 86380; decisions: 361747
iteration: 132; vars: 218855; clauses: 89394; decisions: 403191
iteration: 133; vars: 220485; clauses: 91886; decisions: 441124
iteration: 134; vars: 222115; clauses: 94798; decisions: 441802
iteration: 135; vars: 223745; clauses: 97712; decisions: 461560
iteration: 136; vars: 225375; clauses: 100550; decisions: 468581
iteration: 137; vars: 227005; clauses: 103544; decisions: 469974
iteration: 138; vars: 228635; clauses: 71921; decisions: 505025
iteration: 139; vars: 230265; clauses: 74727; decisions: 506929
iteration: 140; vars: 231895; clauses: 77533; decisions: 509347
iteration: 141; vars: 233525; clauses: 80423; decisions: 523633
iteration: 142; vars: 235155; clauses: 83011; decisions: 577890
iteration: 143; vars: 236785; clauses: 86155; decisions: 584680
iteration: 144; vars: 238415; clauses: 75912; decisions: 649224
iteration: 145; vars: 240045; clauses: 78818; decisions: 651647
iteration: 146; vars: 241675; clauses: 76559; decisions: 672726
iteration: 147; vars: 243305; clauses: 79287; decisions: 673015
iteration: 148; vars: 244935; clauses: 82015; decisions: 673306
iteration: 149; vars: 246565; clauses: 77061; decisions: 692416
iteration: 150; vars: 248195; clauses: 79739; decisions: 692705
iteration: 151; vars: 249825; clauses: 82417; decisions: 693015
