inputs=75 keys=650 outputs=16 gates=3067
iteration: 1; vars: 18874; clauses: 25626; decisions: 101138
iteration: 2; vars: 24690; clauses: 33613; decisions: 161960
iteration: 3; vars: 30506; clauses: 49321; decisions: 239617
iteration: 4; vars: 36322; clauses: 48994; decisions: 728007
iteration: 5; vars: 42138; clauses: 56815; decisions: 1102652
iteration: 6; vars: 47954; clauses: 72507; decisions: 1290888
iteration: 7; vars: 53770; clauses: 72348; decisions: 2010052
iteration: 8; vars: 59586; clauses: 79250; decisions: 2703236
iteration: 9; vars: 65402; clauses: 95178; decisions: 3392869
iteration: 10; vars: 71218; clauses: 94507; decisions: 5623430
iteration: 11; vars: 77034; clauses: 101656; decisions: 6514294
iteration: 12; vars: 82850; clauses: 117638; decisions: 8416153
iteration: 13; vars: 88666; clauses: 116354; decisions: 14178530
iteration: 14; vars: 94482; clauses: 132334; decisions: 15131878
iteration: 15; vars: 100298; clauses: 131471; decisions: 18930323
iteration: 16; vars: 106114; clauses: 147337; decisions: 18932001
iteration: 17; vars: 111930; clauses: 163203; decisions: 24970309
iteration: 18; vars: 117746; clauses: 153867; decisions: 31715997
iteration: 19; vars: 123562; clauses: 169823; decisions: 35451242
iteration: 20; vars: 129378; clauses: 185659; decisions: 36970438
iteration: 21; vars: 135194; clauses: 201565; decisions: 40349977
iteration: 22; vars: 141010; clauses: 217633; decisions: 42170549
iteration: 23; vars: 146826; clauses: 191249; decisions: 43815707
iteration: 24; vars: 152642; clauses: 207091; decisions: 49988748
iteration: 25; vars: 158458; clauses: 222842; decisions: 51646510
iteration: 26; vars: 164274; clauses: 199954; decisions: 58196770
iteration: 27; vars: 170090; clauses: 215832; decisions: 59937030
iteration: 28; vars: 175906; clauses: 231862; decisions: 61746737
iteration: 29; vars: 181722; clauses: 247856; decisions: 64077652
iteration: 30; vars: 187538; clauses: 263472; decisions: 64614471
iteration: 31; vars: 193354; clauses: 279182; decisions: 64615806
iteration: 32; vars: 199170; clauses: 294862; decisions: 64617153
iteration: 33; vars: 204986; clauses: 249281; decisions: 64618503
iteration: 34; vars: 210802; clauses: 265051; decisions: 64619854
iteration: 35; vars: 216618; clauses: 280851; decisions: 65114319
iteration: 36; vars: 222434; clauses: 296627; decisions: 66644825
iteration: 37; vars: 228250; clauses: 312441; decisions: 66646153
iteration: 38; vars: 234066; clauses: 328255; decisions: 66647482
iteration: 39; vars: 239882; clauses: 344069; decisions: 66650354
iteration: 40; vars: 245698; clauses: 359883; decisions: 66654266
iteration: 41; vars: 251514; clauses: 310852; decisions: 66655592
iteration: 42; vars: 257330; clauses: 326726; decisions: 66656919
iteration: 43; vars: 263146; clauses: 342600; decisions: 69116002
iteration: 44; vars: 268962; clauses: 358850; decisions: 69117322
iteration: 45; vars: 274778; clauses: 375100; decisions: 69118643
iteration: 46; vars: 280594; clauses: 391380; decisions: 70801500
iteration: 47; vars: 286410; clauses: 407130; decisions: 70933541
iteration: 48; vars: 292226; clauses: 423184; decisions: 72423258
iteration: 49; vars: 298042; clauses: 439112; decisions: 72424523
iteration: 50; vars: 303858; clauses: 455040; decisions: 72425791
iteration: 51; vars: 309674; clauses: 382085; decisions: 72427064
iteration: 52; vars: 315490; clauses: 398013; decisions: 72428340
iteration: 53; vars: 321306; clauses: 413941; decisions: 74236536
iteration: 54; vars: 327122; clauses: 430065; decisions: 75786748
iteration: 55; vars: 332938; clauses: 445737; decisions: 76120748
iteration: 56; vars: 338754; clauses: 461453; decisions: 76121937
iteration: 57; vars: 344570; clauses: 477169; decisions: 76123140
iteration: 58; vars: 350386; clauses: 492885; decisions: 76126743
iteration: 59; vars: 356202; clauses: 508601; decisions: 76132690
iteration: 60; vars: 362018; clauses: 524317; decisions: 76134017
iteration: 61; vars: 367834; clauses: 540073; decisions: 76269567
iteration: 62; vars: 373650; clauses: 555637; decisions: 76270829
iteration: 63; vars: 379466; clauses: 571201; decisions: 76273390
iteration: 64; vars: 385282; clauses: 586765; decisions: 76277103
iteration: 65; vars: 391098; clauses: 602373; decisions: 76283693
iteration: 66; vars: 396914; clauses: 284970; decisions: 76449741
iteration: 67; vars: 402730; clauses: 300852; decisions: 76450871
iteration: 68; vars: 408546; clauses: 316734; decisions: 76452002
iteration: 69; vars: 414362; clauses: 332616; decisions: 76454275
iteration: 70; vars: 420178; clauses: 348468; decisions: 76457328
iteration: 71; vars: 425994; clauses: 364290; decisions: 76459469
iteration: 72; vars: 431810; clauses: 380112; decisions: 76508055
iteration: 73; vars: 437626; clauses: 395734; decisions: 76509220
iteration: 74; vars: 443442; clauses: 411400; decisions: 76510385
iteration: 75; vars: 449258; clauses: 427066; decisions: 76513256
iteration: 76; vars: 455074; clauses: 442732; decisions: 76662917
iteration: 77; vars: 460890; clauses: 329349; decisions: 76664054
iteration: 78; vars: 466706; clauses: 345319; decisions: 76665191
iteration: 79; vars: 472522; clauses: 361333; decisions: 76668142
iteration: 80; vars: 478338; clauses: 377377; decisions: 76747117
iteration: 81; vars: 484154; clauses: 392859; decisions: 76748240
iteration: 82; vars: 489970; clauses: 408341; decisions: 76749364
iteration: 83; vars: 495786; clauses: 423823; decisions: 76751628
iteration: 84; vars: 501602; clauses: 439335; decisions: 76758920
iteration: 85; vars: 507418; clauses: 454847; decisions: 76761221
iteration: 86; vars: 513234; clauses: 470359; decisions: 76765513
iteration: 87; vars: 519050; clauses: 485871; decisions: 76768781
iteration: 88; vars: 524866; clauses: 501427; decisions: 76770938
iteration: 89; vars: 530682; clauses: 516983; decisions: 76920355
iteration: 90; vars: 536498; clauses: 375979; decisions: 77105004
iteration: 91; vars: 542314; clauses: 391523; decisions: 77106065
iteration: 92; vars: 548130; clauses: 407067; decisions: 77108048
iteration: 93; vars: 553946; clauses: 422641; decisions: 77117621
iteration: 94; vars: 559762; clauses: 438259; decisions: 77123274
iteration: 95; vars: 565578; clauses: 454067; decisions: 77126210
iteration: 96; vars: 571394; clauses: 469875; decisions: 77161711
iteration: 97; vars: 577210; clauses: 485867; decisions: 77194109
iteration: 98; vars: 583026; clauses: 501507; decisions: 77195132
iteration: 99; vars: 588842; clauses: 517147; decisions: 77196173
iteration: 100; vars: 594658; clauses: 532787; decisions: 77199408
iteration: 101; vars: 600474; clauses: 548427; decisions: 77201578
iteration: 102; vars: 606290; clauses: 564067; decisions: 77205153
iteration: 103; vars: 612106; clauses: 579707; decisions: 77207332
iteration: 104; vars: 617922; clauses: 430980; decisions: 77208365
iteration: 105; vars: 623738; clauses: 446656; decisions: 77209433
iteration: 106; vars: 629554; clauses: 462332; decisions: 77211461
iteration: 107; vars: 635370; clauses: 478008; decisions: 77336366
iteration: 108; vars: 641186; clauses: 494158; decisions: 77394457
iteration: 109; vars: 647002; clauses: 509812; decisions: 77396501
iteration: 110; vars: 652818; clauses: 525496; decisions: 77398530
iteration: 111; vars: 658634; clauses: 541180; decisions: 77399581
