inputs=256 keys=580 outputs=245 gates=7564
iteration: 1; vars: 45816; clauses: 24776; decisions: 481984
iteration: 2; vars: 60370; clauses: 29630; decisions: 695794
iteration: 3; vars: 74924; clauses: 35059; decisions: 755363
iteration: 4; vars: 89478; clauses: 40608; decisions: 826761
iteration: 5; vars: 104032; clauses: 41660; decisions: 957360
iteration: 6; vars: 118586; clauses: 46163; decisions: 1404857
iteration: 7; vars: 133140; clauses: 45599; decisions: 1592409
iteration: 8; vars: 147694; clauses: 57283; decisions: 1725902
iteration: 9; vars: 162248; clauses: 54604; decisions: 2027906
iteration: 10; vars: 176802; clauses: 58844; decisions: 2590127
iteration: 11; vars: 191356; clauses: 63254; decisions: 3865218
iteration: 12; vars: 205910; clauses: 66278; decisions: 5072327
iteration: 13; vars: 220464; clauses: 63036; decisions: 7150503
iteration: 14; vars: 235018; clauses: 74778; decisions: 8769342
iteration: 15; vars: 249572; clauses: 70757; decisions: 13134500
iteration: 16; vars: 264126; clauses: 84225; decisions: 15122357
iteration: 17; vars: 278680; clauses: 97679; decisions: 15123515
iteration: 18; vars: 293234; clauses: 111141; decisions: 15124675
iteration: 19; vars: 307788; clauses: 77333; decisions: 17103975
iteration: 20; vars: 322342; clauses: 89723; decisions: 18307401
iteration: 21; vars: 336896; clauses: 101276; decisions: 19235568
iteration: 22; vars: 351450; clauses: 114641; decisions: 19313633
iteration: 23; vars: 366004; clauses: 126340; decisions: 19468974
iteration: 24; vars: 380558; clauses: 138416; decisions: 19537059
iteration: 25; vars: 395112; clauses: 150390; decisions: 19537999
iteration: 26; vars: 409666; clauses: 162388; decisions: 19539034
iteration: 27; vars: 424220; clauses: 54877; decisions: 19598473
iteration: 28; vars: 438774; clauses: 67855; decisions: 19599529
iteration: 29; vars: 453328; clauses: 80841; decisions: 19600587
iteration: 30; vars: 467882; clauses: 93811; decisions: 19603614
iteration: 31; vars: 482436; clauses: 106769; decisions: 19607324
iteration: 32; vars: 496990; clauses: 119715; decisions: 19608895
iteration: 33; vars: 511544; clauses: 70941; decisions: 19609934
iteration: 34; vars: 526098; clauses: 83791; decisions: 19610972
iteration: 35; vars: 540652; clauses: 96649; decisions: 19612011
iteration: 36; vars: 555206; clauses: 109515; decisions: 19616679
iteration: 37; vars: 569760; clauses: 124141; decisions: 19621883
iteration: 38; vars: 584314; clauses: 138755; decisions: 19624522
iteration: 39; vars: 598868; clauses: 153357; decisions: 19629293
iteration: 40; vars: 613422; clauses: 91399; decisions: 19630332
iteration: 41; vars: 627976; clauses: 105989; decisions: 19631370
iteration: 42; vars: 642530; clauses: 120571; decisions: 19632428
iteration: 43; vars: 657084; clauses: 135138; decisions: 19730306
iteration: 44; vars: 671638; clauses: 148794; decisions: 19731217
iteration: 45; vars: 686192; clauses: 162464; decisions: 19732129
iteration: 46; vars: 700746; clauses: 176103; decisions: 19840698
iteration: 47; vars: 715300; clauses: 190332; decisions: 19931070
iteration: 48; vars: 729854; clauses: 204555; decisions: 19980427
iteration: 49; vars: 744408; clauses: 217105; decisions: 20020183
iteration: 50; vars: 758962; clauses: 114981; decisions: 20045131
iteration: 51; vars: 773516; clauses: 127075; decisions: 20163812
iteration: 52; vars: 788070; clauses: 141730; decisions: 20288445
iteration: 53; vars: 802624; clauses: 153780; decisions: 20313987
iteration: 54; vars: 817178; clauses: 167947; decisions: 20391644
iteration: 55; vars: 831732; clauses: 181759; decisions: 20392581
iteration: 56; vars: 846286; clauses: 195589; decisions: 20393504
iteration: 57; vars: 860840; clauses: 209383; decisions: 20395697
iteration: 58; vars: 875394; clauses: 223185; decisions: 20398853
iteration: 59; vars: 889948; clauses: 236977; decisions: 20402328
iteration: 60; vars: 904502; clauses: 250751; decisions: 20405424
iteration: 61; vars: 919056; clauses: 263393; decisions: 20408846
iteration: 62; vars: 933610; clauses: 277167; decisions: 20412860
iteration: 63; vars: 948164; clauses: 143672; decisions: 20468587
iteration: 64; vars: 962718; clauses: 154701; decisions: 20485475
iteration: 65; vars: 977272; clauses: 165745; decisions: 20525883
iteration: 66; vars: 991826; clauses: 176412; decisions: 20532380
iteration: 67; vars: 1006380; clauses: 187080; decisions: 20533245
iteration: 68; vars: 1020934; clauses: 197758; decisions: 20534111
iteration: 69; vars: 1035488; clauses: 208442; decisions: 20536652
iteration: 70; vars: 1050042; clauses: 219135; decisions: 20602445
iteration: 71; vars: 1064596; clauses: 230496; decisions: 20635110
iteration: 72; vars: 1079150; clauses: 241885; decisions: 20702674
iteration: 73; vars: 1093704; clauses: 254875; decisions: 20703561
iteration: 74; vars: 1108258; clauses: 267879; decisions: 20704450
iteration: 75; vars: 1122812; clauses: 280883; decisions: 20707030
iteration: 76; vars: 1137366; clauses: 293869; decisions: 20771636
iteration: 77; vars: 1151920; clauses: 304815; decisions: 20773824
iteration: 78; vars: 1166474; clauses: 315761; decisions: 20824596
iteration: 79; vars: 1181028; clauses: 167093; decisions: 20825456
iteration: 80; vars: 1195582; clauses: 180315; decisions: 20826315
iteration: 81; vars: 1210136; clauses: 193523; decisions: 20827175
iteration: 82; vars: 1224690; clauses: 206737; decisions: 20830234
iteration: 83; vars: 1239244; clauses: 219963; decisions: 20832865
iteration: 84; vars: 1253798; clauses: 233203; decisions: 20837540
iteration: 85; vars: 1268352; clauses: 246457; decisions: 20842441
iteration: 86; vars: 1282906; clauses: 259680; decisions: 20865912
iteration: 87; vars: 1297460; clauses: 273521; decisions: 20945058
iteration: 88; vars: 1312014; clauses: 286564; decisions: 20978578
iteration: 89; vars: 1326568; clauses: 300298; decisions: 20979573
iteration: 90; vars: 1341122; clauses: 314040; decisions: 20980569
iteration: 91; vars: 1355676; clauses: 327765; decisions: 21048647
iteration: 92; vars: 1370230; clauses: 341499; decisions: 21051462
iteration: 93; vars: 1384784; clauses: 355295; decisions: 21054099
iteration: 94; vars: 1399338; clauses: 369075; decisions: 21066849
iteration: 95; vars: 1413892; clauses: 382865; decisions: 21070009
iteration: 96; vars: 1428446; clauses: 396669; decisions: 21072430
iteration: 97; vars: 1443000; clauses: 410481; decisions: 21083579
iteration: 98; vars: 1457554; clauses: 203888; decisions: 21095300
iteration: 99; vars: 1472108; clauses: 215482; decisions: 21107960
iteration: 100; vars: 1486662; clauses: 227044; decisions: 21108775
iteration: 101; vars: 1501216; clauses: 238614; decisions: 21109592
iteration: 102; vars: 1515770; clauses: 250184; decisions: 21111569
iteration: 103; vars: 1530324; clauses: 261754; decisions: 21117157
iteration: 104; vars: 1544878; clauses: 273338; decisions: 21120382
iteration: 105; vars: 1559432; clauses: 284934; decisions: 21123372
iteration: 106; vars: 1573986; clauses: 296548; decisions: 21126530
iteration: 107; vars: 1588540; clauses: 308176; decisions: 21130203
iteration: 108; vars: 1603094; clauses: 319832; decisions: 21133953
iteration: 109; vars: 1617648; clauses: 331474; decisions: 21138212
iteration: 110; vars: 1632202; clauses: 343134; decisions: 21143280
iteration: 111; vars: 1646756; clauses: 354793; decisions: 21155503
iteration: 112; vars: 1661310; clauses: 366441; decisions: 21160175
iteration: 113; vars: 1675864; clauses: 378075; decisions: 21166862
iteration: 114; vars: 1690418; clauses: 389733; decisions: 21175246
iteration: 115; vars: 1704972; clauses: 401381; decisions: 21180441
