inputs=133 keys=379 outputs=81 gates=3071
iteration: 1; vars: 18981; clauses: 17594; decisions: 110131
iteration: 2; vars: 24929; clauses: 18703; decisions: 119065
iteration: 3; vars: 30877; clauses: 32803; decisions: 122952
iteration: 4; vars: 36825; clauses: 19425; decisions: 135498
iteration: 5; vars: 42773; clauses: 33175; decisions: 149160
iteration: 6; vars: 48721; clauses: 21969; decisions: 164695
iteration: 7; vars: 54669; clauses: 34961; decisions: 168554
iteration: 8; vars: 60617; clauses: 24920; decisions: 174789
iteration: 9; vars: 66565; clauses: 39106; decisions: 178357
iteration: 10; vars: 72513; clauses: 53440; decisions: 179027
iteration: 11; vars: 78461; clauses: 26839; decisions: 187797
iteration: 12; vars: 84409; clauses: 40863; decisions: 190466
iteration: 13; vars: 90357; clauses: 55786; decisions: 203585
iteration: 14; vars: 96305; clauses: 68095; decisions: 208336
iteration: 15; vars: 102253; clauses: 31184; decisions: 215664
iteration: 16; vars: 108201; clauses: 46196; decisions: 218306
iteration: 17; vars: 114149; clauses: 61122; decisions: 221650
iteration: 18; vars: 120097; clauses: 34105; decisions: 238430
iteration: 19; vars: 126045; clauses: 49201; decisions: 241667
iteration: 20; vars: 131993; clauses: 63909; decisions: 247263
iteration: 21; vars: 137941; clauses: 35063; decisions: 250061
iteration: 22; vars: 143889; clauses: 50931; decisions: 252453
iteration: 23; vars: 149837; clauses: 65991; decisions: 253427
iteration: 24; vars: 155785; clauses: 80204; decisions: 268006
iteration: 25; vars: 161733; clauses: 94502; decisions: 271508
iteration: 26; vars: 167681; clauses: 39096; decisions: 284602
iteration: 27; vars: 173629; clauses: 53328; decisions: 286171
iteration: 28; vars: 179577; clauses: 68642; decisions: 286547
iteration: 29; vars: 185525; clauses: 84170; decisions: 287661
iteration: 30; vars: 191473; clauses: 99444; decisions: 295291
iteration: 31; vars: 197421; clauses: 43351; decisions: 298992
iteration: 32; vars: 203369; clauses: 59117; decisions: 305844
iteration: 33; vars: 209317; clauses: 72983; decisions: 307335
iteration: 34; vars: 215265; clauses: 86747; decisions: 316418
iteration: 35; vars: 221213; clauses: 101355; decisions: 317903
iteration: 36; vars: 227161; clauses: 116659; decisions: 318288
iteration: 37; vars: 233109; clauses: 47118; decisions: 322808
iteration: 38; vars: 239057; clauses: 61926; decisions: 326008
iteration: 39; vars: 245005; clauses: 76208; decisions: 326560
iteration: 40; vars: 250953; clauses: 89969; decisions: 344804
iteration: 41; vars: 256901; clauses: 103493; decisions: 348811
iteration: 42; vars: 262849; clauses: 117589; decisions: 356261
iteration: 43; vars: 268797; clauses: 48276; decisions: 378078
iteration: 44; vars: 274745; clauses: 62011; decisions: 384823
iteration: 45; vars: 280693; clauses: 75705; decisions: 402761
iteration: 46; vars: 286641; clauses: 89085; decisions: 403187
iteration: 47; vars: 292589; clauses: 102465; decisions: 403615
iteration: 48; vars: 298537; clauses: 115845; decisions: 405069
iteration: 49; vars: 304485; clauses: 129281; decisions: 407029
iteration: 50; vars: 310433; clauses: 142779; decisions: 408429
iteration: 51; vars: 316381; clauses: 156275; decisions: 454898
iteration: 52; vars: 322329; clauses: 52037; decisions: 473490
iteration: 53; vars: 328277; clauses: 67165; decisions: 482724
iteration: 54; vars: 334225; clauses: 82179; decisions: 511131
iteration: 55; vars: 340173; clauses: 97626; decisions: 512300
iteration: 56; vars: 346121; clauses: 112448; decisions: 518370
iteration: 57; vars: 352069; clauses: 124620; decisions: 518773
iteration: 58; vars: 358017; clauses: 136792; decisions: 531976
iteration: 59; vars: 363965; clauses: 150272; decisions: 542226
iteration: 60; vars: 369913; clauses: 163476; decisions: 543943
iteration: 61; vars: 375861; clauses: 176648; decisions: 545705
