inputs=46 keys=228 outputs=45 gates=2137
iteration: 1; vars: 13090; clauses: 7409; decisions: 14994
iteration: 2; vars: 17240; clauses: 11495; decisions: 29076
iteration: 3; vars: 21390; clauses: 15581; decisions: 48042
iteration: 4; vars: 25540; clauses: 9450; decisions: 56885
iteration: 5; vars: 29690; clauses: 13372; decisions: 69477
iteration: 6; vars: 33840; clauses: 17353; decisions: 81361
iteration: 7; vars: 37990; clauses: 21439; decisions: 87547
iteration: 8; vars: 42140; clauses: 12511; decisions: 95319
iteration: 9; vars: 46290; clauses: 16493; decisions: 95724
iteration: 10; vars: 50440; clauses: 20475; decisions: 96129
iteration: 11; vars: 54590; clauses: 24457; decisions: 97206
iteration: 12; vars: 58740; clauses: 15907; decisions: 97608
iteration: 13; vars: 62890; clauses: 19885; decisions: 98420
iteration: 14; vars: 67040; clauses: 23863; decisions: 109264
iteration: 15; vars: 71190; clauses: 27942; decisions: 118308
iteration: 16; vars: 75340; clauses: 31920; decisions: 118670
iteration: 17; vars: 79490; clauses: 19844; decisions: 119020
iteration: 18; vars: 83640; clauses: 23822; decisions: 120519
iteration: 19; vars: 87790; clauses: 27904; decisions: 121360
iteration: 20; vars: 91940; clauses: 31986; decisions: 131787
iteration: 21; vars: 96090; clauses: 36068; decisions: 132231
iteration: 22; vars: 100240; clauses: 40150; decisions: 132649
iteration: 23; vars: 104390; clauses: 25684; decisions: 133025
iteration: 24; vars: 108540; clauses: 29766; decisions: 133402
iteration: 25; vars: 112690; clauses: 33848; decisions: 134129
iteration: 26; vars: 116840; clauses: 37930; decisions: 135146
iteration: 27; vars: 120990; clauses: 41908; decisions: 135981
iteration: 28; vars: 125140; clauses: 45886; decisions: 136769
iteration: 29; vars: 129290; clauses: 49864; decisions: 138496
iteration: 30; vars: 133440; clauses: 53842; decisions: 140005
iteration: 31; vars: 137590; clauses: 33439; decisions: 140432
iteration: 32; vars: 141740; clauses: 37417; decisions: 141269
iteration: 33; vars: 145890; clauses: 41395; decisions: 142221
iteration: 34; vars: 150040; clauses: 45372; decisions: 144843
iteration: 35; vars: 154190; clauses: 49350; decisions: 145422
iteration: 36; vars: 158340; clauses: 53347; decisions: 149566
iteration: 37; vars: 162490; clauses: 57345; decisions: 150188
iteration: 38; vars: 166640; clauses: 61343; decisions: 150592
iteration: 39; vars: 170790; clauses: 65341; decisions: 151414
iteration: 40; vars: 174940; clauses: 69339; decisions: 152493
iteration: 41; vars: 179090; clauses: 43211; decisions: 152898
iteration: 42; vars: 183240; clauses: 47209; decisions: 153304
iteration: 43; vars: 187390; clauses: 51207; decisions: 155130
iteration: 44; vars: 191540; clauses: 55205; decisions: 156126
iteration: 45; vars: 195690; clauses: 59203; decisions: 156630
