benchmark,#input,#keys,#outputs,#gates,#iteration,cpu_time
apex2_enc05,39,71,3,793,-,> 2h
apex2_enc10,39,104,3,759,-,> 2h
apex2_enc25,39,201,3,856,-,> 2h
apex4_enc05,10,279,19,5687,1022,108.00
apex4_enc10,10,547,19,5939,1022,97.62
apex4_enc25,10,1353,19,6745,1022,143.89
dalu_enc05,75,194,16,2732,-,> 2h
dalu_enc10,75,312,16,2704,-,> 2h
dalu_enc25,75,668,16,3060,-,> 2h
des_enc05,256,592,245,7569,-,> 2h
des_enc10,256,929,245,7906,-,> 2h
des_enc25,256,1938,245,8915,-,> 2h
ex5_enc05,8,61,63,1190,254,1.95
ex5_enc10,8,114,63,1243,254,2.22
ex5_enc25,8,274,63,1403,254,3.25
execution_log,i4_enc05,192,219,6,973,-,> 2h
i4_enc10,192,245,6,645,-,> 2h
i4_enc25,192,325,6,805,-,> 2h
i7_enc05,199,275,67,1736,-,> 2h
i7_enc10,199,350,67,1886,-,> 2h
i7_enc25,199,578,67,2162,-,> 2h
i8_enc05,133,263,81,2941,-,> 2h
i8_enc10,133,393,81,3074,-,> 2h
i8_enc25,133,782,81,3463,-,> 2h
i9_enc05,88,144,63,1301,-,> 2h
i9_enc10,88,200,63,1389,-,> 2h
i9_enc25,88,369,63,1558,-,> 2h
k2_enc05,46,139,45,2048,-,> 2h
k2_enc10,46,232,45,2141,-,> 2h
k2_enc25,46,511,45,2420,-,> 2h
seq_enc05,41,219,35,3817,-,> 2h
seq_enc10,41,397,35,3995,-,> 2h
seq_enc25,41,931,35,4529,-,> 2h
