inputs=39 keys=201 outputs=3 gates=856
iteration: 1; vars: 5571; clauses: 2778; decisions: 1421
iteration: 2; vars: 7277; clauses: 5030; decisions: 2375
iteration: 3; vars: 8983; clauses: 2916; decisions: 3487
iteration: 4; vars: 10689; clauses: 2226; decisions: 3902
iteration: 5; vars: 12395; clauses: 4124; decisions: 4192
iteration: 6; vars: 14101; clauses: 2180; decisions: 4508
iteration: 7; vars: 15807; clauses: 4104; decisions: 4908
iteration: 8; vars: 17513; clauses: 2077; decisions: 5397
iteration: 9; vars: 19219; clauses: 3889; decisions: 5591
iteration: 10; vars: 20925; clauses: 2205; decisions: 5853
iteration: 11; vars: 22631; clauses: 3973; decisions: 6357
iteration: 12; vars: 24337; clauses: 2332; decisions: 6721
iteration: 13; vars: 26043; clauses: 4172; decisions: 7065
iteration: 14; vars: 27749; clauses: 2460; decisions: 7306
iteration: 15; vars: 29455; clauses: 4362; decisions: 7528
iteration: 16; vars: 31161; clauses: 1993; decisions: 7712
iteration: 17; vars: 32867; clauses: 3983; decisions: 7883
iteration: 18; vars: 34573; clauses: 1679; decisions: 8094
iteration: 19; vars: 36279; clauses: 1675; decisions: 8216
iteration: 20; vars: 37985; clauses: 3545; decisions: 8336
iteration: 21; vars: 39691; clauses: 1691; decisions: 8520
iteration: 22; vars: 41397; clauses: 3669; decisions: 8745
iteration: 23; vars: 43103; clauses: 1705; decisions: 8860
iteration: 24; vars: 44809; clauses: 1721; decisions: 8975
iteration: 25; vars: 46515; clauses: 3621; decisions: 9095
iteration: 26; vars: 48221; clauses: 1743; decisions: 9208
iteration: 27; vars: 49927; clauses: 3563; decisions: 9317
iteration: 28; vars: 51633; clauses: 1759; decisions: 9431
iteration: 29; vars: 53339; clauses: 3579; decisions: 9541
iteration: 30; vars: 55045; clauses: 1775; decisions: 9653
iteration: 31; vars: 56751; clauses: 3595; decisions: 9761
iteration: 32; vars: 58457; clauses: 1775; decisions: 9874
iteration: 33; vars: 60163; clauses: 3595; decisions: 9983
iteration: 34; vars: 61869; clauses: 1807; decisions: 10092
iteration: 35; vars: 63575; clauses: 3591; decisions: 10257
iteration: 36; vars: 65281; clauses: 5485; decisions: 10347
iteration: 37; vars: 66987; clauses: 1401; decisions: 10442
iteration: 38; vars: 68693; clauses: 1401; decisions: 10537
iteration: 39; vars: 70399; clauses: 1397; decisions: 10630
iteration: 40; vars: 72105; clauses: 1399; decisions: 10724
iteration: 41; vars: 73811; clauses: 1401; decisions: 10814
iteration: 42; vars: 75517; clauses: 3313; decisions: 10900
iteration: 43; vars: 77223; clauses: 1403; decisions: 10989
iteration: 44; vars: 78929; clauses: 3315; decisions: 11074
iteration: 45; vars: 80635; clauses: 1405; decisions: 11163
iteration: 46; vars: 82341; clauses: 3317; decisions: 11340
iteration: 47; vars: 84047; clauses: 1407; decisions: 11452
iteration: 48; vars: 85753; clauses: 3029; decisions: 11563
iteration: 49; vars: 87459; clauses: 4651; decisions: 11675
iteration: 50; vars: 89165; clauses: 1411; decisions: 11880
iteration: 51; vars: 90871; clauses: 3381; decisions: 12038
iteration: 52; vars: 92577; clauses: 1403; decisions: 12155
iteration: 53; vars: 94283; clauses: 3499; decisions: 12259
iteration: 54; vars: 95989; clauses: 5577; decisions: 12354
iteration: 55; vars: 97695; clauses: 1392; decisions: 12473
iteration: 56; vars: 99401; clauses: 3096; decisions: 12564
iteration: 57; vars: 101107; clauses: 4800; decisions: 12791
iteration: 58; vars: 102813; clauses: 1392; decisions: 13173
iteration: 59; vars: 104519; clauses: 3352; decisions: 13256
iteration: 60; vars: 106225; clauses: 5312; decisions: 13340
iteration: 61; vars: 107931; clauses: 1396; decisions: 13632
iteration: 62; vars: 109637; clauses: 3116; decisions: 13709
iteration: 63; vars: 111343; clauses: 4836; decisions: 13787
iteration: 64; vars: 113049; clauses: 1399; decisions: 13897
iteration: 65; vars: 114755; clauses: 3083; decisions: 13980
iteration: 66; vars: 116461; clauses: 4767; decisions: 14064
iteration: 67; vars: 118167; clauses: 1403; decisions: 14931
iteration: 68; vars: 119873; clauses: 3015; decisions: 15000
iteration: 69; vars: 121579; clauses: 4975; decisions: 15067
iteration: 70; vars: 123285; clauses: 1385; decisions: 15154
iteration: 71; vars: 124991; clauses: 3059; decisions: 15235
iteration: 72; vars: 126697; clauses: 4733; decisions: 15313
iteration: 73; vars: 128403; clauses: 1389; decisions: 15401
iteration: 74; vars: 130109; clauses: 2953; decisions: 15483
iteration: 75; vars: 131815; clauses: 4517; decisions: 15566
iteration: 76; vars: 133521; clauses: 1393; decisions: 15733
iteration: 77; vars: 135227; clauses: 3041; decisions: 15811
iteration: 78; vars: 136933; clauses: 4689; decisions: 15888
iteration: 79; vars: 138639; clauses: 1397; decisions: 15961
iteration: 80; vars: 140345; clauses: 3137; decisions: 16033
iteration: 81; vars: 142051; clauses: 4877; decisions: 16106
iteration: 82; vars: 143757; clauses: 1401; decisions: 16176
iteration: 83; vars: 145463; clauses: 3257; decisions: 16245
iteration: 84; vars: 147169; clauses: 5113; decisions: 16315
iteration: 85; vars: 148875; clauses: 1407; decisions: 16387
iteration: 86; vars: 150581; clauses: 3183; decisions: 16458
iteration: 87; vars: 152287; clauses: 4959; decisions: 16530
iteration: 88; vars: 153993; clauses: 1411; decisions: 16601
iteration: 89; vars: 155699; clauses: 3183; decisions: 16671
iteration: 90; vars: 157405; clauses: 4959; decisions: 16742
