inputs=10 keys=547 outputs=19 gates=5939
iteration: 1; vars: 36678; clauses: 6883; decisions: 751
iteration: 2; vars: 48516; clauses: 12787; decisions: 2531
iteration: 3; vars: 60354; clauses: 6713; decisions: 3105
iteration: 4; vars: 72192; clauses: 12695; decisions: 3487
iteration: 5; vars: 84030; clauses: 6615; decisions: 3967
iteration: 6; vars: 95868; clauses: 12387; decisions: 4246
iteration: 7; vars: 107706; clauses: 6603; decisions: 4711
iteration: 8; vars: 119544; clauses: 12575; decisions: 4969
iteration: 9; vars: 131382; clauses: 6572; decisions: 5383
iteration: 10; vars: 143220; clauses: 12396; decisions: 5952
iteration: 11; vars: 155058; clauses: 6388; decisions: 6260
iteration: 12; vars: 166896; clauses: 11998; decisions: 6737
iteration: 13; vars: 178734; clauses: 17320; decisions: 7259
iteration: 14; vars: 190572; clauses: 6262; decisions: 7447
iteration: 15; vars: 202410; clauses: 11792; decisions: 7569
iteration: 16; vars: 214248; clauses: 17310; decisions: 7687
iteration: 17; vars: 226086; clauses: 6247; decisions: 7862
iteration: 18; vars: 237924; clauses: 11847; decisions: 8037
iteration: 19; vars: 249762; clauses: 17405; decisions: 8164
iteration: 20; vars: 261600; clauses: 6226; decisions: 8315
iteration: 21; vars: 273438; clauses: 11700; decisions: 8430
iteration: 22; vars: 285276; clauses: 16940; decisions: 8531
iteration: 23; vars: 297114; clauses: 21948; decisions: 8834
iteration: 24; vars: 308952; clauses: 6197; decisions: 8981
iteration: 25; vars: 320790; clauses: 11331; decisions: 9066
iteration: 26; vars: 332628; clauses: 16717; decisions: 9295
iteration: 27; vars: 344466; clauses: 22199; decisions: 9355
iteration: 28; vars: 356304; clauses: 27421; decisions: 9451
iteration: 29; vars: 368142; clauses: 32619; decisions: 9567
iteration: 30; vars: 379980; clauses: 6154; decisions: 9626
iteration: 31; vars: 391818; clauses: 11548; decisions: 9689
iteration: 32; vars: 403656; clauses: 16850; decisions: 9727
iteration: 33; vars: 415494; clauses: 22198; decisions: 9767
iteration: 34; vars: 427332; clauses: 27732; decisions: 10126
iteration: 35; vars: 439170; clauses: 32970; decisions: 10193
iteration: 36; vars: 451008; clauses: 38182; decisions: 10228
iteration: 37; vars: 462846; clauses: 43510; decisions: 10403
iteration: 38; vars: 474684; clauses: 48676; decisions: 10433
iteration: 39; vars: 486522; clauses: 53980; decisions: 10701
iteration: 40; vars: 498360; clauses: 58970; decisions: 10726
iteration: 41; vars: 510198; clauses: 63960; decisions: 10753
iteration: 42; vars: 522036; clauses: 69072; decisions: 10779
iteration: 43; vars: 533874; clauses: 74184; decisions: 10809
iteration: 44; vars: 545712; clauses: 79398; decisions: 10837
iteration: 45; vars: 557550; clauses: 84612; decisions: 10866
iteration: 46; vars: 569388; clauses: 89910; decisions: 10893
iteration: 47; vars: 581226; clauses: 95010; decisions: 10922
iteration: 48; vars: 593064; clauses: 100102; decisions: 10947
iteration: 49; vars: 604902; clauses: 105132; decisions: 10971
iteration: 50; vars: 616740; clauses: 110162; decisions: 10999
iteration: 51; vars: 628578; clauses: 6130; decisions: 11208
iteration: 52; vars: 640416; clauses: 11248; decisions: 11654
iteration: 53; vars: 652254; clauses: 16294; decisions: 11679
iteration: 54; vars: 664092; clauses: 21340; decisions: 11709
iteration: 55; vars: 675930; clauses: 26380; decisions: 11735
iteration: 56; vars: 687768; clauses: 31420; decisions: 11762
iteration: 57; vars: 699606; clauses: 36420; decisions: 11789
iteration: 58; vars: 711444; clauses: 41772; decisions: 11814
iteration: 59; vars: 723282; clauses: 47124; decisions: 11841
iteration: 60; vars: 735120; clauses: 52516; decisions: 11865
iteration: 61; vars: 746958; clauses: 57830; decisions: 11889
iteration: 62; vars: 758796; clauses: 63300; decisions: 11915
iteration: 63; vars: 770634; clauses: 68164; decisions: 11940
iteration: 64; vars: 782472; clauses: 73028; decisions: 11966
iteration: 65; vars: 794310; clauses: 78062; decisions: 11990
iteration: 66; vars: 806148; clauses: 83096; decisions: 12015
iteration: 67; vars: 817986; clauses: 88136; decisions: 12038
iteration: 68; vars: 829824; clauses: 93486; decisions: 12060
iteration: 69; vars: 841662; clauses: 98962; decisions: 12083
iteration: 70; vars: 853500; clauses: 103974; decisions: 12104
iteration: 71; vars: 865338; clauses: 109020; decisions: 12126
iteration: 72; vars: 877176; clauses: 114120; decisions: 12333
iteration: 73; vars: 889014; clauses: 119204; decisions: 12365
iteration: 74; vars: 900852; clauses: 124414; decisions: 12395
iteration: 75; vars: 912690; clauses: 6150; decisions: 13725
iteration: 76; vars: 924528; clauses: 11248; decisions: 13750
iteration: 77; vars: 936366; clauses: 16346; decisions: 13786
iteration: 78; vars: 948204; clauses: 21400; decisions: 13806
iteration: 79; vars: 960042; clauses: 26454; decisions: 13827
iteration: 80; vars: 971880; clauses: 31460; decisions: 13846
iteration: 81; vars: 983718; clauses: 36466; decisions: 13866
iteration: 82; vars: 995556; clauses: 41570; decisions: 13888
iteration: 83; vars: 1007394; clauses: 46608; decisions: 13926
iteration: 84; vars: 1019232; clauses: 51708; decisions: 13949
iteration: 85; vars: 1031070; clauses: 56746; decisions: 13972
iteration: 86; vars: 1042908; clauses: 61868; decisions: 13993
iteration: 87; vars: 1054746; clauses: 66990; decisions: 14014
iteration: 88; vars: 1066584; clauses: 72094; decisions: 14037
iteration: 89; vars: 1078422; clauses: 77128; decisions: 14061
iteration: 90; vars: 1090260; clauses: 82166; decisions: 14086
iteration: 91; vars: 1102098; clauses: 87224; decisions: 14110
iteration: 92; vars: 1113936; clauses: 92282; decisions: 14235
iteration: 93; vars: 1125774; clauses: 97342; decisions: 14259
iteration: 94; vars: 1137612; clauses: 102332; decisions: 14283
iteration: 95; vars: 1149450; clauses: 107674; decisions: 14308
iteration: 96; vars: 1161288; clauses: 112930; decisions: 14331
iteration: 97; vars: 1173126; clauses: 118186; decisions: 14355
iteration: 98; vars: 1184964; clauses: 123278; decisions: 14377
iteration: 99; vars: 1196802; clauses: 6174; decisions: 14512
iteration: 100; vars: 1208640; clauses: 11184; decisions: 14537
iteration: 101; vars: 1220478; clauses: 16284; decisions: 14564
iteration: 102; vars: 1232316; clauses: 21368; decisions: 14589
iteration: 103; vars: 1244154; clauses: 26452; decisions: 14616
iteration: 104; vars: 1255992; clauses: 31274; decisions: 14635
iteration: 105; vars: 1267830; clauses: 36096; decisions: 14656
iteration: 106; vars: 1279668; clauses: 41266; decisions: 14677
iteration: 107; vars: 1291506; clauses: 46288; decisions: 14699
iteration: 108; vars: 1303344; clauses: 51186; decisions: 14720
iteration: 109; vars: 1315182; clauses: 56336; decisions: 14741
iteration: 110; vars: 1327020; clauses: 61506; decisions: 14768
iteration: 111; vars: 1338858; clauses: 66404; decisions: 14794
iteration: 112; vars: 1350696; clauses: 71508; decisions: 14836
iteration: 113; vars: 1362534; clauses: 76406; decisions: 14860
iteration: 114; vars: 1374372; clauses: 81378; decisions: 14883
iteration: 115; vars: 1386210; clauses: 86350; decisions: 14908
iteration: 116; vars: 1398048; clauses: 91312; decisions: 14931
iteration: 117; vars: 1409886; clauses: 96274; decisions: 14955
iteration: 118; vars: 1421724; clauses: 101210; decisions: 14978
iteration: 119; vars: 1433562; clauses: 106202; decisions: 15004
iteration: 120; vars: 1445400; clauses: 111200; decisions: 15027
iteration: 121; vars: 1457238; clauses: 116198; decisions: 15051
iteration: 122; vars: 1469076; clauses: 121126; decisions: 15073
iteration: 123; vars: 1480914; clauses: 6209; decisions: 15097
iteration: 124; vars: 1492752; clauses: 11333; decisions: 15120
iteration: 125; vars: 1504590; clauses: 16457; decisions: 15144
iteration: 126; vars: 1516428; clauses: 21557; decisions: 15168
iteration: 127; vars: 1528266; clauses: 26653; decisions: 15197
iteration: 128; vars: 1540104; clauses: 31619; decisions: 15221
iteration: 129; vars: 1551942; clauses: 36621; decisions: 15246
iteration: 130; vars: 1563780; clauses: 41721; decisions: 15270
iteration: 131; vars: 1575618; clauses: 46821; decisions: 15295
iteration: 132; vars: 1587456; clauses: 51915; decisions: 15318
iteration: 133; vars: 1599294; clauses: 57009; decisions: 15344
iteration: 134; vars: 1611132; clauses: 62119; decisions: 15369
iteration: 135; vars: 1622970; clauses: 67173; decisions: 15394
iteration: 136; vars: 1634808; clauses: 72129; decisions: 15419
iteration: 137; vars: 1646646; clauses: 77265; decisions: 15445
iteration: 138; vars: 1658484; clauses: 82573; decisions: 15468
iteration: 139; vars: 1670322; clauses: 87659; decisions: 15492
iteration: 140; vars: 1682160; clauses: 92969; decisions: 15520
iteration: 141; vars: 1693998; clauses: 98115; decisions: 15541
iteration: 142; vars: 1705836; clauses: 103261; decisions: 15566
iteration: 143; vars: 1717674; clauses: 108373; decisions: 15587
iteration: 144; vars: 1729512; clauses: 113575; decisions: 15612
iteration: 145; vars: 1741350; clauses: 118711; decisions: 15637
iteration: 146; vars: 1753188; clauses: 124019; decisions: 15663
iteration: 147; vars: 1765026; clauses: 6239; decisions: 15690
iteration: 148; vars: 1776864; clauses: 11349; decisions: 15716
iteration: 149; vars: 1788702; clauses: 16503; decisions: 15743
iteration: 150; vars: 1800540; clauses: 21887; decisions: 15766
iteration: 151; vars: 1812378; clauses: 27271; decisions: 15818
iteration: 152; vars: 1824216; clauses: 32361; decisions: 15848
iteration: 153; vars: 1836054; clauses: 37451; decisions: 15903
iteration: 154; vars: 1847892; clauses: 42543; decisions: 15923
iteration: 155; vars: 1859730; clauses: 47755; decisions: 15945
iteration: 156; vars: 1871568; clauses: 53047; decisions: 15966
iteration: 157; vars: 1883406; clauses: 58339; decisions: 16001
iteration: 158; vars: 1895244; clauses: 63441; decisions: 16026
iteration: 159; vars: 1907082; clauses: 68501; decisions: 16050
iteration: 160; vars: 1918920; clauses: 73885; decisions: 16073
iteration: 161; vars: 1930758; clauses: 79269; decisions: 16101
iteration: 162; vars: 1942596; clauses: 84543; decisions: 16123
iteration: 163; vars: 1954434; clauses: 89817; decisions: 16148
iteration: 164; vars: 1966272; clauses: 94919; decisions: 16172
iteration: 165; vars: 1978110; clauses: 100117; decisions: 16194
iteration: 166; vars: 1989948; clauses: 105315; decisions: 16220
iteration: 167; vars: 2001786; clauses: 110147; decisions: 16240
iteration: 168; vars: 2013624; clauses: 114979; decisions: 16262
iteration: 169; vars: 2025462; clauses: 120071; decisions: 16285
iteration: 170; vars: 2037300; clauses: 125155; decisions: 16330
iteration: 171; vars: 2049138; clauses: 6268; decisions: 16447
iteration: 172; vars: 2060976; clauses: 11118; decisions: 16468
iteration: 173; vars: 2072814; clauses: 15968; decisions: 16503
iteration: 174; vars: 2084652; clauses: 20846; decisions: 16528
iteration: 175; vars: 2096490; clauses: 26092; decisions: 16550
iteration: 176; vars: 2108328; clauses: 31008; decisions: 16571
iteration: 177; vars: 2120166; clauses: 35924; decisions: 16608
iteration: 178; vars: 2132004; clauses: 41164; decisions: 16629
iteration: 179; vars: 2143842; clauses: 46290; decisions: 16674
iteration: 180; vars: 2155680; clauses: 51244; decisions: 16700
iteration: 181; vars: 2167518; clauses: 56406; decisions: 16721
iteration: 182; vars: 2179356; clauses: 61568; decisions: 16757
iteration: 183; vars: 2191194; clauses: 66690; decisions: 16775
iteration: 184; vars: 2203032; clauses: 71812; decisions: 16807
iteration: 185; vars: 2214870; clauses: 76812; decisions: 16834
iteration: 186; vars: 2226708; clauses: 82204; decisions: 16870
iteration: 187; vars: 2238546; clauses: 87374; decisions: 16909
iteration: 188; vars: 2250384; clauses: 92560; decisions: 16930
iteration: 189; vars: 2262222; clauses: 97746; decisions: 16964
iteration: 190; vars: 2274060; clauses: 103080; decisions: 16987
iteration: 191; vars: 2285898; clauses: 108318; decisions: 17009
iteration: 192; vars: 2297736; clauses: 113556; decisions: 17033
iteration: 193; vars: 2309574; clauses: 118666; decisions: 17052
iteration: 194; vars: 2321412; clauses: 123776; decisions: 17075
iteration: 195; vars: 2333250; clauses: 6290; decisions: 17095
iteration: 196; vars: 2345088; clauses: 11244; decisions: 17114
iteration: 197; vars: 2356926; clauses: 16198; decisions: 17140
iteration: 198; vars: 2368764; clauses: 21396; decisions: 17162
iteration: 199; vars: 2380602; clauses: 26572; decisions: 17183
iteration: 200; vars: 2392440; clauses: 31726; decisions: 17208
iteration: 201; vars: 2404278; clauses: 36604; decisions: 17235
iteration: 202; vars: 2416116; clauses: 41662; decisions: 17255
iteration: 203; vars: 2427954; clauses: 46720; decisions: 17276
iteration: 204; vars: 2439792; clauses: 51734; decisions: 17304
iteration: 205; vars: 2451630; clauses: 56748; decisions: 17326
iteration: 206; vars: 2463468; clauses: 61908; decisions: 17345
iteration: 207; vars: 2475306; clauses: 67068; decisions: 17366
iteration: 208; vars: 2487144; clauses: 72282; decisions: 17387
iteration: 209; vars: 2498982; clauses: 77338; decisions: 17416
iteration: 210; vars: 2510820; clauses: 82394; decisions: 17451
iteration: 211; vars: 2522658; clauses: 87592; decisions: 17519
iteration: 212; vars: 2534496; clauses: 92730; decisions: 17537
iteration: 213; vars: 2546334; clauses: 97868; decisions: 17556
iteration: 214; vars: 2558172; clauses: 103016; decisions: 17573
iteration: 215; vars: 2570010; clauses: 108164; decisions: 17619
iteration: 216; vars: 2581848; clauses: 113532; decisions: 17641
iteration: 217; vars: 2593686; clauses: 118900; decisions: 17664
iteration: 218; vars: 2605524; clauses: 124012; decisions: 17688
iteration: 219; vars: 2617362; clauses: 6317; decisions: 17732
iteration: 220; vars: 2629200; clauses: 11633; decisions: 17751
iteration: 221; vars: 2641038; clauses: 16949; decisions: 17773
iteration: 222; vars: 2652876; clauses: 21873; decisions: 17794
iteration: 223; vars: 2664714; clauses: 26851; decisions: 17814
iteration: 224; vars: 2676552; clauses: 31953; decisions: 17835
