inputs=75 keys=312 outputs=16 gates=2704
iteration: 1; vars: 16878; clauses: 6428; decisions: 40898
iteration: 2; vars: 22254; clauses: 6964; decisions: 41460
iteration: 3; vars: 27630; clauses: 8171; decisions: 43152
iteration: 4; vars: 33006; clauses: 8845; decisions: 44134
iteration: 5; vars: 38382; clauses: 13837; decisions: 44756
iteration: 6; vars: 43758; clauses: 7230; decisions: 45920
iteration: 7; vars: 49134; clauses: 11670; decisions: 46577
iteration: 8; vars: 54510; clauses: 16093; decisions: 47848
iteration: 9; vars: 59886; clauses: 4667; decisions: 48387
iteration: 10; vars: 65262; clauses: 8375; decisions: 49181
iteration: 11; vars: 70638; clauses: 4798; decisions: 49615
iteration: 12; vars: 76014; clauses: 8732; decisions: 49969
iteration: 13; vars: 81390; clauses: 4930; decisions: 50839
iteration: 14; vars: 86766; clauses: 9034; decisions: 51006
iteration: 15; vars: 92142; clauses: 13088; decisions: 51265
iteration: 16; vars: 97518; clauses: 4021; decisions: 52503
iteration: 17; vars: 102894; clauses: 7855; decisions: 52930
iteration: 18; vars: 108270; clauses: 4060; decisions: 53472
iteration: 19; vars: 113646; clauses: 7870; decisions: 54846
iteration: 20; vars: 119022; clauses: 11982; decisions: 56235
iteration: 21; vars: 124398; clauses: 16014; decisions: 56336
iteration: 22; vars: 129774; clauses: 3596; decisions: 58979
iteration: 23; vars: 135150; clauses: 7422; decisions: 59132
iteration: 24; vars: 140526; clauses: 11248; decisions: 59320
iteration: 25; vars: 145902; clauses: 3600; decisions: 59705
iteration: 26; vars: 151278; clauses: 7636; decisions: 59862
iteration: 27; vars: 156654; clauses: 11672; decisions: 60020
iteration: 28; vars: 162030; clauses: 3603; decisions: 60225
iteration: 29; vars: 167406; clauses: 7675; decisions: 60377
iteration: 30; vars: 172782; clauses: 11747; decisions: 60538
iteration: 31; vars: 178158; clauses: 3607; decisions: 62540
iteration: 32; vars: 183534; clauses: 7711; decisions: 62711
iteration: 33; vars: 188910; clauses: 12021; decisions: 62881
iteration: 34; vars: 194286; clauses: 3610; decisions: 63316
iteration: 35; vars: 199662; clauses: 7676; decisions: 63464
iteration: 36; vars: 205038; clauses: 11742; decisions: 63614
iteration: 37; vars: 210414; clauses: 3614; decisions: 63919
iteration: 38; vars: 215790; clauses: 7764; decisions: 64068
iteration: 39; vars: 221166; clauses: 11914; decisions: 64220
iteration: 40; vars: 226542; clauses: 3618; decisions: 64471
iteration: 41; vars: 231918; clauses: 7812; decisions: 64625
iteration: 42; vars: 237294; clauses: 12006; decisions: 64807
iteration: 43; vars: 242670; clauses: 3622; decisions: 66016
iteration: 44; vars: 248046; clauses: 7398; decisions: 66178
iteration: 45; vars: 253422; clauses: 11170; decisions: 66339
iteration: 46; vars: 258798; clauses: 3626; decisions: 66484
iteration: 47; vars: 264174; clauses: 7480; decisions: 66619
iteration: 48; vars: 269550; clauses: 11334; decisions: 66756
iteration: 49; vars: 274926; clauses: 3630; decisions: 66920
iteration: 50; vars: 280302; clauses: 7734; decisions: 67059
iteration: 51; vars: 285678; clauses: 11838; decisions: 67199
iteration: 52; vars: 291054; clauses: 3624; decisions: 67374
iteration: 53; vars: 296430; clauses: 7102; decisions: 67532
iteration: 54; vars: 301806; clauses: 10580; decisions: 67703
iteration: 55; vars: 307182; clauses: 3625; decisions: 68016
iteration: 56; vars: 312558; clauses: 7873; decisions: 68195
iteration: 57; vars: 317934; clauses: 12121; decisions: 68378
iteration: 58; vars: 323310; clauses: 3629; decisions: 68626
iteration: 59; vars: 328686; clauses: 7297; decisions: 68787
iteration: 60; vars: 334062; clauses: 10965; decisions: 68950
iteration: 61; vars: 339438; clauses: 3633; decisions: 69160
iteration: 62; vars: 344814; clauses: 7301; decisions: 69329
iteration: 63; vars: 350190; clauses: 10969; decisions: 69500
iteration: 64; vars: 355566; clauses: 3637; decisions: 69706
iteration: 65; vars: 360942; clauses: 7305; decisions: 69863
iteration: 66; vars: 366318; clauses: 11377; decisions: 70028
iteration: 67; vars: 371694; clauses: 3640; decisions: 71837
iteration: 68; vars: 377070; clauses: 7746; decisions: 71972
iteration: 69; vars: 382446; clauses: 11852; decisions: 72106
iteration: 70; vars: 387822; clauses: 3635; decisions: 72251
iteration: 71; vars: 393198; clauses: 7449; decisions: 72390
iteration: 72; vars: 398574; clauses: 11263; decisions: 72534
iteration: 73; vars: 403950; clauses: 3636; decisions: 73047
iteration: 74; vars: 409326; clauses: 7444; decisions: 73199
iteration: 75; vars: 414702; clauses: 11252; decisions: 73353
iteration: 76; vars: 420078; clauses: 3640; decisions: 73815
iteration: 77; vars: 425454; clauses: 7544; decisions: 73980
iteration: 78; vars: 430830; clauses: 11448; decisions: 74161
iteration: 79; vars: 436206; clauses: 3644; decisions: 74342
iteration: 80; vars: 441582; clauses: 7410; decisions: 74494
iteration: 81; vars: 446958; clauses: 11176; decisions: 74646
iteration: 82; vars: 452334; clauses: 3650; decisions: 74798
iteration: 83; vars: 457710; clauses: 7624; decisions: 74949
iteration: 84; vars: 463086; clauses: 11598; decisions: 75108
iteration: 85; vars: 468462; clauses: 3652; decisions: 75259
iteration: 86; vars: 473838; clauses: 7626; decisions: 75412
iteration: 87; vars: 479214; clauses: 11600; decisions: 75564
iteration: 88; vars: 484590; clauses: 3656; decisions: 75716
iteration: 89; vars: 489966; clauses: 6922; decisions: 75868
iteration: 90; vars: 495342; clauses: 10188; decisions: 76021
iteration: 91; vars: 500718; clauses: 3660; decisions: 76173
iteration: 92; vars: 506094; clauses: 6966; decisions: 76325
iteration: 93; vars: 511470; clauses: 10272; decisions: 76478
iteration: 94; vars: 516846; clauses: 3664; decisions: 76630
iteration: 95; vars: 522222; clauses: 6970; decisions: 76782
iteration: 96; vars: 527598; clauses: 10276; decisions: 76935
iteration: 97; vars: 532974; clauses: 3668; decisions: 77087
iteration: 98; vars: 538350; clauses: 6974; decisions: 77239
iteration: 99; vars: 543726; clauses: 10280; decisions: 77392
iteration: 100; vars: 549102; clauses: 3672; decisions: 77542
iteration: 101; vars: 554478; clauses: 7886; decisions: 77691
iteration: 102; vars: 559854; clauses: 12100; decisions: 77841
iteration: 103; vars: 565230; clauses: 3676; decisions: 78333
iteration: 104; vars: 570606; clauses: 7844; decisions: 78484
iteration: 105; vars: 575982; clauses: 12012; decisions: 78636
iteration: 106; vars: 581358; clauses: 3680; decisions: 78829
iteration: 107; vars: 586734; clauses: 7912; decisions: 78989
iteration: 108; vars: 592110; clauses: 12144; decisions: 79150
iteration: 109; vars: 597486; clauses: 3684; decisions: 79356
iteration: 110; vars: 602862; clauses: 7916; decisions: 79505
iteration: 111; vars: 608238; clauses: 12148; decisions: 79653
iteration: 112; vars: 613614; clauses: 3690; decisions: 79811
iteration: 113; vars: 618990; clauses: 7800; decisions: 79968
iteration: 114; vars: 624366; clauses: 11682; decisions: 80131
iteration: 115; vars: 629742; clauses: 3696; decisions: 80283
iteration: 116; vars: 635118; clauses: 7328; decisions: 80717
iteration: 117; vars: 640494; clauses: 10950; decisions: 80869
iteration: 118; vars: 645870; clauses: 3702; decisions: 81025
iteration: 119; vars: 651246; clauses: 7646; decisions: 81180
iteration: 120; vars: 656622; clauses: 11590; decisions: 81336
iteration: 121; vars: 661998; clauses: 3704; decisions: 81491
iteration: 122; vars: 667374; clauses: 7648; decisions: 81647
iteration: 123; vars: 672750; clauses: 11592; decisions: 81801
iteration: 124; vars: 678126; clauses: 3708; decisions: 81955
iteration: 125; vars: 683502; clauses: 7574; decisions: 82108
iteration: 126; vars: 688878; clauses: 11440; decisions: 82262
iteration: 127; vars: 694254; clauses: 3710; decisions: 82674
iteration: 128; vars: 699630; clauses: 7750; decisions: 82826
iteration: 129; vars: 705006; clauses: 11670; decisions: 82977
iteration: 130; vars: 710382; clauses: 3714; decisions: 83129
iteration: 131; vars: 715758; clauses: 7694; decisions: 83280
iteration: 132; vars: 721134; clauses: 11674; decisions: 83432
iteration: 133; vars: 726510; clauses: 3718; decisions: 83583
iteration: 134; vars: 731886; clauses: 7638; decisions: 83735
iteration: 135; vars: 737262; clauses: 11558; decisions: 84091
iteration: 136; vars: 742638; clauses: 3724; decisions: 84249
iteration: 137; vars: 748014; clauses: 7796; decisions: 84401
iteration: 138; vars: 753390; clauses: 11870; decisions: 84554
iteration: 139; vars: 758766; clauses: 3728; decisions: 84711
iteration: 140; vars: 764142; clauses: 7798; decisions: 84864
iteration: 141; vars: 769518; clauses: 11870; decisions: 85016
iteration: 142; vars: 774894; clauses: 3732; decisions: 85173
iteration: 143; vars: 780270; clauses: 7724; decisions: 85326
iteration: 144; vars: 785646; clauses: 11716; decisions: 85477
iteration: 145; vars: 791022; clauses: 3736; decisions: 85631
iteration: 146; vars: 796398; clauses: 7324; decisions: 85777
iteration: 147; vars: 801774; clauses: 11020; decisions: 85922
iteration: 148; vars: 807150; clauses: 3740; decisions: 86067
iteration: 149; vars: 812526; clauses: 7436; decisions: 86211
iteration: 150; vars: 817902; clauses: 11132; decisions: 86357
iteration: 151; vars: 823278; clauses: 3746; decisions: 86504
iteration: 152; vars: 828654; clauses: 7164; decisions: 86650
iteration: 153; vars: 834030; clauses: 10558; decisions: 86797
iteration: 154; vars: 839406; clauses: 3748; decisions: 86944
iteration: 155; vars: 844782; clauses: 7152; decisions: 87090
iteration: 156; vars: 850158; clauses: 10582; decisions: 87237
iteration: 157; vars: 855534; clauses: 3748; decisions: 87404
iteration: 158; vars: 860910; clauses: 7862; decisions: 87560
iteration: 159; vars: 866286; clauses: 11972; decisions: 87715
iteration: 160; vars: 871662; clauses: 3752; decisions: 87894
iteration: 161; vars: 877038; clauses: 7434; decisions: 88045
iteration: 162; vars: 882414; clauses: 11116; decisions: 88197
iteration: 163; vars: 887790; clauses: 3756; decisions: 88358
iteration: 164; vars: 893166; clauses: 7402; decisions: 88518
iteration: 165; vars: 898542; clauses: 11020; decisions: 88679
iteration: 166; vars: 903918; clauses: 3760; decisions: 88843
iteration: 167; vars: 909294; clauses: 7406; decisions: 88993
iteration: 168; vars: 914670; clauses: 11076; decisions: 89147
iteration: 169; vars: 920046; clauses: 3764; decisions: 89294
iteration: 170; vars: 925422; clauses: 7218; decisions: 89437
iteration: 171; vars: 930798; clauses: 10672; decisions: 89581
iteration: 172; vars: 936174; clauses: 3768; decisions: 89725
iteration: 173; vars: 941550; clauses: 7222; decisions: 89868
iteration: 174; vars: 946926; clauses: 10676; decisions: 90012
iteration: 175; vars: 952302; clauses: 3772; decisions: 90156
iteration: 176; vars: 957678; clauses: 7226; decisions: 90299
iteration: 177; vars: 963054; clauses: 10680; decisions: 90443
iteration: 178; vars: 968430; clauses: 3776; decisions: 90592
iteration: 179; vars: 973806; clauses: 7528; decisions: 90740
iteration: 180; vars: 979182; clauses: 11270; decisions: 90889
iteration: 181; vars: 984558; clauses: 3780; decisions: 91038
iteration: 182; vars: 989934; clauses: 7522; decisions: 91186
iteration: 183; vars: 995310; clauses: 11256; decisions: 91335
iteration: 184; vars: 1000686; clauses: 3784; decisions: 91484
iteration: 185; vars: 1006062; clauses: 7516; decisions: 91632
iteration: 186; vars: 1011438; clauses: 11248; decisions: 91781
iteration: 187; vars: 1016814; clauses: 3788; decisions: 92044
iteration: 188; vars: 1022190; clauses: 7764; decisions: 92194
iteration: 189; vars: 1027566; clauses: 11950; decisions: 92343
iteration: 190; vars: 1032942; clauses: 3792; decisions: 92495
iteration: 191; vars: 1038318; clauses: 7768; decisions: 92646
iteration: 192; vars: 1043694; clauses: 11744; decisions: 92798
iteration: 193; vars: 1049070; clauses: 3796; decisions: 92949
iteration: 194; vars: 1054446; clauses: 7772; decisions: 93101
iteration: 195; vars: 1059822; clauses: 11748; decisions: 93267
iteration: 196; vars: 1065198; clauses: 3800; decisions: 93418
iteration: 197; vars: 1070574; clauses: 7794; decisions: 93568
iteration: 198; vars: 1075950; clauses: 11292; decisions: 93717
iteration: 199; vars: 1081326; clauses: 3804; decisions: 93865
iteration: 200; vars: 1086702; clauses: 7774; decisions: 94014
iteration: 201; vars: 1092078; clauses: 11712; decisions: 94161
iteration: 202; vars: 1097454; clauses: 3810; decisions: 94307
iteration: 203; vars: 1102830; clauses: 8042; decisions: 94454
iteration: 204; vars: 1108206; clauses: 12274; decisions: 94609
iteration: 205; vars: 1113582; clauses: 3810; decisions: 94763
iteration: 206; vars: 1118958; clauses: 7874; decisions: 94918
iteration: 207; vars: 1124334; clauses: 11938; decisions: 95112
iteration: 208; vars: 1129710; clauses: 3814; decisions: 95265
iteration: 209; vars: 1135086; clauses: 7804; decisions: 95416
iteration: 210; vars: 1140462; clauses: 11802; decisions: 95568
iteration: 211; vars: 1145838; clauses: 3818; decisions: 95722
iteration: 212; vars: 1151214; clauses: 7816; decisions: 95873
iteration: 213; vars: 1156590; clauses: 11814; decisions: 96025
iteration: 214; vars: 1161966; clauses: 3822; decisions: 96178
iteration: 215; vars: 1167342; clauses: 7812; decisions: 96329
iteration: 216; vars: 1172718; clauses: 11802; decisions: 96481
iteration: 217; vars: 1178094; clauses: 3826; decisions: 96634
iteration: 218; vars: 1183470; clauses: 7818; decisions: 96787
iteration: 219; vars: 1188846; clauses: 11810; decisions: 96939
iteration: 220; vars: 1194222; clauses: 3830; decisions: 97091
iteration: 221; vars: 1199598; clauses: 7822; decisions: 97242
iteration: 222; vars: 1204974; clauses: 11814; decisions: 97394
iteration: 223; vars: 1210350; clauses: 3834; decisions: 97546
iteration: 224; vars: 1215726; clauses: 7826; decisions: 97697
iteration: 225; vars: 1221102; clauses: 11818; decisions: 97849
iteration: 226; vars: 1226478; clauses: 3838; decisions: 98001
iteration: 227; vars: 1231854; clauses: 7830; decisions: 98153
iteration: 228; vars: 1237230; clauses: 11820; decisions: 98304
iteration: 229; vars: 1242606; clauses: 3842; decisions: 98456
iteration: 230; vars: 1247982; clauses: 7832; decisions: 98607
iteration: 231; vars: 1253358; clauses: 11822; decisions: 98759
iteration: 232; vars: 1258734; clauses: 3846; decisions: 98911
iteration: 233; vars: 1264110; clauses: 7838; decisions: 99062
iteration: 234; vars: 1269486; clauses: 11830; decisions: 99214
iteration: 235; vars: 1274862; clauses: 3850; decisions: 99366
iteration: 236; vars: 1280238; clauses: 7840; decisions: 99517
iteration: 237; vars: 1285614; clauses: 11830; decisions: 99669
iteration: 238; vars: 1290990; clauses: 3854; decisions: 99821
iteration: 239; vars: 1296366; clauses: 7846; decisions: 99972
iteration: 240; vars: 1301742; clauses: 11872; decisions: 100124
iteration: 241; vars: 1307118; clauses: 3858; decisions: 100276
iteration: 242; vars: 1312494; clauses: 7882; decisions: 100427
iteration: 243; vars: 1317870; clauses: 11904; decisions: 100579
iteration: 244; vars: 1323246; clauses: 3862; decisions: 100731
iteration: 245; vars: 1328622; clauses: 7874; decisions: 100882
iteration: 246; vars: 1333998; clauses: 11884; decisions: 101034
iteration: 247; vars: 1339374; clauses: 3866; decisions: 101186
iteration: 248; vars: 1344750; clauses: 7868; decisions: 101337
iteration: 249; vars: 1350126; clauses: 11880; decisions: 101489
iteration: 250; vars: 1355502; clauses: 3870; decisions: 101641
iteration: 251; vars: 1360878; clauses: 7864; decisions: 101792
iteration: 252; vars: 1366254; clauses: 11858; decisions: 101944
iteration: 253; vars: 1371630; clauses: 3874; decisions: 102096
iteration: 254; vars: 1377006; clauses: 7878; decisions: 102247
iteration: 255; vars: 1382382; clauses: 11882; decisions: 102399
iteration: 256; vars: 1387758; clauses: 3878; decisions: 102551
iteration: 257; vars: 1393134; clauses: 7870; decisions: 102702
iteration: 258; vars: 1398510; clauses: 11862; decisions: 102854
iteration: 259; vars: 1403886; clauses: 3882; decisions: 103005
iteration: 260; vars: 1409262; clauses: 7886; decisions: 103155
iteration: 261; vars: 1414638; clauses: 11890; decisions: 103306
iteration: 262; vars: 1420014; clauses: 3886; decisions: 103458
iteration: 263; vars: 1425390; clauses: 7880; decisions: 103609
iteration: 264; vars: 1430766; clauses: 11874; decisions: 103761
