inputs=256 keys=592 outputs=245 gates=7569
iteration: 1; vars: 46122; clauses: 14664; decisions: 97611
iteration: 2; vars: 60770; clauses: 23900; decisions: 181803
iteration: 3; vars: 75418; clauses: 32796; decisions: 192388
iteration: 4; vars: 90066; clauses: 41144; decisions: 202453
iteration: 5; vars: 104714; clauses: 12648; decisions: 307074
iteration: 6; vars: 119362; clauses: 20932; decisions: 307609
iteration: 7; vars: 134010; clauses: 29216; decisions: 308146
iteration: 8; vars: 148658; clauses: 12574; decisions: 325003
iteration: 9; vars: 163306; clauses: 21056; decisions: 325530
iteration: 10; vars: 177954; clauses: 29538; decisions: 326059
iteration: 11; vars: 192602; clauses: 12562; decisions: 343910
iteration: 12; vars: 207250; clauses: 20950; decisions: 344456
iteration: 13; vars: 221898; clauses: 29338; decisions: 345004
iteration: 14; vars: 236546; clauses: 12482; decisions: 347308
iteration: 15; vars: 251194; clauses: 20700; decisions: 347868
iteration: 16; vars: 265842; clauses: 28918; decisions: 348430
iteration: 17; vars: 280490; clauses: 12480; decisions: 366906
iteration: 18; vars: 295138; clauses: 21114; decisions: 367467
iteration: 19; vars: 309786; clauses: 29748; decisions: 368030
iteration: 20; vars: 324434; clauses: 12479; decisions: 370202
iteration: 21; vars: 339082; clauses: 20247; decisions: 370742
iteration: 22; vars: 353730; clauses: 28015; decisions: 371528
iteration: 23; vars: 368378; clauses: 12478; decisions: 372619
iteration: 24; vars: 383026; clauses: 20250; decisions: 373153
iteration: 25; vars: 397674; clauses: 28022; decisions: 373689
iteration: 26; vars: 412322; clauses: 12481; decisions: 374473
iteration: 27; vars: 426970; clauses: 20495; decisions: 375129
iteration: 28; vars: 441618; clauses: 28461; decisions: 375746
iteration: 29; vars: 456266; clauses: 12487; decisions: 396808
iteration: 30; vars: 470914; clauses: 21263; decisions: 397368
iteration: 31; vars: 485562; clauses: 30039; decisions: 397929
iteration: 32; vars: 500210; clauses: 12259; decisions: 401158
iteration: 33; vars: 514858; clauses: 20779; decisions: 401685
iteration: 34; vars: 529506; clauses: 29299; decisions: 402215
iteration: 35; vars: 544154; clauses: 12263; decisions: 403182
iteration: 36; vars: 558802; clauses: 20141; decisions: 403715
iteration: 37; vars: 573450; clauses: 28019; decisions: 404249
iteration: 38; vars: 588098; clauses: 12266; decisions: 404994
iteration: 39; vars: 602746; clauses: 20144; decisions: 405602
iteration: 40; vars: 617394; clauses: 28424; decisions: 406195
iteration: 41; vars: 632042; clauses: 12270; decisions: 417604
iteration: 42; vars: 646690; clauses: 20554; decisions: 418192
iteration: 43; vars: 661338; clauses: 28846; decisions: 418778
iteration: 44; vars: 675986; clauses: 12271; decisions: 420023
iteration: 45; vars: 690634; clauses: 20205; decisions: 420538
iteration: 46; vars: 705282; clauses: 28139; decisions: 421055
iteration: 47; vars: 719930; clauses: 12275; decisions: 421861
iteration: 48; vars: 734578; clauses: 20209; decisions: 422374
iteration: 49; vars: 749226; clauses: 28143; decisions: 422890
iteration: 50; vars: 763874; clauses: 12279; decisions: 423554
iteration: 51; vars: 778522; clauses: 20213; decisions: 424069
iteration: 52; vars: 793170; clauses: 28147; decisions: 424626
iteration: 53; vars: 807818; clauses: 12285; decisions: 468342
iteration: 54; vars: 822466; clauses: 20291; decisions: 468892
iteration: 55; vars: 837114; clauses: 28933; decisions: 469439
iteration: 56; vars: 851762; clauses: 12289; decisions: 472017
iteration: 57; vars: 866410; clauses: 20831; decisions: 472557
iteration: 58; vars: 881058; clauses: 29373; decisions: 473098
iteration: 59; vars: 895706; clauses: 12293; decisions: 474679
iteration: 60; vars: 910354; clauses: 20687; decisions: 475231
iteration: 61; vars: 925002; clauses: 29081; decisions: 475784
iteration: 62; vars: 939650; clauses: 12296; decisions: 476523
iteration: 63; vars: 954298; clauses: 20690; decisions: 477075
iteration: 64; vars: 968946; clauses: 29084; decisions: 477665
iteration: 65; vars: 983594; clauses: 12300; decisions: 478434
iteration: 66; vars: 998242; clauses: 20694; decisions: 478985
iteration: 67; vars: 1012890; clauses: 29088; decisions: 479538
iteration: 68; vars: 1027538; clauses: 12303; decisions: 480052
iteration: 69; vars: 1042186; clauses: 21175; decisions: 480565
iteration: 70; vars: 1056834; clauses: 30047; decisions: 481079
iteration: 71; vars: 1071482; clauses: 12302; decisions: 481592
iteration: 72; vars: 1086130; clauses: 21174; decisions: 482106
iteration: 73; vars: 1100778; clauses: 30046; decisions: 482619
iteration: 74; vars: 1115426; clauses: 12308; decisions: 483131
iteration: 75; vars: 1130074; clauses: 21180; decisions: 483680
iteration: 76; vars: 1144722; clauses: 29940; decisions: 484228
iteration: 77; vars: 1159370; clauses: 12310; decisions: 493624
iteration: 78; vars: 1174018; clauses: 20468; decisions: 494388
iteration: 79; vars: 1188666; clauses: 28958; decisions: 494928
iteration: 80; vars: 1203314; clauses: 12312; decisions: 495992
iteration: 81; vars: 1217962; clauses: 20472; decisions: 496520
iteration: 82; vars: 1232610; clauses: 28632; decisions: 497049
iteration: 83; vars: 1247258; clauses: 12314; decisions: 498801
iteration: 84; vars: 1261906; clauses: 20532; decisions: 499346
iteration: 85; vars: 1276554; clauses: 28750; decisions: 499892
iteration: 86; vars: 1291202; clauses: 12318; decisions: 500671
iteration: 87; vars: 1305850; clauses: 20528; decisions: 501214
iteration: 88; vars: 1320498; clauses: 28738; decisions: 501796
iteration: 89; vars: 1335146; clauses: 12322; decisions: 503529
iteration: 90; vars: 1349794; clauses: 20654; decisions: 504101
iteration: 91; vars: 1364442; clauses: 28934; decisions: 504672
iteration: 92; vars: 1379090; clauses: 12326; decisions: 505745
iteration: 93; vars: 1393738; clauses: 20606; decisions: 506291
iteration: 94; vars: 1408386; clauses: 28886; decisions: 506838
iteration: 95; vars: 1423034; clauses: 12330; decisions: 507671
iteration: 96; vars: 1437682; clauses: 20568; decisions: 508215
iteration: 97; vars: 1452330; clauses: 28806; decisions: 508760
iteration: 98; vars: 1466978; clauses: 12332; decisions: 509488
iteration: 99; vars: 1481626; clauses: 20570; decisions: 510033
iteration: 100; vars: 1496274; clauses: 28808; decisions: 510604
iteration: 101; vars: 1510922; clauses: 12336; decisions: 519397
iteration: 102; vars: 1525570; clauses: 20668; decisions: 520166
iteration: 103; vars: 1540218; clauses: 28828; decisions: 520720
iteration: 104; vars: 1554866; clauses: 12342; decisions: 523453
iteration: 105; vars: 1569514; clauses: 20954; decisions: 524008
iteration: 106; vars: 1584162; clauses: 29566; decisions: 524564
iteration: 107; vars: 1598810; clauses: 12346; decisions: 525834
iteration: 108; vars: 1613458; clauses: 21016; decisions: 526410
iteration: 109; vars: 1628106; clauses: 29686; decisions: 526987
iteration: 110; vars: 1642754; clauses: 12350; decisions: 528140
iteration: 111; vars: 1657402; clauses: 20832; decisions: 528718
iteration: 112; vars: 1672050; clauses: 29314; decisions: 529334
iteration: 113; vars: 1686698; clauses: 12354; decisions: 531090
iteration: 114; vars: 1701346; clauses: 20774; decisions: 531700
iteration: 115; vars: 1715994; clauses: 29366; decisions: 532309
iteration: 116; vars: 1730642; clauses: 12358; decisions: 533279
iteration: 117; vars: 1745290; clauses: 20950; decisions: 533858
iteration: 118; vars: 1759938; clauses: 29542; decisions: 534439
iteration: 119; vars: 1774586; clauses: 12362; decisions: 534952
iteration: 120; vars: 1789234; clauses: 21234; decisions: 535464
iteration: 121; vars: 1803882; clauses: 30106; decisions: 535977
iteration: 122; vars: 1818530; clauses: 12364; decisions: 536490
iteration: 123; vars: 1833178; clauses: 21236; decisions: 537002
iteration: 124; vars: 1847826; clauses: 30108; decisions: 537531
iteration: 125; vars: 1862474; clauses: 12370; decisions: 543753
iteration: 126; vars: 1877122; clauses: 20790; decisions: 544498
iteration: 127; vars: 1891770; clauses: 28898; decisions: 545058
iteration: 128; vars: 1906418; clauses: 12374; decisions: 546799
iteration: 129; vars: 1921066; clauses: 20832; decisions: 547369
iteration: 130; vars: 1935714; clauses: 29290; decisions: 547940
iteration: 131; vars: 1950362; clauses: 12378; decisions: 549085
iteration: 132; vars: 1965010; clauses: 20836; decisions: 549657
iteration: 133; vars: 1979658; clauses: 29294; decisions: 550171
iteration: 134; vars: 1994306; clauses: 12382; decisions: 550686
iteration: 135; vars: 2008954; clauses: 21254; decisions: 551198
iteration: 136; vars: 2023602; clauses: 30126; decisions: 551728
iteration: 137; vars: 2038250; clauses: 12384; decisions: 557352
iteration: 138; vars: 2052898; clauses: 20804; decisions: 558085
iteration: 139; vars: 2067546; clauses: 28760; decisions: 558648
iteration: 140; vars: 2082194; clauses: 12388; decisions: 560939
iteration: 141; vars: 2096842; clauses: 20808; decisions: 561510
iteration: 142; vars: 2111490; clauses: 29228; decisions: 562082
iteration: 143; vars: 2126138; clauses: 12392; decisions: 562916
iteration: 144; vars: 2140786; clauses: 20812; decisions: 563485
iteration: 145; vars: 2155434; clauses: 29232; decisions: 564055
iteration: 146; vars: 2170082; clauses: 12396; decisions: 565163
iteration: 147; vars: 2184730; clauses: 20816; decisions: 565733
iteration: 148; vars: 2199378; clauses: 29236; decisions: 566321
iteration: 149; vars: 2214026; clauses: 12400; decisions: 571967
iteration: 150; vars: 2228674; clauses: 20820; decisions: 572700
iteration: 151; vars: 2243322; clauses: 28818; decisions: 573259
iteration: 152; vars: 2257970; clauses: 12404; decisions: 575125
iteration: 153; vars: 2272618; clauses: 20628; decisions: 575686
iteration: 154; vars: 2287266; clauses: 28852; decisions: 576248
iteration: 155; vars: 2301914; clauses: 12408; decisions: 577125
iteration: 156; vars: 2316562; clauses: 20828; decisions: 577695
iteration: 157; vars: 2331210; clauses: 29248; decisions: 578218
iteration: 158; vars: 2345858; clauses: 12414; decisions: 578742
iteration: 159; vars: 2360506; clauses: 21248; decisions: 579265
iteration: 160; vars: 2375154; clauses: 30082; decisions: 579803
iteration: 161; vars: 2389802; clauses: 12418; decisions: 586229
iteration: 162; vars: 2404450; clauses: 20838; decisions: 587025
iteration: 163; vars: 2419098; clauses: 29222; decisions: 587597
iteration: 164; vars: 2433746; clauses: 12422; decisions: 589041
iteration: 165; vars: 2448394; clauses: 21040; decisions: 589595
iteration: 166; vars: 2463042; clauses: 29658; decisions: 590150
iteration: 167; vars: 2477690; clauses: 12426; decisions: 591536
iteration: 168; vars: 2492338; clauses: 20534; decisions: 592087
iteration: 169; vars: 2506986; clauses: 28642; decisions: 592639
iteration: 170; vars: 2521634; clauses: 12430; decisions: 593760
iteration: 171; vars: 2536282; clauses: 20604; decisions: 594325
iteration: 172; vars: 2550930; clauses: 28778; decisions: 594916
iteration: 173; vars: 2565578; clauses: 12434; decisions: 596417
iteration: 174; vars: 2580226; clauses: 20608; decisions: 597037
iteration: 175; vars: 2594874; clauses: 28782; decisions: 597620
iteration: 176; vars: 2609522; clauses: 12438; decisions: 598399
iteration: 177; vars: 2624170; clauses: 20612; decisions: 598965
iteration: 178; vars: 2638818; clauses: 28786; decisions: 599533
iteration: 179; vars: 2653466; clauses: 12444; decisions: 600047
iteration: 180; vars: 2668114; clauses: 21316; decisions: 600561
iteration: 181; vars: 2682762; clauses: 30188; decisions: 601073
iteration: 182; vars: 2697410; clauses: 12446; decisions: 601587
iteration: 183; vars: 2712058; clauses: 21318; decisions: 602098
iteration: 184; vars: 2726706; clauses: 30190; decisions: 602624
iteration: 185; vars: 2741354; clauses: 12446; decisions: 608612
iteration: 186; vars: 2756002; clauses: 20620; decisions: 609297
iteration: 187; vars: 2770650; clauses: 28728; decisions: 609849
iteration: 188; vars: 2785298; clauses: 12450; decisions: 611566
iteration: 189; vars: 2799946; clauses: 20622; decisions: 612127
iteration: 190; vars: 2814594; clauses: 28794; decisions: 612689
iteration: 191; vars: 2829242; clauses: 12452; decisions: 613826
iteration: 192; vars: 2843890; clauses: 20624; decisions: 614385
iteration: 193; vars: 2858538; clauses: 28796; decisions: 614945
iteration: 194; vars: 2873186; clauses: 12456; decisions: 615707
iteration: 195; vars: 2887834; clauses: 20628; decisions: 616267
iteration: 196; vars: 2902482; clauses: 28800; decisions: 616845
iteration: 197; vars: 2917130; clauses: 12460; decisions: 622796
iteration: 198; vars: 2931778; clauses: 20632; decisions: 623474
iteration: 199; vars: 2946426; clauses: 28740; decisions: 624038
iteration: 200; vars: 2961074; clauses: 12466; decisions: 624551
iteration: 201; vars: 2975722; clauses: 21300; decisions: 625063
iteration: 202; vars: 2990370; clauses: 30134; decisions: 625577
iteration: 203; vars: 3005018; clauses: 12472; decisions: 626089
iteration: 204; vars: 3019666; clauses: 21306; decisions: 626602
iteration: 205; vars: 3034314; clauses: 30140; decisions: 627114
iteration: 206; vars: 3048962; clauses: 12476; decisions: 627627
iteration: 207; vars: 3063610; clauses: 21310; decisions: 628141
iteration: 208; vars: 3078258; clauses: 30144; decisions: 628655
iteration: 209; vars: 3092906; clauses: 12480; decisions: 629169
iteration: 210; vars: 3107554; clauses: 21314; decisions: 629682
iteration: 211; vars: 3122202; clauses: 29936; decisions: 630196
iteration: 212; vars: 3136850; clauses: 12482; decisions: 630710
iteration: 213; vars: 3151498; clauses: 21316; decisions: 631223
iteration: 214; vars: 3166146; clauses: 30150; decisions: 631737
iteration: 215; vars: 3180794; clauses: 12488; decisions: 632251
iteration: 216; vars: 3195442; clauses: 21360; decisions: 632764
iteration: 217; vars: 3210090; clauses: 30232; decisions: 633278
iteration: 218; vars: 3224738; clauses: 12492; decisions: 633792
iteration: 219; vars: 3239386; clauses: 21326; decisions: 634305
iteration: 220; vars: 3254034; clauses: 30160; decisions: 634819
iteration: 221; vars: 3268682; clauses: 12498; decisions: 635333
iteration: 222; vars: 3283330; clauses: 21332; decisions: 635846
iteration: 223; vars: 3297978; clauses: 30166; decisions: 636360
iteration: 224; vars: 3312626; clauses: 12502; decisions: 636874
iteration: 225; vars: 3327274; clauses: 21336; decisions: 637387
iteration: 226; vars: 3341922; clauses: 30170; decisions: 637901
iteration: 227; vars: 3356570; clauses: 12506; decisions: 638415
iteration: 228; vars: 3371218; clauses: 21378; decisions: 638928
iteration: 229; vars: 3385866; clauses: 30250; decisions: 639442
iteration: 230; vars: 3400514; clauses: 12510; decisions: 639956
iteration: 231; vars: 3415162; clauses: 21382; decisions: 640469
iteration: 232; vars: 3429810; clauses: 30254; decisions: 640983
iteration: 233; vars: 3444458; clauses: 12514; decisions: 641497
iteration: 234; vars: 3459106; clauses: 21386; decisions: 642010
iteration: 235; vars: 3473754; clauses: 30258; decisions: 642524
iteration: 236; vars: 3488402; clauses: 12518; decisions: 643038
iteration: 237; vars: 3503050; clauses: 21390; decisions: 643551
iteration: 238; vars: 3517698; clauses: 30262; decisions: 644065
iteration: 239; vars: 3532346; clauses: 12522; decisions: 647220
iteration: 240; vars: 3546994; clauses: 20946; decisions: 647822
iteration: 241; vars: 3561642; clauses: 29370; decisions: 648425
iteration: 242; vars: 3576290; clauses: 12526; decisions: 649936
iteration: 243; vars: 3590938; clauses: 20738; decisions: 650474
iteration: 244; vars: 3605586; clauses: 28950; decisions: 651013
iteration: 245; vars: 3620234; clauses: 12530; decisions: 653869
iteration: 246; vars: 3634882; clauses: 20888; decisions: 654442
iteration: 247; vars: 3649530; clauses: 29246; decisions: 655016
iteration: 248; vars: 3664178; clauses: 12534; decisions: 656062
iteration: 249; vars: 3678826; clauses: 20808; decisions: 656648
iteration: 250; vars: 3693474; clauses: 28906; decisions: 657226
iteration: 251; vars: 3708122; clauses: 12538; decisions: 659120
iteration: 252; vars: 3722770; clauses: 20796; decisions: 659870
iteration: 253; vars: 3737418; clauses: 29226; decisions: 660458
iteration: 254; vars: 3752066; clauses: 12542; decisions: 661489
iteration: 255; vars: 3766714; clauses: 20972; decisions: 662050
iteration: 256; vars: 3781362; clauses: 29402; decisions: 662612
iteration: 257; vars: 3796010; clauses: 12546; decisions: 663819
iteration: 258; vars: 3810658; clauses: 20780; decisions: 664381
iteration: 259; vars: 3825306; clauses: 29014; decisions: 664944
iteration: 260; vars: 3839954; clauses: 12548; decisions: 665819
iteration: 261; vars: 3854602; clauses: 20782; decisions: 666380
iteration: 262; vars: 3869250; clauses: 29016; decisions: 666975
iteration: 263; vars: 3883898; clauses: 12552; decisions: 668843
iteration: 264; vars: 3898546; clauses: 20810; decisions: 669515
iteration: 265; vars: 3913194; clauses: 29240; decisions: 670103
iteration: 266; vars: 3927842; clauses: 12558; decisions: 671030
iteration: 267; vars: 3942490; clauses: 20988; decisions: 671590
iteration: 268; vars: 3957138; clauses: 29418; decisions: 672152
iteration: 269; vars: 3971786; clauses: 12562; decisions: 672666
iteration: 270; vars: 3986434; clauses: 21434; decisions: 673177
iteration: 271; vars: 4001082; clauses: 30306; decisions: 673690
iteration: 272; vars: 4015730; clauses: 12564; decisions: 674204
iteration: 273; vars: 4030378; clauses: 21436; decisions: 674717
iteration: 274; vars: 4045026; clauses: 30308; decisions: 675249
iteration: 275; vars: 4059674; clauses: 12566; decisions: 681244
iteration: 276; vars: 4074322; clauses: 20824; decisions: 681928
iteration: 277; vars: 4088970; clauses: 28932; decisions: 682498
iteration: 278; vars: 4103618; clauses: 12566; decisions: 683024
iteration: 279; vars: 4118266; clauses: 21390; decisions: 683549
iteration: 280; vars: 4132914; clauses: 30214; decisions: 684075
iteration: 281; vars: 4147562; clauses: 12568; decisions: 684600
iteration: 282; vars: 4162210; clauses: 21392; decisions: 685126
iteration: 283; vars: 4176858; clauses: 30216; decisions: 685639
iteration: 284; vars: 4191506; clauses: 12572; decisions: 686152
iteration: 285; vars: 4206154; clauses: 21444; decisions: 686693
iteration: 286; vars: 4220802; clauses: 30278; decisions: 687234
iteration: 287; vars: 4235450; clauses: 12576; decisions: 687748
iteration: 288; vars: 4250098; clauses: 21448; decisions: 688261
iteration: 289; vars: 4264746; clauses: 30320; decisions: 688775
iteration: 290; vars: 4279394; clauses: 12580; decisions: 689289
iteration: 291; vars: 4294042; clauses: 21452; decisions: 689802
iteration: 292; vars: 4308690; clauses: 30324; decisions: 690316
iteration: 293; vars: 4323338; clauses: 12584; decisions: 690830
iteration: 294; vars: 4337986; clauses: 21456; decisions: 691343
iteration: 295; vars: 4352634; clauses: 30328; decisions: 691857
iteration: 296; vars: 4367282; clauses: 12588; decisions: 692371
iteration: 297; vars: 4381930; clauses: 21460; decisions: 692884
iteration: 298; vars: 4396578; clauses: 30332; decisions: 693398
iteration: 299; vars: 4411226; clauses: 12592; decisions: 693912
