inputs=8 keys=114 outputs=63 gates=1243
iteration: 1; vars: 7508; clauses: 2404; decisions: 330
iteration: 2; vars: 9868; clauses: 3170; decisions: 469
iteration: 3; vars: 12228; clauses: 3860; decisions: 665
iteration: 4; vars: 14588; clauses: 4610; decisions: 870
iteration: 5; vars: 16948; clauses: 2345; decisions: 1013
iteration: 6; vars: 19308; clauses: 3059; decisions: 1217
iteration: 7; vars: 21668; clauses: 3733; decisions: 1336
iteration: 8; vars: 24028; clauses: 4427; decisions: 1473
iteration: 9; vars: 26388; clauses: 5097; decisions: 1572
iteration: 10; vars: 28748; clauses: 5769; decisions: 2106
iteration: 11; vars: 31108; clauses: 6451; decisions: 2239
iteration: 12; vars: 33468; clauses: 7095; decisions: 2301
iteration: 13; vars: 35828; clauses: 7719; decisions: 2359
iteration: 14; vars: 38188; clauses: 8359; decisions: 2488
iteration: 15; vars: 40548; clauses: 8997; decisions: 2855
iteration: 16; vars: 42908; clauses: 9567; decisions: 3080
iteration: 17; vars: 45268; clauses: 10165; decisions: 3513
iteration: 18; vars: 47628; clauses: 10743; decisions: 3532
iteration: 19; vars: 49988; clauses: 11343; decisions: 3551
iteration: 20; vars: 52348; clauses: 11925; decisions: 3571
iteration: 21; vars: 54708; clauses: 12495; decisions: 3590
iteration: 22; vars: 57068; clauses: 13053; decisions: 3609
iteration: 23; vars: 59428; clauses: 13601; decisions: 3638
iteration: 24; vars: 61788; clauses: 14135; decisions: 3655
iteration: 25; vars: 64148; clauses: 2209; decisions: 4073
iteration: 26; vars: 66508; clauses: 2787; decisions: 4094
iteration: 27; vars: 68868; clauses: 3359; decisions: 4105
iteration: 28; vars: 71228; clauses: 3927; decisions: 4127
iteration: 29; vars: 73588; clauses: 4485; decisions: 4140
iteration: 30; vars: 75948; clauses: 5059; decisions: 4157
iteration: 31; vars: 78308; clauses: 5609; decisions: 4172
iteration: 32; vars: 80668; clauses: 6169; decisions: 4187
iteration: 33; vars: 83028; clauses: 6685; decisions: 4202
iteration: 34; vars: 85388; clauses: 7201; decisions: 4216
iteration: 35; vars: 87748; clauses: 7731; decisions: 4244
iteration: 36; vars: 90108; clauses: 8291; decisions: 4262
iteration: 37; vars: 92468; clauses: 8851; decisions: 4281
iteration: 38; vars: 94828; clauses: 2203; decisions: 4298
iteration: 39; vars: 97188; clauses: 2743; decisions: 4314
iteration: 40; vars: 99548; clauses: 3297; decisions: 4332
iteration: 41; vars: 101908; clauses: 3813; decisions: 4351
iteration: 42; vars: 104268; clauses: 4349; decisions: 4372
iteration: 43; vars: 106628; clauses: 4891; decisions: 4392
iteration: 44; vars: 108988; clauses: 5439; decisions: 4410
iteration: 45; vars: 111348; clauses: 6035; decisions: 4427
iteration: 46; vars: 113708; clauses: 6613; decisions: 4445
iteration: 47; vars: 116068; clauses: 7157; decisions: 4463
iteration: 48; vars: 118428; clauses: 7721; decisions: 4479
iteration: 49; vars: 120788; clauses: 8309; decisions: 4495
iteration: 50; vars: 123148; clauses: 8831; decisions: 4514
iteration: 51; vars: 125508; clauses: 2211; decisions: 4530
iteration: 52; vars: 127868; clauses: 2797; decisions: 4547
iteration: 53; vars: 130228; clauses: 3373; decisions: 4589
iteration: 54; vars: 132588; clauses: 3949; decisions: 4621
iteration: 55; vars: 134948; clauses: 4517; decisions: 4657
iteration: 56; vars: 137308; clauses: 5065; decisions: 4674
iteration: 57; vars: 139668; clauses: 5621; decisions: 4692
iteration: 58; vars: 142028; clauses: 6159; decisions: 4708
iteration: 59; vars: 144388; clauses: 6683; decisions: 4726
iteration: 60; vars: 146748; clauses: 7219; decisions: 4744
iteration: 61; vars: 149108; clauses: 7779; decisions: 4761
iteration: 62; vars: 151468; clauses: 8311; decisions: 4778
iteration: 63; vars: 153828; clauses: 8879; decisions: 4793
iteration: 64; vars: 156188; clauses: 2223; decisions: 4813
iteration: 65; vars: 158548; clauses: 2765; decisions: 4828
iteration: 66; vars: 160908; clauses: 3313; decisions: 4842
iteration: 67; vars: 163268; clauses: 3843; decisions: 4858
iteration: 68; vars: 165628; clauses: 4359; decisions: 4873
iteration: 69; vars: 167988; clauses: 4891; decisions: 4889
iteration: 70; vars: 170348; clauses: 5423; decisions: 4903
iteration: 71; vars: 172708; clauses: 5975; decisions: 4918
iteration: 72; vars: 175068; clauses: 6535; decisions: 4932
iteration: 73; vars: 177428; clauses: 7129; decisions: 4947
iteration: 74; vars: 179788; clauses: 7715; decisions: 4963
iteration: 75; vars: 182148; clauses: 8297; decisions: 4978
iteration: 76; vars: 184508; clauses: 8877; decisions: 4994
iteration: 77; vars: 186868; clauses: 2239; decisions: 5017
iteration: 78; vars: 189228; clauses: 2785; decisions: 5034
iteration: 79; vars: 191588; clauses: 3325; decisions: 5050
iteration: 80; vars: 193948; clauses: 3879; decisions: 5068
iteration: 81; vars: 196308; clauses: 4443; decisions: 5085
iteration: 82; vars: 198668; clauses: 4979; decisions: 5102
iteration: 83; vars: 201028; clauses: 5541; decisions: 5118
iteration: 84; vars: 203388; clauses: 6103; decisions: 5134
iteration: 85; vars: 205748; clauses: 6649; decisions: 5151
iteration: 86; vars: 208108; clauses: 7215; decisions: 5168
iteration: 87; vars: 210468; clauses: 7767; decisions: 5185
iteration: 88; vars: 212828; clauses: 8331; decisions: 5201
iteration: 89; vars: 215188; clauses: 8833; decisions: 5217
iteration: 90; vars: 217548; clauses: 2253; decisions: 5230
iteration: 91; vars: 219908; clauses: 2783; decisions: 5245
iteration: 92; vars: 222268; clauses: 3341; decisions: 5259
iteration: 93; vars: 224628; clauses: 3909; decisions: 5274
iteration: 94; vars: 226988; clauses: 4463; decisions: 5288
iteration: 95; vars: 229348; clauses: 5025; decisions: 5304
iteration: 96; vars: 231708; clauses: 5569; decisions: 5319
iteration: 97; vars: 234068; clauses: 6121; decisions: 5334
iteration: 98; vars: 236428; clauses: 6683; decisions: 5349
iteration: 99; vars: 238788; clauses: 7251; decisions: 5365
iteration: 100; vars: 241148; clauses: 7803; decisions: 5381
iteration: 101; vars: 243508; clauses: 8377; decisions: 5395
iteration: 102; vars: 245868; clauses: 8933; decisions: 5410
iteration: 103; vars: 248228; clauses: 2271; decisions: 5427
iteration: 104; vars: 250588; clauses: 2833; decisions: 5440
iteration: 105; vars: 252948; clauses: 3415; decisions: 5454
iteration: 106; vars: 255308; clauses: 3961; decisions: 5469
iteration: 107; vars: 257668; clauses: 4503; decisions: 5482
iteration: 108; vars: 260028; clauses: 5075; decisions: 5499
iteration: 109; vars: 262388; clauses: 5611; decisions: 5512
iteration: 110; vars: 264748; clauses: 6163; decisions: 5528
iteration: 111; vars: 267108; clauses: 6713; decisions: 5544
iteration: 112; vars: 269468; clauses: 7289; decisions: 5561
iteration: 113; vars: 271828; clauses: 7903; decisions: 5577
iteration: 114; vars: 274188; clauses: 8467; decisions: 5594
iteration: 115; vars: 276548; clauses: 9039; decisions: 5611
iteration: 116; vars: 278908; clauses: 2281; decisions: 5626
iteration: 117; vars: 281268; clauses: 2895; decisions: 5642
iteration: 118; vars: 283628; clauses: 3523; decisions: 5660
iteration: 119; vars: 285988; clauses: 4115; decisions: 5673
iteration: 120; vars: 288348; clauses: 4707; decisions: 5688
iteration: 121; vars: 290708; clauses: 5247; decisions: 5703
iteration: 122; vars: 293068; clauses: 5803; decisions: 5719
iteration: 123; vars: 295428; clauses: 6327; decisions: 5736
iteration: 124; vars: 297788; clauses: 6865; decisions: 5752
iteration: 125; vars: 300148; clauses: 7423; decisions: 5770
iteration: 126; vars: 302508; clauses: 7957; decisions: 5784
iteration: 127; vars: 304868; clauses: 8495; decisions: 5796
iteration: 128; vars: 307228; clauses: 9017; decisions: 5811
iteration: 129; vars: 309588; clauses: 2295; decisions: 5827
iteration: 130; vars: 311948; clauses: 2875; decisions: 5842
iteration: 131; vars: 314308; clauses: 3387; decisions: 5858
iteration: 132; vars: 316668; clauses: 3937; decisions: 5873
iteration: 133; vars: 319028; clauses: 4449; decisions: 5887
iteration: 134; vars: 321388; clauses: 4991; decisions: 5902
iteration: 135; vars: 323748; clauses: 5525; decisions: 5918
iteration: 136; vars: 326108; clauses: 6027; decisions: 5932
iteration: 137; vars: 328468; clauses: 6599; decisions: 5948
iteration: 138; vars: 330828; clauses: 7131; decisions: 5963
iteration: 139; vars: 333188; clauses: 7681; decisions: 5979
iteration: 140; vars: 335548; clauses: 8235; decisions: 5995
iteration: 141; vars: 337908; clauses: 8773; decisions: 6010
iteration: 142; vars: 340268; clauses: 2310; decisions: 6025
iteration: 143; vars: 342628; clauses: 2830; decisions: 6040
iteration: 144; vars: 344988; clauses: 3360; decisions: 6055
iteration: 145; vars: 347348; clauses: 3910; decisions: 6071
iteration: 146; vars: 349708; clauses: 4444; decisions: 6085
iteration: 147; vars: 352068; clauses: 5004; decisions: 6101
iteration: 148; vars: 354428; clauses: 5566; decisions: 6116
iteration: 149; vars: 356788; clauses: 6122; decisions: 6133
iteration: 150; vars: 359148; clauses: 6662; decisions: 6147
iteration: 151; vars: 361508; clauses: 7212; decisions: 6163
iteration: 152; vars: 363868; clauses: 7770; decisions: 6177
iteration: 153; vars: 366228; clauses: 8286; decisions: 6191
iteration: 154; vars: 368588; clauses: 8852; decisions: 6204
iteration: 155; vars: 370948; clauses: 2327; decisions: 6218
iteration: 156; vars: 373308; clauses: 2811; decisions: 6233
iteration: 157; vars: 375668; clauses: 3333; decisions: 6247
iteration: 158; vars: 378028; clauses: 3919; decisions: 6261
iteration: 159; vars: 380388; clauses: 4423; decisions: 6274
iteration: 160; vars: 382748; clauses: 4941; decisions: 6286
iteration: 161; vars: 385108; clauses: 5441; decisions: 6300
iteration: 162; vars: 387468; clauses: 6001; decisions: 6315
iteration: 163; vars: 389828; clauses: 6559; decisions: 6331
iteration: 164; vars: 392188; clauses: 7087; decisions: 6345
iteration: 165; vars: 394548; clauses: 7633; decisions: 6360
iteration: 166; vars: 396908; clauses: 8209; decisions: 6374
iteration: 167; vars: 399268; clauses: 8793; decisions: 6390
iteration: 168; vars: 401628; clauses: 2343; decisions: 6406
