inputs=199 keys=275 outputs=67 gates=1736
iteration: 1; vars: 10967; clauses: 5751; decisions: 25138
iteration: 2; vars: 14305; clauses: 9077; decisions: 25548
iteration: 3; vars: 17643; clauses: 12017; decisions: 25954
iteration: 4; vars: 20981; clauses: 14957; decisions: 26362
iteration: 5; vars: 24319; clauses: 4379; decisions: 30801
iteration: 6; vars: 27657; clauses: 6839; decisions: 45144
iteration: 7; vars: 30995; clauses: 9667; decisions: 45541
iteration: 8; vars: 34333; clauses: 4201; decisions: 47268
iteration: 9; vars: 37671; clauses: 7117; decisions: 47668
iteration: 10; vars: 41009; clauses: 10033; decisions: 48069
iteration: 11; vars: 44347; clauses: 4205; decisions: 49254
iteration: 12; vars: 47685; clauses: 7143; decisions: 49653
iteration: 13; vars: 51023; clauses: 10081; decisions: 50054
iteration: 14; vars: 54361; clauses: 4209; decisions: 50883
iteration: 15; vars: 57699; clauses: 7147; decisions: 51281
iteration: 16; vars: 61037; clauses: 10085; decisions: 51681
iteration: 17; vars: 64375; clauses: 4213; decisions: 52529
iteration: 18; vars: 67713; clauses: 7151; decisions: 52927
iteration: 19; vars: 71051; clauses: 10089; decisions: 53336
iteration: 20; vars: 74389; clauses: 4217; decisions: 67666
iteration: 21; vars: 77727; clauses: 7115; decisions: 68084
iteration: 22; vars: 81065; clauses: 10013; decisions: 68502
iteration: 23; vars: 84403; clauses: 4221; decisions: 69774
iteration: 24; vars: 87741; clauses: 7137; decisions: 70173
iteration: 25; vars: 91079; clauses: 10053; decisions: 70574
iteration: 26; vars: 94417; clauses: 4225; decisions: 71396
iteration: 27; vars: 97755; clauses: 7075; decisions: 71795
iteration: 28; vars: 101093; clauses: 9925; decisions: 72196
iteration: 29; vars: 104431; clauses: 4229; decisions: 72962
iteration: 30; vars: 107769; clauses: 7079; decisions: 73361
iteration: 31; vars: 111107; clauses: 9929; decisions: 73765
iteration: 32; vars: 114445; clauses: 4233; decisions: 74166
iteration: 33; vars: 117783; clauses: 6683; decisions: 74566
iteration: 34; vars: 121121; clauses: 9133; decisions: 74967
iteration: 35; vars: 124459; clauses: 4237; decisions: 75368
iteration: 36; vars: 127797; clauses: 6687; decisions: 75768
iteration: 37; vars: 131135; clauses: 9137; decisions: 76169
iteration: 38; vars: 134473; clauses: 4241; decisions: 76570
iteration: 39; vars: 137811; clauses: 6691; decisions: 76970
iteration: 40; vars: 141149; clauses: 9141; decisions: 77372
iteration: 41; vars: 144487; clauses: 4245; decisions: 77773
iteration: 42; vars: 147825; clauses: 6695; decisions: 78173
iteration: 43; vars: 151163; clauses: 9145; decisions: 78575
iteration: 44; vars: 154501; clauses: 4249; decisions: 78976
iteration: 45; vars: 157839; clauses: 6699; decisions: 79376
iteration: 46; vars: 161177; clauses: 9149; decisions: 79778
iteration: 47; vars: 164515; clauses: 4253; decisions: 80179
iteration: 48; vars: 167853; clauses: 6703; decisions: 80579
iteration: 49; vars: 171191; clauses: 9153; decisions: 80981
iteration: 50; vars: 174529; clauses: 4257; decisions: 81382
iteration: 51; vars: 177867; clauses: 6707; decisions: 81782
iteration: 52; vars: 181205; clauses: 9157; decisions: 82184
iteration: 53; vars: 184543; clauses: 4261; decisions: 82585
iteration: 54; vars: 187881; clauses: 6711; decisions: 82985
iteration: 55; vars: 191219; clauses: 9161; decisions: 83387
iteration: 56; vars: 194557; clauses: 4265; decisions: 83788
iteration: 57; vars: 197895; clauses: 6715; decisions: 84188
iteration: 58; vars: 201233; clauses: 9165; decisions: 84590
iteration: 59; vars: 204571; clauses: 4269; decisions: 84991
iteration: 60; vars: 207909; clauses: 6719; decisions: 85391
iteration: 61; vars: 211247; clauses: 9169; decisions: 85792
iteration: 62; vars: 214585; clauses: 4273; decisions: 86909
iteration: 63; vars: 217923; clauses: 7123; decisions: 87308
iteration: 64; vars: 221261; clauses: 9973; decisions: 87709
iteration: 65; vars: 224599; clauses: 4277; decisions: 88475
iteration: 66; vars: 227937; clauses: 7127; decisions: 88874
iteration: 67; vars: 231275; clauses: 9977; decisions: 89312
iteration: 68; vars: 234613; clauses: 4281; decisions: 90063
iteration: 69; vars: 237951; clauses: 7131; decisions: 90462
iteration: 70; vars: 241289; clauses: 9981; decisions: 90863
iteration: 71; vars: 244627; clauses: 4285; decisions: 91629
iteration: 72; vars: 247965; clauses: 7135; decisions: 92033
iteration: 73; vars: 251303; clauses: 9659; decisions: 92437
iteration: 74; vars: 254641; clauses: 4289; decisions: 92838
iteration: 75; vars: 257979; clauses: 6739; decisions: 93238
iteration: 76; vars: 261317; clauses: 9189; decisions: 93639
iteration: 77; vars: 264655; clauses: 4293; decisions: 94040
iteration: 78; vars: 267993; clauses: 6743; decisions: 94440
iteration: 79; vars: 271331; clauses: 9193; decisions: 94841
iteration: 80; vars: 274669; clauses: 4297; decisions: 95242
iteration: 81; vars: 278007; clauses: 6747; decisions: 95642
iteration: 82; vars: 281345; clauses: 9197; decisions: 96043
iteration: 83; vars: 284683; clauses: 4301; decisions: 96444
iteration: 84; vars: 288021; clauses: 6751; decisions: 96844
iteration: 85; vars: 291359; clauses: 9201; decisions: 97250
iteration: 86; vars: 294697; clauses: 4305; decisions: 97651
iteration: 87; vars: 298035; clauses: 6755; decisions: 98051
iteration: 88; vars: 301373; clauses: 9205; decisions: 98453
iteration: 89; vars: 304711; clauses: 4309; decisions: 98854
iteration: 90; vars: 308049; clauses: 6759; decisions: 99254
iteration: 91; vars: 311387; clauses: 9209; decisions: 99656
iteration: 92; vars: 314725; clauses: 4313; decisions: 100057
iteration: 93; vars: 318063; clauses: 6763; decisions: 100457
iteration: 94; vars: 321401; clauses: 9213; decisions: 100881
iteration: 95; vars: 324739; clauses: 4317; decisions: 101282
iteration: 96; vars: 328077; clauses: 6767; decisions: 101682
iteration: 97; vars: 331415; clauses: 9217; decisions: 102084
iteration: 98; vars: 334753; clauses: 4321; decisions: 102485
iteration: 99; vars: 338091; clauses: 6771; decisions: 102885
iteration: 100; vars: 341429; clauses: 9221; decisions: 103291
iteration: 101; vars: 344767; clauses: 4325; decisions: 103692
iteration: 102; vars: 348105; clauses: 6775; decisions: 104092
iteration: 103; vars: 351443; clauses: 9225; decisions: 104494
iteration: 104; vars: 354781; clauses: 4329; decisions: 105611
iteration: 105; vars: 358119; clauses: 7179; decisions: 106010
iteration: 106; vars: 361457; clauses: 10029; decisions: 106410
iteration: 107; vars: 364795; clauses: 4333; decisions: 107176
iteration: 108; vars: 368133; clauses: 7183; decisions: 107575
iteration: 109; vars: 371471; clauses: 10033; decisions: 107998
iteration: 110; vars: 374809; clauses: 4337; decisions: 108749
iteration: 111; vars: 378147; clauses: 7187; decisions: 109148
iteration: 112; vars: 381485; clauses: 10037; decisions: 109549
iteration: 113; vars: 384823; clauses: 4341; decisions: 110315
iteration: 114; vars: 388161; clauses: 7191; decisions: 110719
iteration: 115; vars: 391499; clauses: 9715; decisions: 111123
iteration: 116; vars: 394837; clauses: 4345; decisions: 111524
iteration: 117; vars: 398175; clauses: 6795; decisions: 111924
iteration: 118; vars: 401513; clauses: 9245; decisions: 112326
iteration: 119; vars: 404851; clauses: 4349; decisions: 112727
iteration: 120; vars: 408189; clauses: 6799; decisions: 113127
iteration: 121; vars: 411527; clauses: 9249; decisions: 113530
iteration: 122; vars: 414865; clauses: 4353; decisions: 113931
iteration: 123; vars: 418203; clauses: 6803; decisions: 114331
iteration: 124; vars: 421541; clauses: 9253; decisions: 114733
iteration: 125; vars: 424879; clauses: 4357; decisions: 115134
iteration: 126; vars: 428217; clauses: 6807; decisions: 115534
iteration: 127; vars: 431555; clauses: 9257; decisions: 115936
iteration: 128; vars: 434893; clauses: 4361; decisions: 116337
iteration: 129; vars: 438231; clauses: 6811; decisions: 116737
iteration: 130; vars: 441569; clauses: 9261; decisions: 117139
iteration: 131; vars: 444907; clauses: 4365; decisions: 117539
iteration: 132; vars: 448245; clauses: 6815; decisions: 117938
iteration: 133; vars: 451583; clauses: 9265; decisions: 118339
iteration: 134; vars: 454921; clauses: 4369; decisions: 118740
iteration: 135; vars: 458259; clauses: 6819; decisions: 119140
iteration: 136; vars: 461597; clauses: 9269; decisions: 119542
iteration: 137; vars: 464935; clauses: 4373; decisions: 119943
iteration: 138; vars: 468273; clauses: 6823; decisions: 120343
iteration: 139; vars: 471611; clauses: 9273; decisions: 120745
iteration: 140; vars: 474949; clauses: 4377; decisions: 121146
iteration: 141; vars: 478287; clauses: 6827; decisions: 121546
iteration: 142; vars: 481625; clauses: 9277; decisions: 121948
iteration: 143; vars: 484963; clauses: 4381; decisions: 122348
iteration: 144; vars: 488301; clauses: 6831; decisions: 122747
iteration: 145; vars: 491639; clauses: 9281; decisions: 123147
iteration: 146; vars: 494977; clauses: 4385; decisions: 124266
iteration: 147; vars: 498315; clauses: 7235; decisions: 124665
iteration: 148; vars: 501653; clauses: 10085; decisions: 125066
iteration: 149; vars: 504991; clauses: 4389; decisions: 125832
iteration: 150; vars: 508329; clauses: 7239; decisions: 126231
iteration: 151; vars: 511667; clauses: 10089; decisions: 126631
iteration: 152; vars: 515005; clauses: 4393; decisions: 127382
iteration: 153; vars: 518343; clauses: 7243; decisions: 127781
iteration: 154; vars: 521681; clauses: 10093; decisions: 128181
iteration: 155; vars: 525019; clauses: 4397; decisions: 128947
iteration: 156; vars: 528357; clauses: 7247; decisions: 129346
iteration: 157; vars: 531695; clauses: 9771; decisions: 129745
iteration: 158; vars: 535033; clauses: 4401; decisions: 130145
iteration: 159; vars: 538371; clauses: 6851; decisions: 130544
iteration: 160; vars: 541709; clauses: 9301; decisions: 130944
iteration: 161; vars: 545047; clauses: 4405; decisions: 131345
iteration: 162; vars: 548385; clauses: 6855; decisions: 131745
iteration: 163; vars: 551723; clauses: 9305; decisions: 132146
iteration: 164; vars: 555061; clauses: 4409; decisions: 132546
iteration: 165; vars: 558399; clauses: 6859; decisions: 132945
iteration: 166; vars: 561737; clauses: 9309; decisions: 133345
iteration: 167; vars: 565075; clauses: 4413; decisions: 133746
iteration: 168; vars: 568413; clauses: 6863; decisions: 134146
iteration: 169; vars: 571751; clauses: 9313; decisions: 134547
iteration: 170; vars: 575089; clauses: 4417; decisions: 134947
iteration: 171; vars: 578427; clauses: 6867; decisions: 135346
iteration: 172; vars: 581765; clauses: 9317; decisions: 135746
iteration: 173; vars: 585103; clauses: 4421; decisions: 136147
iteration: 174; vars: 588441; clauses: 6871; decisions: 136547
iteration: 175; vars: 591779; clauses: 9321; decisions: 136948
iteration: 176; vars: 595117; clauses: 4425; decisions: 137348
iteration: 177; vars: 598455; clauses: 6875; decisions: 137747
iteration: 178; vars: 601793; clauses: 9325; decisions: 138147
iteration: 179; vars: 605131; clauses: 4429; decisions: 138548
iteration: 180; vars: 608469; clauses: 6879; decisions: 138948
