inputs=46 keys=232 outputs=45 gates=2141
iteration: 1; vars: 13206; clauses: 3751; decisions: 374
iteration: 2; vars: 17392; clauses: 7629; decisions: 1980
iteration: 3; vars: 21578; clauses: 11431; decisions: 2066
iteration: 4; vars: 25764; clauses: 15233; decisions: 2154
iteration: 5; vars: 29950; clauses: 19035; decisions: 2241
iteration: 6; vars: 34136; clauses: 3643; decisions: 2931
iteration: 7; vars: 38322; clauses: 7253; decisions: 3059
iteration: 8; vars: 42508; clauses: 10959; decisions: 3158
iteration: 9; vars: 46694; clauses: 14665; decisions: 3259
iteration: 10; vars: 50880; clauses: 18371; decisions: 3353
iteration: 11; vars: 55066; clauses: 3645; decisions: 3873
iteration: 12; vars: 59252; clauses: 7511; decisions: 3960
iteration: 13; vars: 63438; clauses: 11377; decisions: 4048
iteration: 14; vars: 67624; clauses: 15243; decisions: 4141
iteration: 15; vars: 71810; clauses: 19109; decisions: 4235
iteration: 16; vars: 75996; clauses: 3648; decisions: 4364
iteration: 17; vars: 80182; clauses: 7556; decisions: 4481
iteration: 18; vars: 84368; clauses: 11228; decisions: 4583
iteration: 19; vars: 88554; clauses: 15030; decisions: 4684
iteration: 20; vars: 92740; clauses: 18832; decisions: 4788
iteration: 21; vars: 96926; clauses: 3655; decisions: 4888
iteration: 22; vars: 101112; clauses: 7327; decisions: 4986
iteration: 23; vars: 105298; clauses: 10999; decisions: 5088
iteration: 24; vars: 109484; clauses: 14671; decisions: 5195
iteration: 25; vars: 113670; clauses: 18351; decisions: 5303
iteration: 26; vars: 117856; clauses: 3661; decisions: 5401
iteration: 27; vars: 122042; clauses: 7333; decisions: 5515
iteration: 28; vars: 126228; clauses: 11005; decisions: 5604
iteration: 29; vars: 130414; clauses: 14773; decisions: 5691
iteration: 30; vars: 134600; clauses: 18533; decisions: 5777
iteration: 31; vars: 138786; clauses: 3669; decisions: 5865
iteration: 32; vars: 142972; clauses: 7415; decisions: 5952
iteration: 33; vars: 147158; clauses: 11161; decisions: 6040
iteration: 34; vars: 151344; clauses: 14907; decisions: 6134
iteration: 35; vars: 155530; clauses: 18671; decisions: 6221
iteration: 36; vars: 159716; clauses: 3675; decisions: 6309
iteration: 37; vars: 163902; clauses: 7421; decisions: 6396
iteration: 38; vars: 168088; clauses: 11167; decisions: 6484
iteration: 39; vars: 172274; clauses: 14913; decisions: 6587
iteration: 40; vars: 176460; clauses: 18577; decisions: 6677
iteration: 41; vars: 180646; clauses: 3685; decisions: 6766
iteration: 42; vars: 184832; clauses: 7431; decisions: 6854
iteration: 43; vars: 189018; clauses: 11177; decisions: 6943
iteration: 44; vars: 193204; clauses: 14923; decisions: 7033
iteration: 45; vars: 197390; clauses: 18669; decisions: 7122
iteration: 46; vars: 201576; clauses: 3691; decisions: 7211
iteration: 47; vars: 205762; clauses: 7437; decisions: 7299
iteration: 48; vars: 209948; clauses: 11183; decisions: 7388
iteration: 49; vars: 214134; clauses: 14929; decisions: 7485
iteration: 50; vars: 218320; clauses: 18681; decisions: 7575
iteration: 51; vars: 222506; clauses: 3697; decisions: 7664
iteration: 52; vars: 226692; clauses: 7443; decisions: 7752
iteration: 53; vars: 230878; clauses: 11189; decisions: 7841
iteration: 54; vars: 235064; clauses: 14935; decisions: 7930
iteration: 55; vars: 239250; clauses: 18599; decisions: 8020
iteration: 56; vars: 243436; clauses: 3703; decisions: 8110
iteration: 57; vars: 247622; clauses: 7375; decisions: 8199
iteration: 58; vars: 251808; clauses: 11047; decisions: 8289
iteration: 59; vars: 255994; clauses: 14719; decisions: 8382
iteration: 60; vars: 260180; clauses: 18383; decisions: 8476
iteration: 61; vars: 264366; clauses: 3709; decisions: 8566
iteration: 62; vars: 268552; clauses: 7373; decisions: 8655
iteration: 63; vars: 272738; clauses: 11037; decisions: 8745
iteration: 64; vars: 276924; clauses: 14701; decisions: 8840
iteration: 65; vars: 281110; clauses: 18349; decisions: 8932
iteration: 66; vars: 285296; clauses: 3715; decisions: 9022
iteration: 67; vars: 289482; clauses: 7387; decisions: 9111
iteration: 68; vars: 293668; clauses: 11059; decisions: 9201
iteration: 69; vars: 297854; clauses: 14731; decisions: 9296
iteration: 70; vars: 302040; clauses: 18387; decisions: 9388
iteration: 71; vars: 306226; clauses: 3721; decisions: 9477
iteration: 72; vars: 310412; clauses: 7393; decisions: 9567
iteration: 73; vars: 314598; clauses: 11073; decisions: 9660
iteration: 74; vars: 318784; clauses: 14745; decisions: 9752
iteration: 75; vars: 322970; clauses: 18417; decisions: 9845
iteration: 76; vars: 327156; clauses: 3729; decisions: 9938
iteration: 77; vars: 331342; clauses: 7435; decisions: 10030
iteration: 78; vars: 335528; clauses: 11141; decisions: 10123
iteration: 79; vars: 339714; clauses: 14897; decisions: 10216
iteration: 80; vars: 343900; clauses: 18653; decisions: 10308
iteration: 81; vars: 348086; clauses: 3735; decisions: 10401
iteration: 82; vars: 352272; clauses: 7491; decisions: 10493
iteration: 83; vars: 356458; clauses: 11195; decisions: 10586
iteration: 84; vars: 360644; clauses: 14949; decisions: 10679
iteration: 85; vars: 364830; clauses: 18873; decisions: 10771
iteration: 86; vars: 369016; clauses: 3743; decisions: 10864
iteration: 87; vars: 373202; clauses: 7667; decisions: 10956
iteration: 88; vars: 377388; clauses: 11591; decisions: 11049
iteration: 89; vars: 381574; clauses: 15515; decisions: 11142
iteration: 90; vars: 385760; clauses: 19439; decisions: 11234
iteration: 91; vars: 389946; clauses: 3749; decisions: 11327
iteration: 92; vars: 394132; clauses: 7673; decisions: 11419
