inputs=41 keys=397 outputs=35 gates=3995
iteration: 1; vars: 24703; clauses: 6403; decisions: 1227
iteration: 2; vars: 32623; clauses: 11179; decisions: 2350
iteration: 3; vars: 40543; clauses: 15849; decisions: 3333
iteration: 4; vars: 48463; clauses: 5434; decisions: 3844
iteration: 5; vars: 56383; clauses: 10046; decisions: 4094
iteration: 6; vars: 64303; clauses: 5201; decisions: 4319
iteration: 7; vars: 72223; clauses: 8477; decisions: 4481
iteration: 8; vars: 80143; clauses: 5146; decisions: 4694
iteration: 9; vars: 88063; clauses: 8550; decisions: 4972
iteration: 10; vars: 95983; clauses: 5135; decisions: 5324
iteration: 11; vars: 103903; clauses: 9591; decisions: 5700
iteration: 12; vars: 111823; clauses: 13673; decisions: 6334
iteration: 13; vars: 119743; clauses: 4960; decisions: 6503
iteration: 14; vars: 127663; clauses: 8978; decisions: 6651
iteration: 15; vars: 135583; clauses: 12996; decisions: 6802
iteration: 16; vars: 143503; clauses: 4958; decisions: 6989
iteration: 17; vars: 151423; clauses: 8714; decisions: 7219
iteration: 18; vars: 159343; clauses: 12470; decisions: 7365
iteration: 19; vars: 167263; clauses: 4962; decisions: 7583
iteration: 20; vars: 175183; clauses: 9068; decisions: 7728
iteration: 21; vars: 183103; clauses: 12348; decisions: 7868
iteration: 22; vars: 191023; clauses: 4956; decisions: 8023
iteration: 23; vars: 198943; clauses: 8704; decisions: 8151
iteration: 24; vars: 206863; clauses: 12556; decisions: 8334
iteration: 25; vars: 214783; clauses: 4943; decisions: 8721
iteration: 26; vars: 222703; clauses: 9269; decisions: 8926
iteration: 27; vars: 230623; clauses: 13317; decisions: 9127
iteration: 28; vars: 238543; clauses: 17121; decisions: 9447
iteration: 29; vars: 246463; clauses: 4933; decisions: 10594
iteration: 30; vars: 254383; clauses: 8751; decisions: 11319
iteration: 31; vars: 262303; clauses: 12713; decisions: 11547
iteration: 32; vars: 270223; clauses: 16813; decisions: 12943
iteration: 33; vars: 278143; clauses: 20817; decisions: 13207
iteration: 34; vars: 286063; clauses: 4914; decisions: 13923
iteration: 35; vars: 293983; clauses: 8946; decisions: 14210
iteration: 36; vars: 301903; clauses: 12728; decisions: 14885
iteration: 37; vars: 309823; clauses: 16370; decisions: 15727
iteration: 38; vars: 317743; clauses: 19840; decisions: 15815
iteration: 39; vars: 325663; clauses: 23302; decisions: 15929
iteration: 40; vars: 333583; clauses: 4903; decisions: 18310
iteration: 41; vars: 341503; clauses: 8353; decisions: 18384
iteration: 42; vars: 349423; clauses: 11795; decisions: 18459
iteration: 43; vars: 357343; clauses: 15237; decisions: 18575
iteration: 44; vars: 365263; clauses: 18775; decisions: 18660
iteration: 45; vars: 373183; clauses: 22143; decisions: 18745
iteration: 46; vars: 381103; clauses: 4911; decisions: 18843
iteration: 47; vars: 389023; clauses: 8879; decisions: 18935
iteration: 48; vars: 396943; clauses: 12847; decisions: 19028
iteration: 49; vars: 404863; clauses: 16763; decisions: 19112
iteration: 50; vars: 412783; clauses: 20679; decisions: 19197
iteration: 51; vars: 420703; clauses: 24595; decisions: 19281
iteration: 52; vars: 428623; clauses: 4917; decisions: 19369
iteration: 53; vars: 436543; clauses: 8885; decisions: 19455
iteration: 54; vars: 444463; clauses: 12853; decisions: 19550
iteration: 55; vars: 452383; clauses: 16193; decisions: 19632
iteration: 56; vars: 460303; clauses: 19589; decisions: 19713
iteration: 57; vars: 468223; clauses: 22985; decisions: 19795
iteration: 58; vars: 476143; clauses: 4925; decisions: 19874
iteration: 59; vars: 484063; clauses: 8329; decisions: 19952
iteration: 60; vars: 491983; clauses: 11733; decisions: 20031
iteration: 61; vars: 499903; clauses: 15137; decisions: 20118
iteration: 62; vars: 507823; clauses: 18995; decisions: 20197
iteration: 63; vars: 515743; clauses: 22853; decisions: 20277
iteration: 64; vars: 523663; clauses: 4933; decisions: 20357
iteration: 65; vars: 531583; clauses: 8783; decisions: 20440
iteration: 66; vars: 539503; clauses: 12633; decisions: 20528
iteration: 67; vars: 547423; clauses: 16595; decisions: 20613
iteration: 68; vars: 555343; clauses: 20563; decisions: 20697
iteration: 69; vars: 563263; clauses: 24531; decisions: 20782
