benchmark,#input,#keys,#outputs,#gates,#iteration,cpu_time
apex2_enc05,39,32,3,642,5,0.05
apex2_enc10,39,65,3,675,16,0.19
apex2_enc25,39,162,3,772,32,1.41
apex2_enc50,39,325,3,935,87,12.83
apex4_enc05,10,269,19,5628,12,1.30
apex4_enc10,10,537,19,5896,12,2.28
apex4_enc25,10,1343,19,6702,27,18.30
apex4_enc50,10,2685,19,8044,58,44.41
c1355_enc05,41,29,32,575,5,0.11
c1355_enc10,41,59,32,605,6,0.14
c1355_enc25,41,147,32,693,7,0.17
c1355_enc50,41,294,32,840,73,5.12
c1908_enc05,33,46,25,734,5,0.16
c1908_enc10,33,91,25,790,9,0.23
c1908_enc25,33,228,25,929,10,0.58
c1908_enc50,33,457,25,1163,20,4.27
c2670_enc05,233,71,140,1038,7,0.16
c2670_enc10,233,143,140,1130,12,0.39
c2670_enc25,233,357,140,1344,23,0.72
c2670_enc50,233,713,140,1716,44,2.61
c3540_enc05,50,86,22,1502,7,1.00
c3540_enc10,50,172,22,1588,12,0.95
c3540_enc25,50,430,22,1861,24,19.28
c3540_enc50,50,860,22,2302,35,6592.20
c432_enc05,36,10,7,170,5,0.03
c432_enc10,36,20,7,180,3,0.03
c432_enc25,36,49,7,209,5,0.05
c432_enc50,36,98,7,258,15,0.17
c499_enc05,41,12,32,214,3,0.05
c499_enc10,41,24,32,226,3,0.06
c499_enc25,41,61,32,263,5,0.08
c499_enc50,41,122,32,324,19,0.16
c5315_enc05,178,124,123,2113,11,1.11
c5315_enc10,178,249,123,2238,11,0.94
c5315_enc25,178,621,123,2617,17,2.64
c5315_enc50,178,1243,123,3250,43,18.75
c7552_enc05,207,186,108,3191,8,0.92
c7552_enc10,207,372,108,3379,12,1.61
c7552_enc25,207,930,108,3938,20,3.91
c7552_enc50,207,1860,108,4880,-,> 2h
c880_enc05,60,22,26,385,5,0.09
c880_enc10,60,44,26,410,7,0.09
c880_enc25,60,111,26,482,13,0.19
c880_enc50,60,222,26,600,14,1.03
dalu_enc05,75,119,16,2417,10,0.58
dalu_enc10,75,237,16,2535,21,2.70
dalu_enc25,75,593,16,2891,25,7.47
dalu_enc50,75,1187,16,3485,35,106.78
des_enc05,256,336,245,6809,12,2.48
des_enc10,256,673,245,7146,7,2.22
des_enc25,256,1682,245,8155,17,13.41
des_enc50,256,3365,245,9838,19,162.80
ex1010_enc05,10,254,10,5320,7,1.38
ex1010_enc10,10,508,10,5574,10,1.92
ex1010_enc25,10,1269,10,6335,33,5.23
ex1010_enc50,10,2538,10,7604,92,68.86
ex5_enc05,8,53,63,1108,12,0.16
ex5_enc10,8,106,63,1161,8,0.12
ex5_enc25,8,266,63,1321,8,0.14
ex5_enc50,8,532,63,1587,24,0.91
execution_log,i4_enc05,192,27,6,365,5,0.02
i4_enc10,192,53,6,391,4,0.02
i4_enc25,192,133,6,471,24,0.12
i4_enc50,192,265,6,603,51,0.69
i7_enc05,199,76,67,1391,7,0.17
i7_enc10,199,151,67,1466,5,0.19
i7_enc25,199,379,67,1694,5,0.20
i7_enc50,199,757,67,2072,6,0.36
i8_enc05,133,130,81,2594,13,0.94
i8_enc10,133,260,81,2724,14,0.88
i8_enc25,133,649,81,3113,17,1.38
i8_enc50,133,1299,81,3763,17,2.03
i9_enc05,88,56,63,1091,8,0.17
i9_enc10,88,112,63,1147,14,0.39
i9_enc25,88,281,63,1316,16,1.02
i9_enc50,88,562,63,1597,17,1.78
k2_enc05,46,93,45,1907,2,0.22
k2_enc10,46,186,45,2000,4,0.27
k2_enc25,46,465,45,2279,4,0.31
k2_enc50,46,931,45,2745,12,0.62
seq_enc05,41,178,35,3697,11,0.92
seq_enc10,41,356,35,3875,13,1.16
seq_enc25,41,890,35,4409,35,4.62
seq_enc50,41,1780,35,5299,74,17.20
