inputs=10 keys=2685 outputs=19 gates=8044
iteration: 1; vars: 53590; clauses: 39012; decisions: 192129
iteration: 2; vars: 69640; clauses: 56182; decisions: 2688348
iteration: 3; vars: 85690; clauses: 61740; decisions: 2943238
iteration: 4; vars: 101740; clauses: 77864; decisions: 4482540
iteration: 5; vars: 117790; clauses: 83333; decisions: 5335425
iteration: 6; vars: 133840; clauses: 94236; decisions: 5665392
iteration: 7; vars: 149890; clauses: 100691; decisions: 5920523
iteration: 8; vars: 165940; clauses: 106519; decisions: 6641427
iteration: 9; vars: 181990; clauses: 120967; decisions: 7041981
iteration: 10; vars: 198040; clauses: 169368; decisions: 7613520
iteration: 11; vars: 214090; clauses: 142567; decisions: 8132219
iteration: 12; vars: 230140; clauses: 190962; decisions: 8229399
iteration: 13; vars: 246190; clauses: 143859; decisions: 8285643
iteration: 14; vars: 262240; clauses: 192254; decisions: 8487241
iteration: 15; vars: 278290; clauses: 109485; decisions: 8697418
iteration: 16; vars: 294340; clauses: 89763; decisions: 8732361
iteration: 17; vars: 310390; clauses: 137871; decisions: 8740749
iteration: 18; vars: 326440; clauses: 75195; decisions: 8748669
iteration: 19; vars: 342490; clauses: 72182; decisions: 8752894
iteration: 20; vars: 358540; clauses: 60155; decisions: 8754027
iteration: 21; vars: 374590; clauses: 58050; decisions: 8755071
iteration: 22; vars: 390640; clauses: 55686; decisions: 8757754
iteration: 23; vars: 406690; clauses: 54217; decisions: 8761124
iteration: 24; vars: 422740; clauses: 97330; decisions: 8761892
iteration: 25; vars: 438790; clauses: 34139; decisions: 8763817
iteration: 26; vars: 454840; clauses: 32221; decisions: 8766454
iteration: 27; vars: 470890; clauses: 71239; decisions: 8767899
iteration: 28; vars: 486940; clauses: 110145; decisions: 8769072
iteration: 29; vars: 502990; clauses: 148999; decisions: 8769992
iteration: 30; vars: 519040; clauses: 187761; decisions: 8771078
iteration: 31; vars: 535090; clauses: 10798; decisions: 8771590
iteration: 32; vars: 551140; clauses: 9982; decisions: 8772029
iteration: 33; vars: 567190; clauses: 9943; decisions: 8772605
iteration: 34; vars: 583240; clauses: 48581; decisions: 8773904
iteration: 35; vars: 599290; clauses: 9611; decisions: 8774190
iteration: 36; vars: 615340; clauses: 48017; decisions: 8774619
iteration: 37; vars: 631390; clauses: 9187; decisions: 8774899
iteration: 38; vars: 647440; clauses: 47487; decisions: 8775130
iteration: 39; vars: 663490; clauses: 9081; decisions: 8775339
iteration: 40; vars: 679540; clauses: 47297; decisions: 8775533
iteration: 41; vars: 695590; clauses: 85509; decisions: 8775709
iteration: 42; vars: 711640; clauses: 8927; decisions: 8775852
iteration: 43; vars: 727690; clauses: 47031; decisions: 8776015
iteration: 44; vars: 743740; clauses: 85089; decisions: 8776154
iteration: 45; vars: 759790; clauses: 8817; decisions: 8776507
iteration: 46; vars: 775840; clauses: 46865; decisions: 8776656
iteration: 47; vars: 791890; clauses: 84909; decisions: 8776770
iteration: 48; vars: 807940; clauses: 122943; decisions: 8776912
iteration: 49; vars: 823990; clauses: 8772; decisions: 8777050
iteration: 50; vars: 840040; clauses: 46794; decisions: 8777150
iteration: 51; vars: 856090; clauses: 84792; decisions: 8777282
iteration: 52; vars: 872140; clauses: 122786; decisions: 8777413
iteration: 53; vars: 888190; clauses: 160776; decisions: 8777489
iteration: 54; vars: 904240; clauses: 198750; decisions: 8777615
iteration: 55; vars: 920290; clauses: 236672; decisions: 8777776
iteration: 56; vars: 936340; clauses: 274578; decisions: 8777826
iteration: 57; vars: 952390; clauses: 312460; decisions: 8777957
iteration: 58; vars: 968440; clauses: 350334; decisions: 8779312
finished solver loop. fail_count = 0
key=001111001100011000001011000111100011101011110100101010010001110101011101010100101000001101000010000110001110100010011101011111111110110101100101110001010101011110001010000010111110011011010111110011010011100000001110010101010011001000111001001100001011100100000100000100000110011110100111101110010000000001101010001100010110111110110110100000010100000011010001000011100100111001001011110110010000010001000000101110001001000110111110010010110001000100000111100101101110101101101111100111100110100011001001111101011000010010000000000100101011110001000101101101100000010011111011101111101011010010011110011111001110000111110111111000011000110000010001110001111011100001110110111010101000101001011001110101000101111110110010110000111111011001101110101101100100100011000100100011001010100100010000100110100001111110101111110010000010010111000011001110010111110011010001110111010111010001100101101101100111001010011010010000010110000110010101101100101110111100100011001011111001110001010000010110010111010110101111010010000011011010011011101010010011111110000101000111001000001010001111011011110101111011110001101010111010001000111010101111001101100100100100111011011100110001101011000010100001100101110010110011110111000010101011110111100001110110110111100001110101101101111110101010100111100101111001010111101000001010100000111010111100111011111001011011100000011010001101110010110101010110100001001001111110010000101110000010111011100001100100111010011110101001111101111101011110111000000000101011000100101010000110110111101010011001111010110101111000111000001101011100110000110010100000010100010100001001010000110111110100101100100000101011000011100110001101111101111110010101011110111001100010110101101011100111100011101010001011010111001010011010110011110001000011110111110000011100011011011010011001110000000110101000000111010110000100100110100010111100001100100111111001001000011100110000011110001100000000010000001001111000000011001000001001101010001101101100000000011111000011011101011100110011010101100101000110011101100001100100011001100111111001001001010000101011101100111001101101000010001100010110100000010100111110000110101110010010010010001111111100110110111010010011111010100000110101100001100111000101100100011010100110000011111100110110110011001010010111000010000011000011111100101010100001000001100111000110111010000000010010111100010100101000110111010011110001010000010101110001101110001100001001010100001000110001101011011110001111111111100110101000010101111000011100111110000100101100111001100011100001001010000000010110000011100000100101101101000010010001111111111101010000101000000000001111110000011011000100001011011101010000001100101101100001000110000000110000110
iteration=58; backbones_count=0; cube_count=2861146; cpu_time=44.4062; maxrss=85.2188
