inputs=178 keys=1243 outputs=123 gates=3250
iteration: 1; vars: 21696; clauses: 21475; decisions: 14920
iteration: 2; vars: 27916; clauses: 25037; decisions: 48331
iteration: 3; vars: 34136; clauses: 29233; decisions: 63096
iteration: 4; vars: 40356; clauses: 48690; decisions: 242729
iteration: 5; vars: 46576; clauses: 40173; decisions: 260221
iteration: 6; vars: 52796; clauses: 59499; decisions: 375770
iteration: 7; vars: 59016; clauses: 50271; decisions: 430350
iteration: 8; vars: 65236; clauses: 69565; decisions: 531931
iteration: 9; vars: 71456; clauses: 59265; decisions: 578773
iteration: 10; vars: 77676; clauses: 78468; decisions: 621670
iteration: 11; vars: 83896; clauses: 66142; decisions: 625425
iteration: 12; vars: 90116; clauses: 85209; decisions: 638709
iteration: 13; vars: 96336; clauses: 74708; decisions: 658026
iteration: 14; vars: 102556; clauses: 93692; decisions: 687439
iteration: 15; vars: 108776; clauses: 83356; decisions: 725686
iteration: 16; vars: 114996; clauses: 101747; decisions: 796545
iteration: 17; vars: 121216; clauses: 119646; decisions: 860174
iteration: 18; vars: 127436; clauses: 68173; decisions: 925893
iteration: 19; vars: 133656; clauses: 67558; decisions: 1013478
iteration: 20; vars: 139876; clauses: 85449; decisions: 1084525
iteration: 21; vars: 146096; clauses: 68895; decisions: 1208551
iteration: 22; vars: 152316; clauses: 86555; decisions: 1270807
iteration: 23; vars: 158536; clauses: 104208; decisions: 1340235
iteration: 24; vars: 164756; clauses: 74164; decisions: 1375114
iteration: 25; vars: 170976; clauses: 91548; decisions: 1384916
iteration: 26; vars: 177196; clauses: 107959; decisions: 1387789
iteration: 27; vars: 183416; clauses: 124370; decisions: 1390999
iteration: 28; vars: 189636; clauses: 140777; decisions: 1399634
iteration: 29; vars: 195856; clauses: 157066; decisions: 1402670
iteration: 30; vars: 202076; clauses: 12540; decisions: 1405301
iteration: 31; vars: 208296; clauses: 28361; decisions: 1415382
iteration: 32; vars: 214516; clauses: 10612; decisions: 1417229
iteration: 33; vars: 220736; clauses: 26305; decisions: 1417974
iteration: 34; vars: 226956; clauses: 41986; decisions: 1421487
iteration: 35; vars: 233176; clauses: 6286; decisions: 1422926
iteration: 36; vars: 239396; clauses: 21833; decisions: 1428240
iteration: 37; vars: 245616; clauses: 37286; decisions: 1435013
iteration: 38; vars: 251836; clauses: 52604; decisions: 1437929
iteration: 39; vars: 258056; clauses: 4731; decisions: 1449457
iteration: 40; vars: 264276; clauses: 20121; decisions: 1462411
iteration: 41; vars: 270496; clauses: 35377; decisions: 1465410
iteration: 42; vars: 276716; clauses: 50847; decisions: 1466290
iteration: 43; vars: 282936; clauses: 66305; decisions: 1513466
finished solver loop. fail_count = 0
key=1011110011010110000010110001111000111010111101001010100100011100010111010101001010000011010000100001100011101000100111010111111111101101011001011100010101010111100010100000101111100110110101110100110100111000000011100101010100110010001110010011000010111001000001000001000011100111101001111011100100000000011010100011000101101011101101101000000101000000110100010000111001001110010010111101100100000100010000001011100010010001101000000100101100010001000001111001011011101011011011111001111001101000110010011111010110000100100000000001001010111100010001011011011000000100111110111011111010110100100111100111110011100001111101111110000110001100000100011100011110111000011101101110101010001010010110011101010001011111101100101100001111110110011011101011011001001000110001001000110010101001000100001001101000011111101011111100100000100101110000110011100101111100110100011101110101110100011001011011011001110010100110100100000101100001100101011011001011101111001000110010111110011100010100000101100101110101101011110100100000110110100110111010100100111111100001010001110010000010100011110110111101011110111100011010101110100010001110101011110011011001001001001110110111001100011010110000101000011001011100101100111101110000101010111101111000011101101
iteration=43; backbones_count=0; cube_count=880250; cpu_time=18.75; maxrss=39.8281
