inputs=207 keys=1860 outputs=108 gates=4880
iteration: 1; vars: 32610; clauses: 31861; decisions: 109287
iteration: 2; vars: 42062; clauses: 39545; decisions: 162427
iteration: 3; vars: 51514; clauses: 68641; decisions: 693772
iteration: 4; vars: 60966; clauses: 55074; decisions: 799325
iteration: 5; vars: 70418; clauses: 84004; decisions: 967069
iteration: 6; vars: 79870; clauses: 68261; decisions: 1039988
iteration: 7; vars: 89322; clauses: 96939; decisions: 1135939
iteration: 8; vars: 98774; clauses: 67799; decisions: 1186530
iteration: 9; vars: 108226; clauses: 95666; decisions: 1364679
iteration: 10; vars: 117678; clauses: 121770; decisions: 1439102
iteration: 11; vars: 127130; clauses: 147791; decisions: 1536642
iteration: 12; vars: 136582; clauses: 45482; decisions: 1567581
iteration: 13; vars: 146034; clauses: 71311; decisions: 1628209
iteration: 14; vars: 155486; clauses: 97182; decisions: 1769792
iteration: 15; vars: 164938; clauses: 50866; decisions: 1865456
iteration: 16; vars: 174390; clauses: 76626; decisions: 1965620
iteration: 17; vars: 183842; clauses: 102404; decisions: 2130353
iteration: 18; vars: 193294; clauses: 56502; decisions: 2248751
iteration: 19; vars: 202746; clauses: 82230; decisions: 2328997
iteration: 20; vars: 212198; clauses: 58682; decisions: 2458075
iteration: 21; vars: 221650; clauses: 56452; decisions: 2662695
iteration: 22; vars: 231102; clauses: 56325; decisions: 2821910
iteration: 23; vars: 240554; clauses: 82035; decisions: 2875022
iteration: 24; vars: 250006; clauses: 107719; decisions: 3095840
iteration: 25; vars: 259458; clauses: 60991; decisions: 3462116
iteration: 26; vars: 268910; clauses: 86527; decisions: 3709090
iteration: 27; vars: 278362; clauses: 66297; decisions: 3770695
iteration: 28; vars: 287814; clauses: 91969; decisions: 4031372
iteration: 29; vars: 297266; clauses: 71137; decisions: 4301811
iteration: 30; vars: 306718; clauses: 96791; decisions: 4643210
iteration: 31; vars: 316170; clauses: 122451; decisions: 4745300
iteration: 32; vars: 325622; clauses: 78641; decisions: 5066317
iteration: 33; vars: 335074; clauses: 78439; decisions: 5532902
iteration: 34; vars: 344526; clauses: 72737; decisions: 5669936
iteration: 35; vars: 353978; clauses: 98327; decisions: 6210839
iteration: 36; vars: 363430; clauses: 73925; decisions: 6591441
iteration: 37; vars: 372882; clauses: 99521; decisions: 6725961
iteration: 38; vars: 382334; clauses: 125117; decisions: 6926813
iteration: 39; vars: 391786; clauses: 150713; decisions: 7054526
iteration: 40; vars: 401238; clauses: 76809; decisions: 7598186
iteration: 41; vars: 410690; clauses: 78549; decisions: 8081812
iteration: 42; vars: 420142; clauses: 79290; decisions: 8750351
iteration: 43; vars: 429594; clauses: 104696; decisions: 9269732
iteration: 44; vars: 439046; clauses: 81891; decisions: 9751823
iteration: 45; vars: 448498; clauses: 107307; decisions: 10751510
iteration: 46; vars: 457950; clauses: 84706; decisions: 11129809
iteration: 47; vars: 467402; clauses: 110112; decisions: 11131668
iteration: 48; vars: 476854; clauses: 135490; decisions: 11905320
iteration: 49; vars: 486306; clauses: 160870; decisions: 12979569
iteration: 50; vars: 495758; clauses: 81442; decisions: 13836369
iteration: 51; vars: 505210; clauses: 75409; decisions: 14949784
iteration: 52; vars: 514662; clauses: 76858; decisions: 15753686
iteration: 53; vars: 524114; clauses: 101796; decisions: 16404468
iteration: 54; vars: 533566; clauses: 126798; decisions: 18027658
iteration: 55; vars: 543018; clauses: 77087; decisions: 23305409
iteration: 56; vars: 552470; clauses: 78381; decisions: 26320797
iteration: 57; vars: 561922; clauses: 79661; decisions: 27454993
iteration: 58; vars: 571374; clauses: 79240; decisions: 32975345
iteration: 59; vars: 580826; clauses: 80142; decisions: 34386279
iteration: 60; vars: 590278; clauses: 81489; decisions: 36224696
iteration: 61; vars: 599730; clauses: 82421; decisions: 38714928
iteration: 62; vars: 609182; clauses: 82914; decisions: 44156076
iteration: 63; vars: 618634; clauses: 84356; decisions: 49597723
iteration: 64; vars: 628086; clauses: 85716; decisions: 54383701
iteration: 65; vars: 637538; clauses: 86405; decisions: 59015224
iteration: 66; vars: 646990; clauses: 111317; decisions: 59015801
iteration: 67; vars: 656442; clauses: 88673; decisions: 71699660
