inputs=41 keys=1780 outputs=35 gates=5299
iteration: 1; vars: 35293; clauses: 22804; decisions: 36587
iteration: 2; vars: 45821; clauses: 28428; decisions: 50581
iteration: 3; vars: 56349; clauses: 34300; decisions: 62613
iteration: 4; vars: 66877; clauses: 31253; decisions: 108058
iteration: 5; vars: 77405; clauses: 36017; decisions: 164342
iteration: 6; vars: 87933; clauses: 40050; decisions: 191788
iteration: 7; vars: 98461; clauses: 43380; decisions: 195202
iteration: 8; vars: 108989; clauses: 45256; decisions: 201263
iteration: 9; vars: 119517; clauses: 49789; decisions: 206536
iteration: 10; vars: 130045; clauses: 52117; decisions: 210241
iteration: 11; vars: 140573; clauses: 53744; decisions: 213948
iteration: 12; vars: 151101; clauses: 58085; decisions: 217715
iteration: 13; vars: 161629; clauses: 62292; decisions: 225262
iteration: 14; vars: 172157; clauses: 66316; decisions: 229474
iteration: 15; vars: 182685; clauses: 70425; decisions: 233549
iteration: 16; vars: 193213; clauses: 67471; decisions: 241722
iteration: 17; vars: 203741; clauses: 67236; decisions: 246289
iteration: 18; vars: 214269; clauses: 68609; decisions: 255724
iteration: 19; vars: 224797; clauses: 67242; decisions: 264192
iteration: 20; vars: 235325; clauses: 69378; decisions: 299851
iteration: 21; vars: 245853; clauses: 69277; decisions: 308401
iteration: 22; vars: 256381; clauses: 41253; decisions: 334079
iteration: 23; vars: 266909; clauses: 37798; decisions: 346549
iteration: 24; vars: 277437; clauses: 29117; decisions: 349830
iteration: 25; vars: 287965; clauses: 24795; decisions: 352820
iteration: 26; vars: 298493; clauses: 24049; decisions: 355288
iteration: 27; vars: 309021; clauses: 23253; decisions: 358272
iteration: 28; vars: 319549; clauses: 16564; decisions: 359986
iteration: 29; vars: 330077; clauses: 13890; decisions: 362107
iteration: 30; vars: 340605; clauses: 12484; decisions: 364068
iteration: 31; vars: 351133; clauses: 10715; decisions: 365499
iteration: 32; vars: 361661; clauses: 10673; decisions: 367012
iteration: 33; vars: 372189; clauses: 10540; decisions: 368712
iteration: 34; vars: 382717; clauses: 9720; decisions: 369774
iteration: 35; vars: 393245; clauses: 9531; decisions: 371562
iteration: 36; vars: 403773; clauses: 9240; decisions: 372434
iteration: 37; vars: 414301; clauses: 9093; decisions: 373315
iteration: 38; vars: 424829; clauses: 9149; decisions: 374314
iteration: 39; vars: 435357; clauses: 8933; decisions: 375387
iteration: 40; vars: 445885; clauses: 8998; decisions: 376485
iteration: 41; vars: 456413; clauses: 8510; decisions: 377095
iteration: 42; vars: 466941; clauses: 8518; decisions: 377596
iteration: 43; vars: 477469; clauses: 8566; decisions: 378451
iteration: 44; vars: 487997; clauses: 7753; decisions: 379262
iteration: 45; vars: 498525; clauses: 7159; decisions: 379822
iteration: 46; vars: 509053; clauses: 30395; decisions: 386124
iteration: 47; vars: 519581; clauses: 6712; decisions: 386932
iteration: 48; vars: 530109; clauses: 29744; decisions: 390204
iteration: 49; vars: 540637; clauses: 6371; decisions: 390516
iteration: 50; vars: 551165; clauses: 29403; decisions: 394627
iteration: 51; vars: 561693; clauses: 6298; decisions: 394921
iteration: 52; vars: 572221; clauses: 29152; decisions: 396500
iteration: 53; vars: 582749; clauses: 6104; decisions: 396979
iteration: 54; vars: 593277; clauses: 28868; decisions: 397702
iteration: 55; vars: 603805; clauses: 51622; decisions: 398084
iteration: 56; vars: 614333; clauses: 6042; decisions: 398306
iteration: 57; vars: 624861; clauses: 28854; decisions: 398887
iteration: 58; vars: 635389; clauses: 6004; decisions: 399093
iteration: 59; vars: 645917; clauses: 28870; decisions: 399487
iteration: 60; vars: 656445; clauses: 51964; decisions: 399953
iteration: 61; vars: 666973; clauses: 74646; decisions: 400345
iteration: 62; vars: 677501; clauses: 5947; decisions: 401417
iteration: 63; vars: 688029; clauses: 28373; decisions: 402141
iteration: 64; vars: 698557; clauses: 51035; decisions: 402333
iteration: 65; vars: 709085; clauses: 73719; decisions: 402669
iteration: 66; vars: 719613; clauses: 5837; decisions: 402848
iteration: 67; vars: 730141; clauses: 28461; decisions: 403511
iteration: 68; vars: 740669; clauses: 51239; decisions: 404455
iteration: 69; vars: 751197; clauses: 74027; decisions: 404735
iteration: 70; vars: 761725; clauses: 96715; decisions: 405630
iteration: 71; vars: 772253; clauses: 119429; decisions: 406565
iteration: 72; vars: 782781; clauses: 141967; decisions: 407537
iteration: 73; vars: 793309; clauses: 164699; decisions: 407598
iteration: 74; vars: 803837; clauses: 187395; decisions: 408005
finished solver loop. fail_count = 0
