benchmark,#input,#keys,#outputs,#gates,#iteration,cpu_time
apex2_enc05,39,32,3,636,13,0.12
apex2_enc10,39,65,3,669,26,0.69
apex2_enc25,39,162,3,747,59,12.27
apex2_enc50,39,325,3,885,137,142.27
apex4_enc05,10,269,19,5584,39,19.42
apex4_enc10,10,537,19,5796,72,37.47
apex4_enc25,10,1343,19,6428,135,2161.19
apex4_enc50,10,2685,19,7460,-,> 2h
c1355_enc05,41,29,32,584,1,0.11
c1355_enc10,41,59,32,621,12,1.00
c1355_enc25,41,147,32,709,27,13.28
c1355_enc50,41,294,32,856,72,26.81
c1908_enc05,33,46,25,737,2,4.59
c1908_enc10,33,91,25,801,3,2.98
c1908_enc25,33,228,25,955,41,22.52
c1908_enc50,33,457,25,1196,56,118.02
c2670_enc05,233,71,140,1044,14,0.19
c2670_enc10,233,143,140,1145,23,0.64
c2670_enc25,233,357,140,1408,96,8.14
c2670_enc50,233,713,140,1793,-,> 2h
c3540_enc05,50,86,22,1512,13,1.19
c3540_enc10,50,172,22,1616,18,2.28
c3540_enc25,50,430,22,1890,-,> 2h
c3540_enc50,50,860,22,2298,-,> 2h
c432_enc05,36,10,7,170,3,0.03
c432_enc10,36,20,7,180,5,0.03
c432_enc25,36,49,7,205,5,0.16
c432_enc50,36,98,7,255,12,0.31
c499_enc05,41,12,32,215,1,0.06
c499_enc10,41,24,32,233,1,0.08
c499_enc25,41,61,32,279,7,2.34
c499_enc50,41,122,32,340,12,4.22
c5315_enc05,178,124,123,2148,9,0.91
c5315_enc10,178,249,123,2279,22,2.11
c5315_enc25,178,621,123,2697,41,69.05
c5315_enc50,178,1243,123,3312,72,604.27
c7552_enc05,207,186,108,3201,10,1.55
c7552_enc10,207,372,108,3432,18,12.59
c7552_enc25,207,930,108,4053,156,381.98
c7552_enc50,207,1860,108,4930,-,> 2h
c880_enc05,60,22,26,391,5,0.11
c880_enc10,60,44,26,415,12,0.17
c880_enc25,60,111,26,482,11,0.48
c880_enc50,60,222,26,603,26,7.09
dalu_enc05,75,119,16,2393,65,6.39
dalu_enc10,75,237,16,2481,86,51.70
dalu_enc25,75,593,16,2773,79,2206.83
dalu_enc50,75,1187,16,3207,-,> 2h
des_enc05,256,336,245,6806,16,3.38
des_enc10,256,673,245,7037,24,8.48
des_enc25,256,1682,245,7938,49,63.53
des_enc50,256,3365,245,9370,-,> 2h
ex1010_enc05,10,254,10,5277,47,25.98
ex1010_enc10,10,508,10,5462,75,298.97
ex1010_enc25,10,1269,10,6052,173,3424.09
ex1010_enc50,10,2538,10,7040,-,> 2h
ex5_enc05,8,53,63,1105,5,0.22
ex5_enc10,8,106,63,1158,7,0.38
ex5_enc25,8,266,63,1303,40,2.05
ex5_enc50,8,532,63,1512,45,8.00
execution_log,i4_enc05,192,27,6,362,9,0.05
i4_enc10,192,53,6,387,27,0.17
i4_enc25,192,133,6,468,96,5.02
i4_enc50,192,265,6,602,260,37.11
i7_enc05,199,76,67,1389,4,0.17
i7_enc10,199,151,67,1463,4,0.34
i7_enc25,199,379,67,1634,14,1.64
i7_enc50,199,757,67,1949,32,8.81
i8_enc05,133,130,81,2590,23,2.05
i8_enc10,133,260,81,2720,28,3.70
i8_enc25,133,649,81,3063,33,11.11
i8_enc50,133,1299,81,3619,50,2860.91
i9_enc05,88,56,63,1084,17,1.05
i9_enc10,88,112,63,1135,31,4.30
i9_enc25,88,281,63,1323,24,6.67
i9_enc50,88,562,63,1570,40,49.41
k2_enc05,46,93,45,1886,1,0.09
k2_enc10,46,186,45,1963,1,0.16
k2_enc25,46,465,45,2195,17,0.86
k2_enc50,46,931,45,2647,84,94.97
seq_enc05,41,178,35,3668,22,2.83
seq_enc10,41,356,35,3810,40,6.64
seq_enc25,41,890,35,4223,86,102.98
seq_enc50,41,1780,35,4913,184,1034.55
