inputs=10 keys=1343 outputs=19 gates=6428
iteration: 1; vars: 41144; clauses: 59743; decisions: 158815
iteration: 2; vars: 53940; clauses: 79576; decisions: 374108
iteration: 3; vars: 66736; clauses: 99154; decisions: 656417
iteration: 4; vars: 79532; clauses: 92046; decisions: 1057084
iteration: 5; vars: 92328; clauses: 128714; decisions: 1678101
iteration: 6; vars: 105124; clauses: 120344; decisions: 3832238
iteration: 7; vars: 117920; clauses: 133438; decisions: 6269958
iteration: 8; vars: 130716; clauses: 170106; decisions: 7213566
iteration: 9; vars: 143512; clauses: 160419; decisions: 10368858
iteration: 10; vars: 156308; clauses: 172988; decisions: 17565284
iteration: 11; vars: 169104; clauses: 184128; decisions: 24170583
iteration: 12; vars: 181900; clauses: 197369; decisions: 38535996
iteration: 13; vars: 194696; clauses: 234035; decisions: 44722190
iteration: 14; vars: 207492; clauses: 224348; decisions: 66951566
iteration: 15; vars: 220288; clauses: 236786; decisions: 84556677
iteration: 16; vars: 233084; clauses: 248338; decisions: 98739678
iteration: 17; vars: 245880; clauses: 259232; decisions: 108626230
iteration: 18; vars: 258676; clauses: 269700; decisions: 127061095
iteration: 19; vars: 271472; clauses: 276047; decisions: 143204442
iteration: 20; vars: 284268; clauses: 230206; decisions: 158175233
iteration: 21; vars: 297064; clauses: 266848; decisions: 163871056
iteration: 22; vars: 309860; clauses: 228653; decisions: 178736800
iteration: 23; vars: 322656; clauses: 265281; decisions: 183548503
iteration: 24; vars: 335452; clauses: 301893; decisions: 185544824
iteration: 25; vars: 348248; clauses: 338493; decisions: 186855428
iteration: 26; vars: 361044; clauses: 375091; decisions: 188036420
iteration: 27; vars: 373840; clauses: 95616; decisions: 190567891
iteration: 28; vars: 386636; clauses: 132027; decisions: 191540102
iteration: 29; vars: 399432; clauses: 168359; decisions: 191775204
iteration: 30; vars: 412228; clauses: 204691; decisions: 191975477
iteration: 31; vars: 425024; clauses: 70233; decisions: 192200255
iteration: 32; vars: 437820; clauses: 106527; decisions: 192250986
