inputs=10 keys=2685 outputs=19 gates=7460
iteration: 1; vars: 50050; clauses: 89159; decisions: 566489
iteration: 2; vars: 64920; clauses: 118680; decisions: 1742497
iteration: 3; vars: 79790; clauses: 148209; decisions: 3161530
iteration: 4; vars: 94660; clauses: 194421; decisions: 4048669
iteration: 5; vars: 109530; clauses: 182558; decisions: 6993099
iteration: 6; vars: 124400; clauses: 184919; decisions: 12077455
iteration: 7; vars: 139270; clauses: 231103; decisions: 14082081
iteration: 8; vars: 154140; clauses: 277287; decisions: 16373982
iteration: 9; vars: 169010; clauses: 250577; decisions: 20479578
iteration: 10; vars: 183880; clauses: 270913; decisions: 23491193
iteration: 11; vars: 198750; clauses: 317097; decisions: 30740407
iteration: 12; vars: 213620; clauses: 316637; decisions: 38549731
iteration: 13; vars: 228490; clauses: 362821; decisions: 49343229
iteration: 14; vars: 243360; clauses: 359967; decisions: 55549135
iteration: 15; vars: 258230; clauses: 406151; decisions: 66970877
iteration: 16; vars: 273100; clauses: 399403; decisions: 101095281
iteration: 17; vars: 287970; clauses: 418656; decisions: 138616760
iteration: 18; vars: 302840; clauses: 437977; decisions: 201672973
iteration: 19; vars: 317710; clauses: 459687; decisions: 247893526
iteration: 20; vars: 332580; clauses: 470103; decisions: 347678314
iteration: 21; vars: 347450; clauses: 489148; decisions: 444497430
iteration: 22; vars: 362320; clauses: 506844; decisions: 533024029
iteration: 23; vars: 377190; clauses: 526466; decisions: 588959178
iteration: 24; vars: 392060; clauses: 421499; decisions: 615459965
iteration: 25; vars: 406930; clauses: 434754; decisions: 686329843
iteration: 26; vars: 421800; clauses: 442014; decisions: 720342291
iteration: 27; vars: 436670; clauses: 421324; decisions: 795104304
