inputs=75 keys=119 outputs=16 gates=2393
iteration: 1; vars: 14584; clauses: 6397; decisions: 417
iteration: 2; vars: 19324; clauses: 7744; decisions: 2387
iteration: 3; vars: 24064; clauses: 8939; decisions: 4923
iteration: 4; vars: 28804; clauses: 10041; decisions: 6499
iteration: 5; vars: 33544; clauses: 11444; decisions: 9283
iteration: 6; vars: 38284; clauses: 13198; decisions: 10479
iteration: 7; vars: 43024; clauses: 14778; decisions: 11045
iteration: 8; vars: 47764; clauses: 16127; decisions: 12251
iteration: 9; vars: 52504; clauses: 17903; decisions: 12736
iteration: 10; vars: 57244; clauses: 25675; decisions: 14818
iteration: 11; vars: 61984; clauses: 20542; decisions: 16832
iteration: 12; vars: 66724; clauses: 26496; decisions: 17158
iteration: 13; vars: 71464; clauses: 22647; decisions: 18788
iteration: 14; vars: 76204; clauses: 29031; decisions: 19660
iteration: 15; vars: 80944; clauses: 25431; decisions: 20398
iteration: 16; vars: 85684; clauses: 32025; decisions: 23158
iteration: 17; vars: 90424; clauses: 28020; decisions: 23763
iteration: 18; vars: 95164; clauses: 34974; decisions: 24289
iteration: 19; vars: 99904; clauses: 30793; decisions: 26880
iteration: 20; vars: 104644; clauses: 38871; decisions: 28107
iteration: 21; vars: 109384; clauses: 35677; decisions: 29971
iteration: 22; vars: 114124; clauses: 44459; decisions: 30917
iteration: 23; vars: 118864; clauses: 39851; decisions: 31618
iteration: 24; vars: 123604; clauses: 46487; decisions: 32743
iteration: 25; vars: 128344; clauses: 54665; decisions: 36408
iteration: 26; vars: 133084; clauses: 46252; decisions: 37985
iteration: 27; vars: 137824; clauses: 54328; decisions: 38310
iteration: 28; vars: 142564; clauses: 62404; decisions: 41399
iteration: 29; vars: 147304; clauses: 52568; decisions: 44127
iteration: 30; vars: 152044; clauses: 60838; decisions: 48856
iteration: 31; vars: 156784; clauses: 69706; decisions: 54221
iteration: 32; vars: 161524; clauses: 58823; decisions: 58193
iteration: 33; vars: 166264; clauses: 63239; decisions: 59006
iteration: 34; vars: 171004; clauses: 69913; decisions: 61588
iteration: 35; vars: 175744; clauses: 76549; decisions: 70069
iteration: 36; vars: 180484; clauses: 81271; decisions: 74571
iteration: 37; vars: 185224; clauses: 65624; decisions: 75266
iteration: 38; vars: 189964; clauses: 70060; decisions: 75573
iteration: 39; vars: 194704; clauses: 74352; decisions: 75881
iteration: 40; vars: 199444; clauses: 78620; decisions: 82868
iteration: 41; vars: 204184; clauses: 83694; decisions: 84954
iteration: 42; vars: 208924; clauses: 89990; decisions: 85917
iteration: 43; vars: 213664; clauses: 73213; decisions: 98940
iteration: 44; vars: 218404; clauses: 77155; decisions: 103235
iteration: 45; vars: 223144; clauses: 83443; decisions: 123790
iteration: 46; vars: 227884; clauses: 89707; decisions: 131944
iteration: 47; vars: 232624; clauses: 97557; decisions: 133065
iteration: 48; vars: 237364; clauses: 80625; decisions: 136770
iteration: 49; vars: 242104; clauses: 84591; decisions: 138776
iteration: 50; vars: 246844; clauses: 88775; decisions: 140681
iteration: 51; vars: 251584; clauses: 93393; decisions: 143876
iteration: 52; vars: 256324; clauses: 100199; decisions: 145770
iteration: 53; vars: 261064; clauses: 107951; decisions: 146615
iteration: 54; vars: 265804; clauses: 116223; decisions: 147637
iteration: 55; vars: 270544; clauses: 124485; decisions: 148685
iteration: 56; vars: 275284; clauses: 132907; decisions: 150190
iteration: 57; vars: 280024; clauses: 141249; decisions: 151029
iteration: 58; vars: 284764; clauses: 149735; decisions: 151840
iteration: 59; vars: 289504; clauses: 158365; decisions: 152391
iteration: 60; vars: 294244; clauses: 167170; decisions: 154174
iteration: 61; vars: 298984; clauses: 175438; decisions: 154859
iteration: 62; vars: 303724; clauses: 183622; decisions: 158853
iteration: 63; vars: 308464; clauses: 190436; decisions: 163954
iteration: 64; vars: 313204; clauses: 197444; decisions: 167801
iteration: 65; vars: 317944; clauses: 205401; decisions: 191667
finished solver loop. fail_count = 0
key=11101001001100110111110011111110001000011001110100101110010101111110010001001110011111110010100101011110001101111100111
iteration=65; backbones_count=0; cube_count=784368; cpu_time=6.39062; maxrss=48.3633
