inputs=75 keys=1187 outputs=16 gates=3207
iteration: 1; vars: 21598; clauses: 35219; decisions: 89354
iteration: 2; vars: 27964; clauses: 51963; decisions: 142130
iteration: 3; vars: 34330; clauses: 56938; decisions: 1215473
iteration: 4; vars: 40696; clauses: 74282; decisions: 1382812
iteration: 5; vars: 47062; clauses: 91762; decisions: 1461350
iteration: 6; vars: 53428; clauses: 90583; decisions: 2244498
iteration: 7; vars: 59794; clauses: 108577; decisions: 2688634
iteration: 8; vars: 66160; clauses: 113030; decisions: 3293926
iteration: 9; vars: 72526; clauses: 130976; decisions: 4219363
iteration: 10; vars: 78892; clauses: 134930; decisions: 6106252
iteration: 11; vars: 85258; clauses: 144761; decisions: 10173981
iteration: 12; vars: 91624; clauses: 162449; decisions: 11398954
iteration: 13; vars: 97990; clauses: 165920; decisions: 15801017
iteration: 14; vars: 104356; clauses: 175002; decisions: 56495951
iteration: 15; vars: 110722; clauses: 182401; decisions: 88520932
iteration: 16; vars: 117088; clauses: 192773; decisions: 96326461
iteration: 17; vars: 123454; clauses: 210687; decisions: 110910379
iteration: 18; vars: 129820; clauses: 211490; decisions: 174536022
iteration: 19; vars: 136186; clauses: 229606; decisions: 181080066
iteration: 20; vars: 142552; clauses: 231344; decisions: 258003924
iteration: 21; vars: 148918; clauses: 240128; decisions: 394189082
iteration: 22; vars: 155284; clauses: 250641; decisions: 414790430
iteration: 23; vars: 161650; clauses: 267789; decisions: 419977364
iteration: 24; vars: 168016; clauses: 272769; decisions: 463428287
iteration: 25; vars: 174382; clauses: 282078; decisions: 511243595
iteration: 26; vars: 180748; clauses: 292935; decisions: 524465950
iteration: 27; vars: 187114; clauses: 310269; decisions: 537772543
