inputs=256 keys=1682 outputs=245 gates=7938
iteration: 1; vars: 50354; clauses: 55267; decisions: 60375
iteration: 2; vars: 65686; clauses: 62169; decisions: 756441
iteration: 3; vars: 81018; clauses: 71599; decisions: 1724995
iteration: 4; vars: 96350; clauses: 80263; decisions: 3544724
iteration: 5; vars: 111682; clauses: 77053; decisions: 4715967
iteration: 6; vars: 127014; clauses: 72178; decisions: 5808376
iteration: 7; vars: 142346; clauses: 80202; decisions: 6985506
iteration: 8; vars: 157678; clauses: 76600; decisions: 7506046
iteration: 9; vars: 173010; clauses: 116085; decisions: 7662632
iteration: 10; vars: 188342; clauses: 52104; decisions: 7869112
iteration: 11; vars: 203674; clauses: 42031; decisions: 7946721
iteration: 12; vars: 219006; clauses: 28327; decisions: 7976399
iteration: 13; vars: 234338; clauses: 25172; decisions: 7990433
iteration: 14; vars: 249670; clauses: 25232; decisions: 8077772
iteration: 15; vars: 265002; clauses: 20422; decisions: 8112253
iteration: 16; vars: 280334; clauses: 14519; decisions: 8132045
iteration: 17; vars: 295666; clauses: 14287; decisions: 8138455
iteration: 18; vars: 310998; clauses: 14177; decisions: 8152985
iteration: 19; vars: 326330; clauses: 14226; decisions: 8171396
iteration: 20; vars: 341662; clauses: 13651; decisions: 8175540
iteration: 21; vars: 356994; clauses: 13584; decisions: 8187066
iteration: 22; vars: 372326; clauses: 13404; decisions: 8191744
iteration: 23; vars: 387658; clauses: 13145; decisions: 8193532
iteration: 24; vars: 402990; clauses: 13232; decisions: 8214890
iteration: 25; vars: 418322; clauses: 13246; decisions: 8222516
iteration: 26; vars: 433654; clauses: 12712; decisions: 8234827
iteration: 27; vars: 448986; clauses: 12479; decisions: 8237139
iteration: 28; vars: 464318; clauses: 12430; decisions: 8262527
iteration: 29; vars: 479650; clauses: 11731; decisions: 8268773
iteration: 30; vars: 494982; clauses: 11546; decisions: 8271484
iteration: 31; vars: 510314; clauses: 11487; decisions: 8277181
iteration: 32; vars: 525646; clauses: 11341; decisions: 8279476
iteration: 33; vars: 540978; clauses: 11203; decisions: 8293819
iteration: 34; vars: 556310; clauses: 10954; decisions: 8299788
iteration: 35; vars: 571642; clauses: 10891; decisions: 8304527
iteration: 36; vars: 586974; clauses: 10872; decisions: 8311934
iteration: 37; vars: 602306; clauses: 10649; decisions: 8321789
iteration: 38; vars: 617638; clauses: 10507; decisions: 8323862
iteration: 39; vars: 632970; clauses: 10447; decisions: 8325722
iteration: 40; vars: 648302; clauses: 10432; decisions: 8328283
iteration: 41; vars: 663634; clauses: 10359; decisions: 8332279
iteration: 42; vars: 678966; clauses: 10271; decisions: 8334404
iteration: 43; vars: 694298; clauses: 10234; decisions: 8336592
iteration: 44; vars: 709630; clauses: 10178; decisions: 8338179
iteration: 45; vars: 724962; clauses: 10173; decisions: 8348667
iteration: 46; vars: 740294; clauses: 10121; decisions: 8353061
iteration: 47; vars: 755626; clauses: 10011; decisions: 8363915
iteration: 48; vars: 770958; clauses: 9813; decisions: 8372959
iteration: 49; vars: 786290; clauses: 9709; decisions: 8419652
finished solver loop. fail_count = 0
key=10101001001100110111110011100010001000011001000100101110101001111110010010000001101100111101100110100110001100000101011001001110000000010101110111100000011101000111110110000000100000110011001110100000000011101000111100000000000110011100011101000110101010101000100000000110000011010000100110000100101100001100110111001010000010000110001100100000000110000000110101010000111100010010100010101000000010110010011000100010100010000110100001100010010011010011011100000100010011010011010100000010000000100100100100100101100000010100100000100100001011000000000010000101011100011010001000101010011100110010010101110100100000010001110110010010110010001110000000100001101000100011000101101001100110101000000000100010011010110001001010001000100010101110100010000010000110100101010010000000000101010010101000000001000010110011010010000101101010110000001000101000010001000111010000101010010101000101110001000001100101000100000100010010101000100101100000101010001011000000001010100011000100100100000001100101000101100001000101001010001001100001000010000000010000101000110000000010000000010010010101000000000001010001010010010001101010100010101011100010100010100011110000001010111010000100000010101100000000000010010001001000001010010001101100101001000000000111010000010110101001010000100101010000000100010011000011000001000001010001101000001010110000010010001010000001000100100010011100000011001000001110010000000010010001001010001101000010101001011011000010010001010000000101001010010100100000000011001011010101000001000000000010101000001000101000100000000010000000000000101010001000001010100010001000100000100000101010111110000110110101101011010111100011001100000101011110101101000110101001111101
iteration=49; backbones_count=0; cube_count=2210418; cpu_time=63.5312; maxrss=73.5898
