inputs=46 keys=931 outputs=45 gates=2647
iteration: 1; vars: 17544; clauses: 30499; decisions: 83380
iteration: 2; vars: 22710; clauses: 38433; decisions: 519208
iteration: 3; vars: 27876; clauses: 53301; decisions: 921796
iteration: 4; vars: 33042; clauses: 55094; decisions: 1673451
iteration: 5; vars: 38208; clauses: 62615; decisions: 2455449
iteration: 6; vars: 43374; clauses: 69499; decisions: 2866748
iteration: 7; vars: 48540; clauses: 76839; decisions: 4013681
iteration: 8; vars: 53706; clauses: 78025; decisions: 5110240
iteration: 9; vars: 58872; clauses: 92807; decisions: 5162167
iteration: 10; vars: 64038; clauses: 107603; decisions: 5316771
iteration: 11; vars: 69204; clauses: 102224; decisions: 5432672
iteration: 12; vars: 74370; clauses: 117322; decisions: 5749923
iteration: 13; vars: 79536; clauses: 132054; decisions: 5774794
iteration: 14; vars: 84702; clauses: 146808; decisions: 5861317
iteration: 15; vars: 89868; clauses: 135380; decisions: 5921766
iteration: 16; vars: 95034; clauses: 150122; decisions: 5951854
iteration: 17; vars: 100200; clauses: 164770; decisions: 5997496
iteration: 18; vars: 105366; clauses: 179572; decisions: 6009866
iteration: 19; vars: 110532; clauses: 194174; decisions: 6148870
iteration: 20; vars: 115698; clauses: 176771; decisions: 6157936
iteration: 21; vars: 120864; clauses: 191693; decisions: 6169870
iteration: 22; vars: 126030; clauses: 206647; decisions: 6223835
iteration: 23; vars: 131196; clauses: 221791; decisions: 6342217
iteration: 24; vars: 136362; clauses: 236599; decisions: 6391554
iteration: 25; vars: 141528; clauses: 251587; decisions: 6422090
iteration: 26; vars: 146694; clauses: 266731; decisions: 6459198
iteration: 27; vars: 151860; clauses: 212682; decisions: 6519388
iteration: 28; vars: 157026; clauses: 227468; decisions: 6568734
iteration: 29; vars: 162192; clauses: 242518; decisions: 6597119
iteration: 30; vars: 167358; clauses: 257236; decisions: 6639531
iteration: 31; vars: 172524; clauses: 271756; decisions: 6650029
iteration: 32; vars: 177690; clauses: 286408; decisions: 6654521
iteration: 33; vars: 182856; clauses: 301344; decisions: 6675507
iteration: 34; vars: 188022; clauses: 315926; decisions: 6677989
iteration: 35; vars: 193188; clauses: 268953; decisions: 6723744
iteration: 36; vars: 198354; clauses: 283585; decisions: 6772056
iteration: 37; vars: 203520; clauses: 298407; decisions: 6796699
iteration: 38; vars: 208686; clauses: 313391; decisions: 6817311
iteration: 39; vars: 213852; clauses: 328336; decisions: 6839060
iteration: 40; vars: 219018; clauses: 343088; decisions: 6846717
iteration: 41; vars: 224184; clauses: 357752; decisions: 6856961
iteration: 42; vars: 229350; clauses: 372740; decisions: 6860272
iteration: 43; vars: 234516; clauses: 387550; decisions: 6865530
iteration: 44; vars: 239682; clauses: 402572; decisions: 6871918
iteration: 45; vars: 244848; clauses: 345449; decisions: 6878468
iteration: 46; vars: 250014; clauses: 360360; decisions: 6930057
iteration: 47; vars: 255180; clauses: 375066; decisions: 6937133
iteration: 48; vars: 260346; clauses: 390090; decisions: 6942850
iteration: 49; vars: 265512; clauses: 404654; decisions: 6954873
iteration: 50; vars: 270678; clauses: 419280; decisions: 6965485
iteration: 51; vars: 275844; clauses: 433952; decisions: 6972560
iteration: 52; vars: 281010; clauses: 448878; decisions: 6977743
iteration: 53; vars: 286176; clauses: 463812; decisions: 6981495
iteration: 54; vars: 291342; clauses: 478704; decisions: 7002023
iteration: 55; vars: 296508; clauses: 493350; decisions: 7006713
iteration: 56; vars: 301674; clauses: 508194; decisions: 7011206
